章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
044_魏世家	诸子	诸子	422	词表匹配	诸子	。@魏武子@以@魏@诸子事$@晋公子重耳@$	思想
044_魏世家	富贵	富贵	1359	词表匹配	富贵	@子击@$因问曰："富贵者骄人乎？且贫贱者骄	思想
044_魏世家	贫贱	贫贱	1367	词表匹配	贫贱	："富贵者骄人乎？且贫贱者骄人乎？"@子方@	思想
044_魏世家	贫贱	贫贱	1383	词表匹配	贫贱	？"@子方@曰："亦贫贱者骄人耳。夫诸侯而骄	思想
044_魏世家	贫贱	贫贱	1413	词表匹配	贫贱	夫$而骄人则失其家。贫贱者，行不合，言不用，	思想
044_魏世家	宗庙	宗庙	4355	词表匹配	宗庙	，国以空虚，以羞先君宗庙社稷，寡人甚丑之，叟	礼仪
044_魏世家	社稷	社稷	4357	词表匹配	社稷	以空虚，以羞先君宗庙社稷，寡人甚丑之，叟不远	礼仪
044_魏世家	仁义	仁义	4441	词表匹配	仁义	，国则危矣。为人君，仁义而已矣，何以利为！"	思想
044_魏世家	斩首	斩首	6611	词表匹配	斩首	%，&秦&拔我四城，斩首四万。%四年%，&秦	刑法
044_魏世家	天下	天下	7108	词表匹配	天下	@$而对曰："王之料天下过矣。当&晋&^六卿	思想
044_魏世家	天下	天下	7316	词表匹配	天下	氏地分，身死国亡，为天下笑。今&秦&兵虽彊，	思想
044_魏世家	春秋	春秋	7630	词表匹配	春秋	，称东籓，受冠带，祠春秋者，以&秦&之彊足以	典籍
044_魏世家	德行	德行	8113	词表匹配	德行	利无信，不识^礼义^德行。苟有利焉，不顾亲戚	思想
044_魏世家	天下	天下	8136	词表匹配	天下	弟，若〘禽兽〙耳，此天下之所识也，非有所施厚	思想
044_魏世家	天下	天下	9193	词表匹配	天下	，投质於@赵@，请为天下雁行顿刃，&楚&、@	思想
044_魏世家	天下	天下	9225	词表匹配	天下	&之欲无穷也，非尽亡天下之国而臣海内，必不休	思想
044_魏世家	天下	天下	9308	词表匹配	天下	存@韩@安@魏@而利天下，此亦王之天时已。通	思想
044_魏世家	天下	天下	9488	词表匹配	天下	&卫&、&齐&甚畏，天下西乡而驰&秦&入朝而	思想
044_魏世家	就戮	就戮	10337	词表匹配	就戮	系载忠正。↵@杨干@就戮，@智@氏奔命。↵$	刑法
