章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
045_韩世家	世家	世家	7	词表匹配	世家	# 045 韩世家↵↵## 标题↵@韩	器物
045_韩世家	世家	世家	20	词表匹配	世家	↵## 标题↵@韩@世家↵↵## [1] 韩	器物
045_韩世家	韩氏起源	韩氏起源	31	词表匹配	韩氏起源	家↵↵## [1] 韩氏起源↵↵[1.1] @韩	event
045_韩世家	韩厥救赵孤	韩厥救赵孤	118	词表匹配	韩厥救赵孤	。↵↵## [2] 韩厥救赵孤↵↵[2.1] @韩	event
045_韩世家	八百乘	八百乘	328	词表匹配	八百乘	@厥@与@郤克@将兵八百乘伐&齐&，败$@齐顷	时间
045_韩世家	大业	大业	411	词表匹配	大业	$%十七年%，病，卜大业之不遂者为祟。@韩厥	人名
045_韩世家	韩献子	韩献子	503	词表匹配	韩献子	。↵↵## [3] 韩献子至宣子↵↵[3.1]	人名
045_韩世家	韩宣子	宣子	507	词表匹配	宣子	# [3] 韩献子至宣子↵↵[3.1] $@	人名
045_韩世家	三家分晋	三家分晋	749	词表匹配	三家分晋	。↵↵## [4] 三家分晋↵↵[4.1] $@	event
045_韩世家	韩景侯	韩景侯	933	词表匹配	韩景侯	。↵↵## [5] 韩景侯时期↵↵[5.1] 	人名
045_韩世家	韩列侯	韩列侯	1062	词表匹配	韩列侯	。↵↵## [6] 韩列侯时期↵↵[6.1] 	人名
045_韩世家	文侯申	文侯	1165	词表匹配	文侯	↵↵## [7] 韩文侯时期↵↵[7.1] 	人名
045_韩世家	韩哀侯	韩哀侯	1287	词表匹配	韩哀侯	。↵↵## [8] 韩哀侯时期↵↵[8.1] 	人名
045_韩世家	韩懿侯	韩懿侯	1388	词表匹配	韩懿侯	。↵↵## [9] 韩懿侯时期↵↵[9.1] 	人名
045_韩世家	韩昭侯	韩昭侯	1488	词表匹配	韩昭侯	↵↵## [10] 韩昭侯时期↵↵[10.1]	人名
045_韩世家	高门之祸	高门之祸	1700	词表匹配	高门之祸	↵↵## [11] 高门之祸↵↵[11.1] %	event
045_韩世家	宣惠王	宣惠王	1882	词表匹配	宣惠王	↵## [12] 韩宣惠王时期↵↵[12.1]	人名
045_韩世家	陈轸救韩之谋	陈轸救韩之谋	1979	词表匹配	陈轸救韩之谋	↵↵## [13] 陈轸救韩之谋↵↵[13.1] %	event
045_韩世家	南交	南交	2359	词表匹配	南交	厚怨@韩@。@韩@之南交&楚&，必轻&秦&；	地名
045_韩世家	韩襄王	韩襄王	2831	词表匹配	韩襄王	↵↵## [14] 韩襄王时期↵↵[14.1]	人名
045_韩世家	十馀万	十馀万	3116	词表匹配	十馀万	欲内之甚。今&楚&兵十馀万在=方城=之外，公何	时间
045_韩世家	公乘	公乘	3514	词表匹配	公乘	公战而胜&楚&，遂与公乘&楚&，施=三川=而	官职
045_韩世家	周釐王	釐王	4078	词表匹配	釐王	↵## [16] 韩釐王时期↵↵[16.1]	人名
045_韩世家	二百里	二百里	4168	词表匹配	二百里	，与&秦&=武遂=地二百里。%十年%，&秦&败	时间
045_韩世家	华阳之战	华阳之战	4292	词表匹配	华阳之战	↵↵## [17] 华阳之战↵↵[17.1] %	event
045_韩世家	桓惠王	桓惠王	4565	词表匹配	桓惠王	↵## [18] 韩桓惠王时期↵↵[18.1]	人名
045_韩世家	四十馀	四十馀	4679	词表匹配	四十馀	党=，杀@马服@子卒四十馀万於=长平=。%十七	时间
045_韩世家	十三城	十三城	4778	词表匹配	十三城	十九年%，&秦&拔我十三城。↵↵[18.2] 	时间
045_韩世家	司马迁	太史公	4936	词表匹配	太史公	↵↵## [20] 太史公曰↵↵[20.1] 	人名
045_韩世家	阴德	阴德	5001	词表匹配	阴德	杵臼@之义，此天下之阴德也。@韩@氏之功，於	天文
045_韩世家	十馀世	十馀世	5036	词表匹配	十馀世	赵@、@魏@终为诸侯十馀世，宜乎哉！↵↵## 	时间
045_韩世家	司马迁	太史公	5054	词表匹配	太史公	↵↵## [21] 太史公赞↵↵[21.1] 	人名
