章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
046_田敬仲完世家	天下	天下	4892	词表匹配	天下	也：故曰*琴*音调而天下治。夫治国家而弭人民	思想
046_田敬仲完世家	君子	君子	5200	词表匹配	君子	曰："谨受令，请谨择君子，毋杂小人其间。"@	思想
046_田敬仲完世家	天下	天下	6057	词表匹配	天下	诸侯，自称为王，以令天下。↵↵[17.3] 	思想
046_田敬仲完世家	天下	天下	6154	词表匹配	天下	。吾三战而三胜，声威天下。欲为大事，亦吉乎不	思想
046_田敬仲完世家	天下	天下	8173	词表匹配	天下	备称也。&秦&称之，天下安之，王乃称之，无後	思想
046_田敬仲完世家	天下	天下	8203	词表匹配	天下	无伤也。&秦&称之，天下恶之，王因勿称，以收	思想
046_田敬仲完世家	天下	天下	8215	词表匹配	天下	恶之，王因勿称，以收天下，此大资也。且天下立	思想
046_田敬仲完世家	天下	天下	8224	词表匹配	天下	收天下，此大资也。且天下立两帝，王以天下为尊	思想
046_田敬仲完世家	天下	天下	8232	词表匹配	天下	。且天下立两帝，王以天下为尊&齐&乎？尊&秦	思想
046_田敬仲完世家	天下	天下	8264	词表匹配	天下	秦&。"曰："释帝，天下爱&齐&乎？爱&秦&	思想
046_田敬仲完世家	天下	天下	8345	词表匹配	天下	钧，然与&秦&为帝而天下独尊&秦&而轻&齐&	思想
046_田敬仲完世家	天下	天下	8361	词表匹配	天下	&而轻&齐&，释帝则天下爱&齐&而憎&秦&，	思想
046_田敬仲完世家	天下	天下	8395	词表匹配	天下	利，故原王明释帝以收天下，倍约宾&秦&，无争	思想
046_田敬仲完世家	天下	天下	8515	词表匹配	天下	&、&楚&所以形服，天下莫敢不听，此〚汤〛、	思想
046_田敬仲完世家	天下	天下	8545	词表匹配	天下	&秦&以为名，而後使天下憎之，此所谓以卑为尊	思想
046_田敬仲完世家	天下	天下	8796	词表匹配	天下	其说何也？"对曰："天下国令&齐&可知乎？&	思想
046_田敬仲完世家	天下	天下	10404	词表匹配	天下	=。遂灭&齐&为郡。天下壹并於&秦&，$@秦	思想
