章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
048_陈涉世家	富贵	富贵	114	词表匹配	富贵	，怅恨久之，曰："苟富贵，无相忘。"庸者笑而	思想
048_陈涉世家	富贵	富贵	136	词表匹配	富贵	应曰："若为庸耕，何富贵也？"@陈涉@太息曰	思想
048_陈涉世家	天下	天下	307	词表匹配	天下	乎？"@陈胜@曰："天下苦&秦&久矣。吾闻$	思想
048_陈涉世家	天下	天下	448	词表匹配	天下	苏@$、@项燕@，为天下唱，宜多应者。"@吴	思想
048_陈涉世家	当斩	当斩	755	词表匹配	当斩	遇雨，皆已失期，失期当斩。藉弟令毋斩，而戍死	刑法
048_陈涉世家	社稷	社稷	1069	词表匹配	社稷	秦&，复立&楚&国之社稷，功宜为王。"@陈涉	礼仪
048_陈涉世家	天下	天下	3448	词表匹配	天下	且&楚&首事，当令於天下。"@田儋@诛杀@公	思想
048_陈涉世家	天下	天下	3739	词表匹配	天下	&楚&人谓多为夥，故天下传之，夥$@涉@$为	思想
048_陈涉世家	血食	血食	4001	词表匹配	血食	冢三十家=砀=，至今血食。↵↵## [16]	礼仪
048_陈涉世家	仁义	仁义	4068	词表匹配	仁义	犹未足恃也。夫先王以仁义为本，而以固塞文^法	思想
048_陈涉世家	过秦	过秦	4112	词表匹配	过秦	## [17] 贾谊过秦论(上)↵↵[17.	典籍
048_陈涉世家	天下	天下	4168	词表匹配	天下	以窥&周&室。有席卷天下，包举宇内，囊括四海	思想
048_陈涉世家	会盟	会盟	4329	词表匹配	会盟	要害之郡。诸侯恐惧，会盟而谋弱&秦&。不爱*	礼仪
048_陈涉世家	天下	天下	4353	词表匹配	天下	重宝*肥饶之地，以致天下之士。^合从^缔交，	思想
048_陈涉世家	天下	天下	4666	词表匹配	天下	矢*遗*镞*之费，而天下固已困矣。於是^从^	思想
048_陈涉世家	天下	天下	4728	词表匹配	天下	橹*，因利乘便，宰割天下，分裂〘山河〙，彊国	思想
048_陈涉世家	天下	天下	4847	词表匹配	天下	制六合，执敲朴以鞭笞天下，威振四海。南取~百	思想
048_陈涉世家	百家	百家	4954	词表匹配	百家	。於是废先王之道，燔百家之言，以愚黔首。堕名	思想
048_陈涉世家	天下	天下	4973	词表匹配	天下	。堕名城，杀豪俊，收天下之兵聚之=咸阳=，销	思想
048_陈涉世家	天下	天下	5000	词表匹配	天下	为*金人*十二，以弱天下之民。然後践华为城，	思想
048_陈涉世家	天下	天下	5059	词表匹配	天下	精卒，陈利兵而谁何。天下已定，$@始皇@$之	思想
048_陈涉世家	天下	天下	5236	词表匹配	天下	为兵，揭〘竿〙为旗，天下云会响应，赢*粮*而	思想
048_陈涉世家	天下	天下	5279	词表匹配	天下	↵[17.6] "且天下非小弱也；=雍州=之	思想
048_陈涉世家	天下	天下	5514	词表匹配	天下	七庙堕，身死人手，为天下笑者，何也？仁义不施	思想
048_陈涉世家	仁义	仁义	5522	词表匹配	仁义	，为天下笑者，何也？仁义不施，而攻守之势异也	思想
048_陈涉世家	天下	天下	5559	词表匹配	天下	赞↵↵[18.1] 天下匈匈，海内乏主，掎〘	思想
