章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
049_外戚世家	外戚	外戚	6	词表匹配	外戚	# 049 外戚世家↵↵## 标题↵	人名
049_外戚世家	世家	世家	8	词表匹配	世家	# 049 外戚世家↵↵## 标题↵@外	器物
049_外戚世家	世家	世家	22	词表匹配	世家	## 标题↵@外戚@世家↵↵## [1] 序	器物
049_外戚世家	帝王	帝王	47	词表匹配	帝王	[1.1] 自古受命帝王及继体守文之君，非独	官职
049_外戚世家	外戚	外戚	67	词表匹配	外戚	非独内德茂也，盖亦有外戚之助焉。&夏&之兴也	人名
049_外戚世家	四时	四时	234	词表匹配	四时	为兢兢。夫*乐*调而四时和，阴阳之变，万物之	时间
049_外戚世家	阴阳	阴阳	238	词表匹配	阴阳	夫*乐*调而四时和，阴阳之变，万物之统也。可	制度
049_外戚世家	成子	成子	301	词表匹配	成子	乎！既驩合矣，或不能成子姓；能成子姓矣，或不	人名
049_外戚世家	成子	成子	306	词表匹配	成子	矣，或不能成子姓；能成子姓矣，或不能要其终：	人名
049_外戚世家	司马迁	太史公	362	词表匹配	太史公	？↵↵## [2] 太史公曰↵↵[2.1] $	人名
049_外戚世家	吕后	吕后	524	词表匹配	吕后	。↵↵## [3] 吕后与孝惠皇后↵↵[3.	人名
049_外戚世家	孝惠皇后	孝惠皇后	527	词表匹配	孝惠皇后	## [3] 吕后与孝惠皇后↵↵[3.1] $@	官职
049_外戚世家	而以	而以	644	词表匹配	而以	，王诸@吕@以为辅，而以@吕禄@女为$少帝$	人名
049_外戚世家	宗庙	宗庙	768	词表匹配	宗庙	孝文帝@$，奉&汉&宗庙。此岂非天邪？非天命	制度
049_外戚世家	薄太后	薄太后	794	词表匹配	薄太后	？↵↵## [4] 薄太后↵↵[4.1] $@	人名
049_外戚世家	天子	天子	940	词表匹配	天子	$@薄姬@$，云当生天子。是时@项羽@方与$	官职
049_外戚世家	方与	方与	949	词表匹配	方与	生天子。是时@项羽@方与$@汉王@$相距=荥	地名
049_外戚世家	岁馀	岁馀	1082	词表匹配	岁馀	@$有色，诏内後宫，岁馀不得幸。始$@姬@$	时间
049_外戚世家	美人	美人	1173	词表匹配	美人	=宫=成皋台=，此两美人相与笑$@薄姬@$初	官职
049_外戚世家	两人	两人	1201	词表匹配	两人	王@$闻之，问其故，两人具以实告$@汉王@$	时间
049_外戚世家	遂成	遂成	1279	词表匹配	遂成	："此贵徵也，吾为女遂成之。"一幸生男，是为	人名
049_外戚世家	夫人	夫人	1604	词表匹配	夫人	北亦置$@灵文侯@$夫人园，如$@灵文侯@$	人名
049_外戚世家	窦太后	窦太后	1779	词表匹配	窦太后	。↵↵## [5] 窦太后↵↵[5.1] $@	人名
049_外戚世家	数月	数月	2062	词表匹配	数月	死。$@孝文帝@$立数月，公卿请立$太子$，	时间
049_外戚世家	公卿	公卿	2065	词表匹配	公卿	@孝文帝@$立数月，公卿请立$太子$，而$@	官职
049_外戚世家	明年	明年	2118	词表匹配	明年	嫖@为$长公主$。其明年，立少子@武@为$@	时间
049_外戚世家	有司	有司	2189	词表匹配	有司	是$@薄太后@$乃诏有司，追尊$@窦后@$父	官职
049_外戚世家	窦广国	窦广国	2259	词表匹配	窦广国	。↵↵## [6] 窦广国↵↵[6.1] $@	人名
049_外戚世家	百馀人	百馀人	2359	词表匹配	百馀人	〙作*炭*，暮卧岸下百馀人，岸崩，尽压杀卧者，	时间
