章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
049_外戚世家	人道	人道	208	词表匹配	人道	讥不亲迎。夫妇之际，人道之大伦也。^礼^之用	思想
049_外戚世家	阴阳	阴阳	238	词表匹配	阴阳	夫*乐*调而四时和，阴阳之变，万物之统也。可	思想
049_外戚世家	天下	天下	617	词表匹配	天下	及$@孝惠帝@$崩，天下初定未久，继嗣不明。	思想
049_外戚世家	宗庙	宗庙	768	词表匹配	宗庙	孝文帝@$，奉&汉&宗庙。此岂非天邪？非天命	礼仪
049_外戚世家	天命	天命	778	词表匹配	天命	宗庙。此岂非天邪？非天命孰能当之？↵↵## 	思想
049_外戚世家	天下	天下	964	词表匹配	天下	王@$相距=荥阳=，天下未有所定。@豹@初与	思想
049_外戚世家	百家	百家	1567	词表匹配	百家	，=会稽郡=置园邑三百家，长丞已下吏奉守冢，	思想
049_外戚世家	百家	百家	2230	词表匹配	百家	。令=清河=置园邑二百家，长丞奉守，比$@灵	思想
049_外戚世家	君子	君子	2696	词表匹配	君子	@少君@$由此为退让君子，不敢以尊贵骄人。↵	思想
049_外戚世家	诸子	诸子	3694	词表匹配	诸子	尝体不安，心不乐，属诸子为王者於$@栗姬@$	思想
049_外戚世家	诸子	诸子	3999	词表匹配	诸子	## [10] 景帝诸子↵↵[10.1] $	思想
049_外戚世家	百家	百家	4233	词表匹配	百家	@共侯@$，置园邑二百家。及$@平原君@$卒	思想
049_外戚世家	天下	天下	6273	词表匹配	天下	$@宜春侯@$，贵震天下。天下歌之曰："生男	思想
049_外戚世家	天下	天下	6276	词表匹配	天下	春侯@$，贵震天下。天下歌之曰："生男无喜，	思想
049_外戚世家	天下	天下	6304	词表匹配	天下	不见$@卫子夫@$霸天下！"↵↵[16.2]	思想
049_外戚世家	富贵	富贵	6416	词表匹配	富贵	$皇后$，三子为侯，富贵振动天下，主何以易之	思想
049_外戚世家	天下	天下	6420	词表匹配	天下	，三子为侯，富贵振动天下，主何以易之乎？"於	思想
049_外戚世家	富贵	富贵	6531	词表匹配	富贵	不变其姓。"丈夫当时富贵，百恶灭除，光耀荣华	思想
049_外戚世家	贫贱	贫贱	6544	词表匹配	贫贱	百恶灭除，光耀荣华，贫贱之时何足累之哉！↵↵	思想
049_外戚世家	朝见	朝见	6979	词表匹配	朝见	见妒；士无贤不肖，入朝见嫉。"美女者，恶女之	礼仪
049_外戚世家	是非	是非	7378	词表匹配	是非	母乎？"帝曰："然。是非兒曹愚人所知也。往古	思想
