章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
051_荆燕世家	世家	世家	8	词表匹配	世家	# [0] 荆燕世家↵↵## 荆王刘贾↵	器物
051_荆燕世家	荆王	荆王	15	词表匹配	荆王	 荆燕世家↵↵## 荆王刘贾↵↵### 从征	人名
051_荆燕世家	刘贾	刘贾	17	词表匹配	刘贾	燕世家↵↵## 荆王刘贾↵↵### 从征定国	人名
051_荆燕世家	项羽	项籍	90	词表匹配	项籍	军$，定塞地，从东击项籍。↵↵[2] 汉%四	人名
051_荆燕世家	脩武	脩武	133	词表匹配	脩武	耳@、@韩信@军，军脩武，深沟高垒，使@刘贾	地名
051_荆燕世家	万人	万人	148	词表匹配	万人	高垒，使@刘贾@将二万人，骑数百，渡=白*马	时间
051_荆燕世家	数百	数百	152	词表匹配	数百	@刘贾@将二万人，骑数百，渡=白*马*津=入	时间
051_荆燕世家	项羽	项籍	235	词表匹配	项籍	%五年%，汉$王$追项籍至=固陵=，使@刘贾	人名
051_荆燕世家	大司马	大司马	267	词表匹配	大司马	还至，使人间招=楚=大司马@周殷@。@周殷@反	官职
051_荆燕世家	项羽	项籍	315	词表匹配	项籍	，皆会=垓下=，共击项籍。汉$王$因使@刘贾	人名
051_荆燕世家	太尉	太尉	336	词表匹配	太尉	贾@将=九江=兵，与太尉@卢绾@西南击=临江	官职
051_荆燕世家	西南	西南	342	词表匹配	西南	=兵，与太尉@卢绾@西南击=临江=王@共尉@	地名
051_荆燕世家	十一年	十一年	575	词表匹配	十一年	↵↵[5] @高祖@十一年%秋%，=淮南=王@	时间
051_荆燕世家	燕王	燕王	670	词表匹配	燕王	=荆=地。↵↵## 燕王刘泽↵↵### 初封	人名
051_荆燕世家	刘泽	刘泽	672	词表匹配	刘泽	=地。↵↵## 燕王刘泽↵↵### 初封营陵	人名
051_荆燕世家	营陵	营陵	682	词表匹配	营陵	刘泽↵↵### 初封营陵↵↵[6] =燕=王	地名
051_荆燕世家	三年	三年	710	词表匹配	三年	诸刘远属也。@高帝@三年，泽为$郎中$。@高	时间
051_荆燕世家	十一年	十一年	724	词表匹配	十一年	为$郎中$。@高帝@十一年，泽以$将军$击陈豨	时间
051_荆燕世家	陈豨	陈豨	735	词表匹配	陈豨	一年，泽以$将军$击陈豨，得$王$黄，为=营	人名
051_荆燕世家	田生	田生	757	词表匹配	田生	陵=侯。↵↵### 田生谋王↵↵[7] 高后	人名
051_荆燕世家	高后时	高后时	767	词表匹配	高后时	田生谋王↵↵[7] 高后时，=齐=人@田生@游	时间
051_荆燕世家	百斤	百斤	803	词表匹配	百斤	泽大说之，用*金*二百斤为@田生@寿。@田生	时间
051_荆燕世家	谒者	谒者	882	词表匹配	谒者	子求事@吕后@所幸大谒者@张子卿@。居数月，	官职
051_荆燕世家	数月	数月	891	词表匹配	数月	大谒者@张子卿@。居数月，@田生@子请张卿临	时间
051_荆燕世家	百馀	百馀	957	词表匹配	百馀	观$诸$侯$王$邸弟百馀，皆@高祖@一切功臣	时间
051_荆燕世家	功臣	功臣	967	词表匹配	功臣	百馀，皆@高祖@一切功臣。今&吕氏&雅故本推	官职
051_荆燕世家	万户	万户	1077	词表匹配	万户	必喜。诸吕已$王$，万户$侯$亦卿之有。太后	时间
051_荆燕世家	千斤	千斤	1152	词表匹配	千斤	吕$王$。太后赐张卿千斤*金*，张卿以其半与	时间
051_荆燕世家	王泽	王泽	1351	词表匹配	王泽	 及太后崩，=琅邪=王泽乃曰："帝少，诸吕用	地名
051_荆燕世家	将相	将相	1439	词表匹配	将相	=王亦从=代=至。诸将相与=琅邪=王共立=代	官职
051_荆燕世家	天子	天子	1454	词表匹配	天子	邪=王共立=代=王为天子。天子乃徙泽为=燕=	官职
051_荆燕世家	天子	天子	1457	词表匹配	天子	共立=代=王为天子。天子乃徙泽为=燕=王，乃	官职
051_荆燕世家	二年	二年	1505	词表匹配	二年	↵[9] 泽王=燕=二年，薨，谥为敬$王$。	时间
051_荆燕世家	子男	子男	1549	词表匹配	子男	与父康$王$姬奸，生子男一人。夺弟妻为姬。与	官职
051_荆燕世家	三人	三人	1563	词表匹配	三人	。夺弟妻为姬。与子女三人奸。定国有所欲诛杀臣	时间
051_荆燕世家	禽兽	禽兽	1659	词表匹配	禽兽	$卿，皆议曰："定国禽兽行，乱人伦，逆天，当	器物
051_荆燕世家	司马迁	太史公	1694	词表匹配	太史公	除为郡。↵↵↵## 太史公曰↵↵> [NOTE	人名
051_荆燕世家	三世	三世	1782	词表匹配	三世	@刘泽@卒南面称孤者三世。事发相重，岂不为伟	时间
051_荆燕世家	千斤	千斤	1882	词表匹配	千斤	。@田生@游说，受赐千斤。权激诸吕，事发荣身	时间
