章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
052_齐悼惠王世家	齐悼惠王	齐悼惠王	6	词表匹配	齐悼惠王	# [0] 齐悼惠王世家↵↵## 齐悼惠	官职
052_齐悼惠王世家	世家	世家	10	词表匹配	世家	# [0] 齐悼惠王世家↵↵## 齐悼惠王刘	器物
052_齐悼惠王世家	齐悼惠王	齐悼惠王	17	词表匹配	齐悼惠王	悼惠王世家↵↵## 齐悼惠王刘肥↵↵### 初立	官职
052_齐悼惠王世家	刘肥	刘肥	21	词表匹配	刘肥	家↵↵## 齐悼惠王刘肥↵↵### 初立为王	人名
052_齐悼惠王世家	悼惠王	悼惠王	42	词表匹配	悼惠王	王↵↵[1] =齐=悼惠王@刘肥@者，@高祖@	人名
052_齐悼惠王世家	六年	六年	74	词表匹配	六年	也，曰曹氏。@高祖@六年，立肥为=齐=王，食	时间
052_齐悼惠王世家	二年	二年	139	词表匹配	二年	帝@兄也。孝@惠帝@二年，=齐=王入朝。@惠	时间
052_齐悼惠王世家	吕后	吕太后	171	词表匹配	吕太后	饮，亢^礼^如家人。吕太后怒，且诛=齐=王。=	人名
052_齐悼惠王世家	内史	内史	195	词表匹配	内史	=王惧不得脱，乃用其内史勋计，献=城阳=郡，	地名
052_齐悼惠王世家	鲁元公主	鲁元	209	词表匹配	鲁元	，献=城阳=郡，以为鲁元$公$主汤沐邑。吕太	人名
052_齐悼惠王世家	吕后	吕太后	219	词表匹配	吕太后	鲁元$公$主汤沐邑。吕太后喜，乃得辞就国。↵↵	人名
052_齐悼惠王世家	悼惠	悼惠	236	词表匹配	悼惠	辞就国。↵↵[3] 悼惠$王$即位%十三年%	人名
052_齐悼惠王世家	六年	六年	254	词表匹配	六年	十三年%，以@惠帝@六年卒。子襄立，是为哀$	时间
052_齐悼惠王世家	子襄	子襄	258	词表匹配	子襄	，以@惠帝@六年卒。子襄立，是为哀$王$。↵	人名
052_齐悼惠王世家	齐哀王	齐哀王	274	词表匹配	齐哀王	哀$王$。↵↵## 齐哀王时期↵↵### 吕后	人名
052_齐悼惠王世家	吕后专权	吕后专权	285	词表匹配	吕后专权	哀王时期↵↵### 吕后专权↵↵[4] 哀王%元	event
052_齐悼惠王世家	周哀王	哀王	295	词表匹配	哀王	吕后专权↵↵[4] 哀王%元年%，孝@惠帝@	人名
052_齐悼惠王世家	吕后	吕太后	309	词表匹配	吕太后	年%，孝@惠帝@崩，吕太后称制，天下事皆决於高	人名
052_齐悼惠王世家	称制	称制	312	词表匹配	称制	孝@惠帝@崩，吕太后称制，天下事皆决於高后。	制度
052_齐悼惠王世家	高后	高后	321	词表匹配	高后	后称制，天下事皆决於高后。%二年%，高后立其	人名
052_齐悼惠王世家	高后	高后	329	词表匹配	高后	决於高后。%二年%，高后立其兄子郦侯@吕台@	人名
052_齐悼惠王世家	郦侯	郦侯	335	词表匹配	郦侯	二年%，高后立其兄子郦侯@吕台@为吕$王$，	官职
052_齐悼惠王世家	周哀王	哀王	371	词表匹配	哀王	$奉邑。↵↵[5] 哀王%三年%，其弟章入宿	人名
052_齐悼惠王世家	吕后	吕太后	389	词表匹配	吕太后	弟章入宿卫於&汉&，吕太后封为硃虚$侯$，以@	人名
052_齐悼惠王世家	硃虚	硃虚	394	词表匹配	硃虚	於&汉&，吕太后封为硃虚$侯$，以@吕禄@女	官职
052_齐悼惠王世家	刘兴居	兴居	418	词表匹配	兴居	。後%四年%，封章弟兴居为东牟$侯$，皆宿卫	人名
052_齐悼惠王世家	周哀王	哀王	442	词表匹配	哀王	安=中。↵↵[6] 哀王%八年%，高后割齐=	人名
052_齐悼惠王世家	高后	高后	449	词表匹配	高后	6] 哀王%八年%，高后割齐=琅邪=郡立=营	人名
052_齐悼惠王世家	明年	明年	482	词表匹配	明年	=王。↵↵[7] 其明年，=赵=王友入朝，幽	时间
052_齐悼惠王世家	高后	高后	506	词表匹配	高后	邸。三=赵=王皆废。高后立诸吕诸吕为三$王$	人名
052_齐悼惠王世家	硃虚	硃虚	541	词表匹配	硃虚	虚侯抗吕↵↵[8] 硃虚$侯$年二十，有气力	官职
052_齐悼惠王世家	年二十	年二十	546	词表匹配	年二十	↵[8] 硃虚$侯$年二十，有气力，忿&刘氏&	时间
052_齐悼惠王世家	高后	高后	566	词表匹配	高后	刘氏&不得职。尝入待高后=燕=饮，高后^令^	人名
052_齐悼惠王世家	高后	高后	573	词表匹配	高后	尝入待高后=燕=饮，高后^令^硃虚$侯$刘章	人名
052_齐悼惠王世家	硃虚	硃虚	578	词表匹配	硃虚	=燕=饮，高后^令^硃虚$侯$刘章为酒吏。章	官职
052_齐悼惠王世家	刘章	刘章	583	词表匹配	刘章	高后^令^硃虚$侯$刘章为酒吏。章自请曰："	人名
052_齐悼惠王世家	高后	高后	612	词表匹配	高后	得以军^法^行酒。"高后曰："可。"酒酣，章	人名
052_齐悼惠王世家	高后	高后	644	词表匹配	高后	请为太后言耕田歌。"高后兒子畜之，笑曰："顾	人名
052_齐悼惠王世家	硃虚	硃虚	808	词表匹配	硃虚	罢。自是之後，诸吕惮硃虚$侯$，虽大臣皆依硃	官职
052_齐悼惠王世家	硃虚	硃虚	819	词表匹配	硃虚	虚$侯$，虽大臣皆依硃虚$侯$，&刘氏&为益	官职
052_齐悼惠王世家	齐王	齐王	839	词表匹配	齐王	为益彊。↵↵### 齐王举兵↵↵[9] 其明	人名
052_齐悼惠王世家	明年	明年	850	词表匹配	明年	王举兵↵↵[9] 其明年，高后崩。=赵=王@	时间
052_齐悼惠王世家	高后	高后	853	词表匹配	高后	↵↵[9] 其明年，高后崩。=赵=王@吕禄@	人名
052_齐悼惠王世家	硃虚	硃虚	902	词表匹配	硃虚	兵以威大臣，欲为乱。硃虚$侯$章以@吕禄@女	官职
052_齐悼惠王世家	硃虚	硃虚	942	词表匹配	硃虚	王，欲^令^发兵西，硃虚$侯$、东牟$侯$为	官职
052_齐悼惠王世家	驷钧	驷钧	992	词表匹配	驷钧	既闻此计，乃与其舅父驷钧、$郎中令$祝午、中	人名
052_齐悼惠王世家	中尉	中尉	1003	词表匹配	中尉	钧、$郎中令$祝午、中尉=魏=勃阴谋发兵。=	官职
052_齐悼惠王世家	相府	相府	1117	词表匹配	相府	$宫。勃既将兵，使围相府。@召平@曰：“嗟乎	官职
052_齐悼惠王世家	驷钧	驷钧	1164	词表匹配	驷钧	自杀。於是=齐=王以驷钧为相，=魏=勃为$将	人名
052_齐悼惠王世家	内史	内史	1182	词表匹配	内史	勃为$将军$，祝午为内史，悉发国中兵。使祝午	地名
052_齐悼惠王世家	王发	王发	1214	词表匹配	王发	&吕氏&作乱，=齐=王发兵欲西诛之。=齐=王	人名
052_齐悼惠王世家	临菑	临菑	1284	词表匹配	临菑	，使臣请大$王$幸之临菑见=齐=王计事，并将	地名
052_齐悼惠王世家	悼惠	悼惠	1402	词表匹配	悼惠	=齐=王曰：“=齐=悼惠$王$高皇帝长子，推	人名
052_齐悼惠王世家	高皇帝	高皇帝	1407	词表匹配	高皇帝	：“=齐=悼惠$王$高皇帝长子，推本言之，而大	人名
052_齐悼惠王世家	卫长子	长子	1410	词表匹配	长子	齐=悼惠$王$高皇帝长子，推本言之，而大$王	人名
052_齐悼惠王世家	高皇帝	高皇帝	1423	词表匹配	高皇帝	推本言之，而大$王$高皇帝適长孙也，当立。今诸	人名
052_齐悼惠王世家	悼惠	悼惠	1575	词表匹配	悼惠	天下，$王$诸子弟，悼惠$王$於=齐=。悼惠	人名
052_齐悼惠王世家	悼惠	悼惠	1585	词表匹配	悼惠	悼惠$王$於=齐=。悼惠$王$薨，@惠帝@使	人名
052_齐悼惠王世家	张良	留侯	1597	词表匹配	留侯	$王$薨，@惠帝@使留侯张良@立臣为=齐=王	人名
052_齐悼惠王世家	张良	张良	1599	词表匹配	张良	$薨，@惠帝@使留侯张良@立臣为=齐=王。@	人名
052_齐悼惠王世家	惠帝	惠帝	1611	词表匹配	惠帝	@立臣为=齐=王。@惠帝@崩，高后用事，%春	人名
052_齐悼惠王世家	汉高祖	高帝	1635	词表匹配	高帝	秋%高，听诸吕擅废@高帝@所立，又杀三=赵=	人名
052_齐悼惠王世家	高后	高后	1688	词表匹配	高后	进谏，上惑乱不听。今高后崩，皇帝%春%%秋%	人名
052_齐悼惠王世家	皇帝	皇帝	1692	词表匹配	皇帝	惑乱不听。今高后崩，皇帝%春%%秋%富，未能	官职
