章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
053_萧相国世家	萧相国	萧相国	6	词表匹配	萧相国	# [0] 萧相国世家↵↵↵## 早年	人名
053_萧相国世家	世家	世家	9	词表匹配	世家	# [0] 萧相国世家↵↵↵## 早年仕秦	器物
053_萧相国世家	卒史	卒史	152	词表匹配	卒史	辨之。何乃给=泗水=卒史事，第一。秦$御史$	官职
053_萧相国世家	汉高祖	高祖	186	词表匹配	高祖	行。↵↵↵## 辅佐高祖↵↵[4] 及@高祖	人名
053_萧相国世家	御史	御史	249	词表匹配	御史	何独先入收秦$丞相$御史律^令^图书藏之。=	官职
053_萧相国世家	图书	图书	255	词表匹配	图书	$丞相$御史律^令^图书藏之。=沛=公为汉$	器物
053_萧相国世家	图书	图书	333	词表匹配	图书	苦者，以何具得&秦&图书也。何进言@韩信@，	器物
053_萧相国世家	韩信	淮阴	360	词表匹配	淮阴	信为$大将军$。语在淮阴$侯$事中。↵↵[5	人名
053_萧相国世家	栎阳	栎阳	442	词表匹配	栎阳	=关中=，侍太子，治栎阳。为^法^令约束，立	地名
053_萧相国世家	宫室	宫室	462	词表匹配	宫室	，立^宗庙^社〘稷〙宫室县邑，辄奏上，可，许	制度
053_萧相国世家	京索	京索	568	词表匹配	京索	$王$与@项羽@相距京索之间，上数使使劳苦$	地名
053_萧相国世家	岁馀	岁馀	702	词表匹配	岁馀	论功行封。群臣争功，岁馀功不决。@高祖@以@	时间
053_萧相国世家	功臣	功臣	733	词表匹配	功臣	酂$侯$，所食邑多。功臣皆曰：“臣等身被坚执	官职
053_萧相国世家	百馀	百馀	749	词表匹配	百馀	臣等身被坚执锐，多者百馀战，少者数十合，攻城	时间
053_萧相国世家	数十	数十	755	词表匹配	数十	锐，多者百馀战，少者数十合，攻城略地，大小各	时间
053_萧相国世家	三人	三人	912	词表匹配	三人	君独以身随我，多者两三人。今@萧何@举宗数十	时间
053_萧相国世家	数十人	数十人	922	词表匹配	数十人	三人。今@萧何@举宗数十人皆随我，功不可忘也。	时间
053_萧相国世家	平阳侯	平阳侯	967	词表匹配	平阳侯	，及奏位次，皆曰：“平阳侯@曹参@身被七十创，	人名
053_萧相国世家	功臣	功臣	997	词表匹配	功臣	多，宜第一。”上已桡功臣，多封@萧何@，至位	官职
053_萧相国世家	五岁	五岁	1070	词表匹配	五岁	事。夫上与=楚=相距五岁，常失军亡众，逃身遁	时间
053_萧相国世家	数万	数万	1113	词表匹配	数万	非上所诏^令^召，而数万众会上之乏绝者数矣。	时间
053_萧相国世家	数年	数年	1139	词表匹配	数年	与=楚=相守=荥阳=数年，军无见粮，@萧何@	时间
053_萧相国世家	万世	万世	1189	词表匹配	万世	=关中=以待陛下，此万世之功也。今虽亡@曹参	时间
053_萧相国世家	一旦	一旦	1228	词表匹配	一旦	不必待以全。柰何欲以一旦之功而加万世之功哉！	时间
053_萧相国世家	万世	万世	1234	词表匹配	万世	柰何欲以一旦之功而加万世之功哉！@萧何@第一	时间
053_萧相国世家	安平	安平	1338	词表匹配	安平	所食$关内侯$邑封为安平$侯$。是日，悉封何	地名
053_萧相国世家	十馀人	十馀人	1354	词表匹配	十馀人	是日，悉封何父子兄弟十馀人，皆有食邑。乃益封何	时间
053_萧相国世家	千户	千户	1368	词表匹配	千户	皆有食邑。乃益封何二千户，以帝尝繇=咸阳=时	时间
053_萧相国世家	陈豨	陈豨	1416	词表匹配	陈豨	0] 汉%十一年%，陈豨反，@高祖@自将，至	人名
053_萧相国世家	韩信	淮阴	1436	词表匹配	淮阴	，至=邯郸=。未罢，淮阴$侯$谋反=关中=，	人名
053_萧相国世家	韩信	淮阴	1460	词表匹配	淮阴	后@用@萧何@计，诛淮阴$侯$，语在淮阴事中	人名
053_萧相国世家	韩信	淮阴	1468	词表匹配	淮阴	，诛淮阴$侯$，语在淮阴事中。上已闻淮阴$侯	人名
053_萧相国世家	韩信	淮阴	1476	词表匹配	淮阴	语在淮阴事中。上已闻淮阴$侯$诛，使使拜$丞	人名
053_萧相国世家	千户	千户	1500	词表匹配	千户	何为$相国$，益封五千户，^令^卒五百人一$	时间
053_萧相国世家	东陵	东陵	1544	词表匹配	东陵	@召平@者，故&秦&东陵$侯$。&秦&破，为	地名
053_萧相国世家	东陵	东陵	1582	词表匹配	东陵	，瓜美，故世俗谓之“东陵瓜”，从@召平@以为	地名
053_萧相国世家	於中	於中	1623	词表匹配	於中	矣。上暴露於外而君守於中，非被矢石之事而益君	地名
053_萧相国世家	矢石	矢石	1628	词表匹配	矢石	於外而君守於中，非被矢石之事而益君封置卫者，	器物
053_萧相国世家	韩信	淮阴	1643	词表匹配	淮阴	益君封置卫者，以今者淮阴$侯$新反於中，疑君	人名
053_萧相国世家	於中	於中	1650	词表匹配	於中	以今者淮阴$侯$新反於中，疑君心矣。夫置卫卫	地名
053_萧相国世家	卫君	卫君	1661	词表匹配	卫君	中，疑君心矣。夫置卫卫君，非以宠君也。原君让	人名
053_萧相国世家	陈豨	陈豨	1772	词表匹配	陈豨	姓，悉以所有佐军，如陈豨时。客有说$相国$曰	人名
053_萧相国世家	十馀年	十馀年	1825	词表匹配	十馀年	=关中=，得百姓心，十馀年矣，皆附君，常复孳孳	时间
053_萧相国世家	数千万	数千万	1931	词表匹配	数千万	$相国$贱彊买民田宅数千万。上至，$相国$谒。	时间
053_萧相国世家	上林	上林	1998	词表匹配	上林	曰：“=长安=地狭，上林中多空地，弃，原^令	地名
053_萧相国世家	禽兽	禽兽	2020	词表匹配	禽兽	^民得入田，毋收为禽兽食。”上大怒曰：“$	器物
053_萧相国世家	廷尉	廷尉	2055	词表匹配	廷尉	吾苑！”乃下$相国$廷尉，械系之。数日，王$	官职
053_萧相国世家	数日	数日	2062	词表匹配	数日	相国$廷尉，械系之。数日，王$卫尉$侍，前问	时间
053_萧相国世家	李斯	李斯	2099	词表匹配	李斯	暴也？”上曰：“吾闻李斯相&秦&皇帝，有善归	人名
053_萧相国世家	皇帝	皇帝	2105	词表匹配	皇帝	：“吾闻李斯相&秦&皇帝，有善归主，有恶自与	官职
053_萧相国世家	宰相	宰相	2170	词表匹配	宰相	苟有便於民而请之，真宰相事，陛下柰何乃疑$相	官职
053_萧相国世家	数岁	数岁	2199	词表匹配	数岁	*乎！且陛下距=楚=数岁，陈豨、@黥布@反，	时间
053_萧相国世家	陈豨	陈豨	2202	词表匹配	陈豨	且陛下距=楚=数岁，陈豨、@黥布@反，陛下自	人名
053_萧相国世家	李斯	李斯	2279	词表匹配	李斯	&以不闻其过亡天下，李斯之分过，又何足^法^	人名
053_萧相国世家	宰相	宰相	2297	词表匹配	宰相	足^法^哉。陛下何疑宰相之浅也。”@高帝@不	官职
053_萧相国世家	百岁	百岁	2461	词表匹配	百岁	$病，因问曰：“君即百岁後，谁可=代=君者？	时间
053_萧相国世家	二年	二年	2574	词表匹配	二年	↵[15] @孝惠@二年，$相国$何卒，谥为	时间
053_萧相国世家	天子	天子	2613	词表匹配	天子	失$侯$者四世，绝，天子辄复求何後，封续酂$	官职
053_萧相国世家	功臣	功臣	2628	词表匹配	功臣	何後，封续酂$侯$，功臣莫得比焉。↵↵↵##	官职
053_萧相国世家	司马迁	太史公	2641	词表匹配	太史公	得比焉。↵↵↵## 太史公曰↵↵> [NOTE	人名
053_萧相国世家	刀笔	刀笔	2668	词表匹配	刀笔	相国$何於&秦&时为刀笔吏，录录未有奇*节*	器物
053_萧相国世家	日月	日月	2688	词表匹配	日月	节*。及&汉&兴，依日月之末光，何谨守管籥，	制度
053_萧相国世家	管籥	管籥	2697	词表匹配	管籥	依日月之末光，何谨守管籥，因民之疾^法^，顺	器物
053_萧相国世家	韩信	淮阴	2715	词表匹配	淮阴	法^，顺流与之更始。淮阴、@黥布@等皆以诛灭	人名
053_萧相国世家	闳夭	闳夭	2746	词表匹配	闳夭	冠群臣，声施後世，与闳夭、散宜生等争烈矣。↵	人名
053_萧相国世家	散宜生	散宜生	2749	词表匹配	散宜生	，声施後世，与闳夭、散宜生等争烈矣。↵↵> [	人名
