章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
054_曹相国世家	天下	天下	19	词表匹配	天下	世家↵↵↵## 从征天下↵↵[1] 平阳侯@	思想
054_曹相国世家	赐爵	赐爵	176	词表匹配	赐爵	=反为=魏=，攻之。赐爵七$大夫$。击&秦&	礼仪
054_曹相国世家	赐食	赐食	774	词表匹配	赐食	参，参出击，大破之。赐食邑於宁&秦&。参以$	礼仪
054_曹相国世家	赐食	赐食	1119	词表匹配	赐食	魏=地，凡五十二城。赐食邑平阳。因从@韩信@	礼仪
054_曹相国世家	天下	天下	1443	词表匹配	天下	↵[6] 项籍已死，天下定，汉$王$为皇帝，	思想
054_曹相国世家	赐爵	赐爵	1513	词表匹配	赐爵	相国。以@高祖@六年赐爵$列侯$，与诸$侯$	礼仪
054_曹相国世家	天下	天下	1774	词表匹配	天下	齐=，=齐=七十城。天下初定，悼惠$王$富於	思想
054_曹相国世家	黄老	黄老	1844	词表匹配	黄老	西=有盖$公$，善治黄老言，使人厚币请之。既	思想
054_曹相国世家	清静	清静	1871	词表匹配	清静	，盖$公$为言治道贵清静而民自定，推此类具言	思想
054_曹相国世家	黄老	黄老	1903	词表匹配	黄老	盖$公$焉。其治要用黄老术，故相=齐=九年，	思想
054_曹相国世家	天下	天下	2440	词表匹配	天下	饮，无所请事，何以忧天下乎？’然无言吾告若也	思想
054_曹相国世家	天下	天下	2486	词表匹配	天下	二百，曰：“趣入侍，天下事非若所当言也。”至	思想
054_曹相国世家	天下	天下	2612	词表匹配	天下	@高帝@与@萧何@定天下，^法^令既明，今陛	思想
054_曹相国世家	清静	清静	2992	词表匹配	清静	名。参为汉$相国$，清静极言合道。然百姓离&	思想
054_曹相国世家	无为	无为	3014	词表匹配	无为	秦&之酷後，参与休息无为，故天下俱称其美矣。	思想
054_曹相国世家	天下	天下	3018	词表匹配	天下	後，参与休息无为，故天下俱称其美矣。↵↵> 	思想
