章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
055_留侯世家	张良	留侯	6	词表匹配	留侯	# [0] 留侯世家↵↵↵## 早年	人名
055_留侯世家	世家	世家	8	词表匹配	世家	# [0] 留侯世家↵↵↵## 早年复仇	器物
055_留侯世家	张良	留侯	26	词表匹配	留侯	早年复仇↵↵[1] 留侯@张良@者，其先=韩	人名
055_留侯世家	悼惠	悼惠	77	词表匹配	悼惠	。父平，相釐$王$、悼惠$王$。悼惠王%二十	人名
055_留侯世家	悼惠王	悼惠王	83	词表匹配	悼惠王	$王$、悼惠$王$。悼惠王%二十三年%，平卒。	人名
055_留侯世家	二十岁	二十岁	97	词表匹配	二十岁	二十三年%，平卒。卒二十岁，&秦&灭=韩=。良	时间
055_留侯世家	三百人	三百人	128	词表匹配	三百人	=。=韩=破，良家僮三百人，弟死不葬，悉以家财	时间
055_留侯世家	五世	五世	161	词表匹配	五世	韩=报仇，以大父、父五世相=韩=故。↵↵[2	时间
055_留侯世家	淮阳	淮阳	181	词表匹配	淮阳	[2] 良尝学^礼^淮阳。东见仓海君。得力士	地名
055_留侯世家	力士	力士	191	词表匹配	力士	淮阳。东见仓海君。得力士，为铁椎重百二十斤。	官职
055_留侯世家	铁椎	铁椎	195	词表匹配	铁椎	见仓海君。得力士，为铁椎重百二十斤。&秦&皇	器物
055_留侯世家	皇帝	皇帝	206	词表匹配	皇帝	椎重百二十斤。&秦&皇帝东游，良与客狙击&秦	官职
055_留侯世家	皇帝	皇帝	219	词表匹配	皇帝	游，良与客狙击&秦&皇帝博浪沙中，误中副*车	官职
055_留侯世家	皇帝	皇帝	236	词表匹配	皇帝	误中副*车*。&秦&皇帝大怒，大索天下，求贼	官职
055_留侯世家	下邳	下邳	267	词表匹配	下邳	也。良乃更名姓，亡匿下邳。↵↵[3] 良尝间	地名
055_留侯世家	下邳	下邳	283	词表匹配	下邳	3] 良尝间从容步游下邳圯上，有一老父，衣褐	地名
055_留侯世家	晏孺子	孺子	313	词表匹配	孺子	履圯下，顾谓良曰：“孺子，下取履！”良鄂然，	人名
055_留侯世家	晏孺子	孺子	389	词表匹配	孺子	去里所，复还，曰：“孺子可教矣。後五日平明，	人名
055_留侯世家	五日	五日	396	词表匹配	五日	曰：“孺子可教矣。後五日平明，与我会此。”良	时间
055_留侯世家	五日	五日	419	词表匹配	五日	怪之，跪曰：“诺。”五日平明，良往。父已先在	时间
055_留侯世家	老人	老人	437	词表匹配	老人	父已先在，怒曰：“与老人期，後，何也？”去，	天文
055_留侯世家	五日	五日	453	词表匹配	五日	何也？”去，曰：“後五日早会。”五日〘鸡〙鸣	时间
055_留侯世家	五日	五日	459	词表匹配	五日	曰：“後五日早会。”五日〘鸡〙鸣，良往。父又	时间
055_留侯世家	五日	五日	491	词表匹配	五日	何也？”去，曰：“後五日复早来。”五日，良夜	时间
055_留侯世家	五日	五日	498	词表匹配	五日	：“後五日复早来。”五日，良夜未半往。有顷，	时间
055_留侯世家	晏孺子	孺子	554	词表匹配	孺子	十年%兴。%十三年%孺子见我=济北=，穀城山	人名
055_留侯世家	穀城	穀城	563	词表匹配	穀城	%孺子见我=济北=，穀城山下黄石即我矣。”遂	地名
055_留侯世家	下黄	下黄	566	词表匹配	下黄	见我=济北=，穀城山下黄石即我矣。”遂去，无	地名
055_留侯世家	下邳	下邳	620	词表匹配	下邳	读之。↵↵↵### 下邳遇仙↵↵[4] 居下	地名
055_留侯世家	下邳	下邳	631	词表匹配	下邳	邳遇仙↵↵[4] 居下邳，为任侠。@项伯@常	地名
055_留侯世家	汉高祖	沛公	658	词表匹配	沛公	匿。↵↵↵## 辅佐沛公↵↵[5] 後%十年	人名
055_留侯世家	陈涉	陈涉	672	词表匹配	陈涉	[5] 後%十年%，陈涉等起兵，良亦聚少年百	人名
055_留侯世家	百馀人	百馀人	683	词表匹配	百馀人	涉等起兵，良亦聚少年百馀人。景驹自立为=楚=假	时间
055_留侯世家	景驹	景驹	687	词表匹配	景驹	，良亦聚少年百馀人。景驹自立为=楚=假$王$	人名
055_留侯世家	数千人	数千人	721	词表匹配	数千人	=沛=公。=沛=公将数千人，略地下邳西，遂属焉	时间
055_留侯世家	下邳	下邳	727	词表匹配	下邳	沛=公将数千人，略地下邳西，遂属焉。=沛=公	地名
055_留侯世家	景驹	景驹	805	词表匹配	景驹	。”故遂从之，不去见景驹。↵↵[6] 及=沛	人名
055_留侯世家	横阳君	横阳君	870	词表匹配	横阳君	，而=韩=诸$公子$横阳君成贤，可立为$王$，	官职
055_留侯世家	申徒	申徒	914	词表匹配	申徒	韩=王。以良为=韩=申徒，与=韩=王将千馀人	人名
055_留侯世家	千馀人	千馀人	923	词表匹配	千馀人	=申徒，与=韩=王将千馀人西略=韩=地，得数城	时间
055_留侯世家	颍川	颍川	950	词表匹配	颍川	辄复取之，往来为游兵颍川。↵↵[7] =沛=	地名
055_留侯世家	轘辕	轘辕	971	词表匹配	轘辕	=公之从=雒阳=南出轘辕，良引兵从=沛=公，	地名
055_留侯世家	十馀城	十馀城	987	词表匹配	十馀城	从=沛=公，下=韩=十馀城，击破杨〘熊〙军。=	时间
055_留侯世家	王成	王成	1008	词表匹配	王成	。=沛=公乃令=韩=王成留守阳翟，与良俱南，	人名
055_留侯世家	阳翟	阳翟	1012	词表匹配	阳翟	公乃令=韩=王成留守阳翟，与良俱南，攻下宛，	地名
055_留侯世家	万人	万人	1039	词表匹配	万人	=。=沛=公欲以兵二万人击&秦&峣下军，良说	时间
055_留侯世家	下军	下军	1046	词表匹配	下军	以兵二万人击&秦&峣下军，良说曰：“&秦&兵	官职
055_留侯世家	万人	万人	1096	词表匹配	万人	留壁，使人先行，为五万人具食，益为张旗帜诸山	时间
055_留侯世家	旗帜	旗帜	1104	词表匹配	旗帜	为五万人具食，益为张旗帜诸山上，为疑兵，令@	器物
055_留侯世家	蓝田	蓝田	1207	词表匹配	蓝田	秦&军，大破之。北至蓝田，再战，&秦&兵竟败	地名
055_留侯世家	子婴	子婴	1231	词表匹配	子婴	至=咸阳=，秦$王$子婴降=沛=公。↵↵[8	人名
055_留侯世家	宫室	宫室	1255	词表匹配	宫室	=沛=公入&秦&宫，宫室帷帐狗*马*重宝妇女	制度
055_留侯世家	毒药	毒药	1365	词表匹配	毒药	且‘忠言逆耳利於行，毒药苦口利於病’，原=沛	器物
055_留侯世家	霸上	霸上	1394	词表匹配	霸上	言。”=沛=公乃还军霸上。↵↵↵### 鸿门	地名
055_留侯世家	鸿门	鸿门	1404	词表匹配	鸿门	霸上。↵↵↵### 鸿门脱险↵↵[9] @项	地名
055_留侯世家	鸿门	鸿门	1419	词表匹配	鸿门	↵[9] @项羽@至鸿门下，欲击=沛=公，@	地名
055_留侯世家	二斗	二斗	1729	词表匹配	二斗	$赐良*金*百溢，珠二斗，良具以献@项伯@。	时间
055_留侯世家	栈道	栈道	1821	词表匹配	栈道	“$王$何不烧绝所过栈道，示天下无还心，以固	器物
055_留侯世家	栈道	栈道	1849	词表匹配	栈道	”乃使良还。行，烧绝栈道。↵↵### 定策东	器物
055_留侯世家	王成	王成	1878	词表匹配	王成	 良至=韩=，=韩=王成以良从汉$王$故，项	人名
055_留侯世家	栈道	栈道	1919	词表匹配	栈道	$曰："汉$王$烧绝栈道，无还心矣。"乃以=	器物
055_留侯世家	成信	成信	2034	词表匹配	成信	三&秦&矣。复以良为成信$侯$，从东击=楚=	人名
055_留侯世家	下邑	下邑	2061	词表匹配	下邑	=，&汉&败而还。至下邑，汉$王$下*马*踞	地名
055_留侯世家	两人	两人	2146	词表匹配	两人	田荣@反=梁=地：此两人可急使。而汉$王$之	时间
055_留侯世家	三人	三人	2181	词表匹配	三人	面。即欲捐之，捐之此三人，则=楚=可破也。"	时间
055_留侯世家	三人	三人	2269	词表匹配	三人	。然卒破=楚=者，此三人力也。↵↵[13] 	时间
055_留侯世家	审食其	食其	2366	词表匹配	食其	食其@谋桡=楚=权。食其曰：“昔汤伐桀，封其	人名
055_留侯世家	六国	六国	2416	词表匹配	六国	诸$侯$社〘稷〙，灭六国之後，使无立锥之地。	制度
055_留侯世家	六国	六国	2434	词表匹配	六国	锥之地。陛下诚能复立六国後世，毕已受*印*，	制度
055_留侯世家	臣妾	臣妾	2469	词表匹配	臣妾	，莫不乡风慕义，原为臣妾。德义已行，陛下南乡	器物
055_留侯世家	审食其	食其	2525	词表匹配	食其	矣。”↵↵[15] 食其未行，@张良@从外来	人名
055_留侯世家	子房	子房	2549	词表匹配	子房	汉$王$方食，曰：“子房前！客有为我计桡=楚	人名
055_留侯世家	郦生食其	郦生	2568	词表匹配	郦生	桡=楚=权者。”其以郦生语告，曰：“於子房何	人名
055_留侯世家	子房	子房	2577	词表匹配	子房	以郦生语告，曰：“於子房何如？”良曰：“谁为	人名
055_留侯世家	项羽	项籍	2666	词表匹配	项籍	之死命也。今陛下能制项籍之死命乎？”曰：“未	人名
055_留侯世家	项羽	项籍	2715	词表匹配	项籍	纣之头也。今陛下能得项籍之头乎？”曰：“未能	人名
055_留侯世家	箕子	箕子	2755	词表匹配	箕子	，表&商&容之闾，释箕子之拘，封比干之墓。今	人名
055_留侯世家	王子比干	比干	2761	词表匹配	比干	之闾，释箕子之拘，封比干之墓。今陛下能封圣人	人名
055_留侯世家	钜桥	钜桥	2806	词表匹配	钜桥	。”“其不可三也。发钜桥之*粟*，散〘鹿〙台	地名
055_留侯世家	府库	府库	2833	词表匹配	府库	以赐贫穷。今陛下能散府库以赐贫穷乎？”曰：“	器物
055_留侯世家	桃林	桃林	2971	词表匹配	桃林	其不可六矣。放〘牛〙桃林之阴，以示不复输积。	地名
055_留侯世家	六国	六国	3049	词表匹配	六国	日夜望咫尺之地。今复六国，立=韩=、=魏=、	制度
