章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
057_绛侯周勃世家	绛侯	绛侯	6	词表匹配	绛侯	# [0] 绛侯周勃世家↵↵↵## 	人名
057_绛侯周勃世家	周勃	周勃	8	词表匹配	周勃	# [0] 绛侯周勃世家↵↵↵## 从征	人名
057_绛侯周勃世家	世家	世家	10	词表匹配	世家	# [0] 绛侯周勃世家↵↵↵## 从征灭秦	器物
057_绛侯周勃世家	绛侯	绛侯	28	词表匹配	绛侯	从征灭秦↵↵[1] 绛侯@周勃@者，=沛=人	人名
057_绛侯周勃世家	材官	材官	69	词表匹配	材官	，常为人吹箫给丧事，材官引彊。↵↵[2] @	官职
057_绛侯周勃世家	中涓	中涓	95	词表匹配	中涓	为=沛=公初起，勃以中涓从攻~胡~陵，下方与	官职
057_绛侯周勃世家	方与	方与	105	词表匹配	方与	中涓从攻~胡~陵，下方与。方与反，与战，卻適	地名
057_绛侯周勃世家	方与	方与	108	词表匹配	方与	攻~胡~陵，下方与。方与反，与战，卻適。攻=	地名
057_绛侯周勃世家	下邑	下邑	149	词表匹配	下邑	复攻=砀=，破之。下下邑，先登。赐爵五$大夫	地名
057_绛侯周勃世家	章邯	章邯	172	词表匹配	章邯	。攻蒙、虞，取之。击章邯*车*骑，殿。定=魏	人名
057_绛侯周勃世家	濮阳	濮阳	224	词表匹配	濮阳	&军阿下，破之。追至濮阳，下甄城。攻都关、=	地名
057_绛侯周勃世家	宛朐	宛朐	242	词表匹配	宛朐	都关、=定陶=，袭取宛朐，得单父^令^。夜袭	地名
057_绛侯周勃世家	单父	单父	246	词表匹配	单父	定陶=，袭取宛朐，得单父^令^。夜袭取临济，	地名
057_绛侯周勃世家	临济	临济	255	词表匹配	临济	得单父^令^。夜袭取临济，攻张，以前至卷，破	地名
057_绛侯周勃世家	李由	李由	270	词表匹配	李由	，以前至卷，破之。击李由军雍丘下。攻开封，先	人名
057_绛侯周勃世家	雍丘	雍丘	273	词表匹配	雍丘	至卷，破之。击李由军雍丘下。攻开封，先至城下	地名
057_绛侯周勃世家	开封	开封	278	词表匹配	开封	。击李由军雍丘下。攻开封，先至城下为多。後章	地名
057_绛侯周勃世家	章邯	章邯	289	词表匹配	章邯	封，先至城下为多。後章邯破杀项=梁=，=沛=	人名
057_绛侯周勃世家	一岁	一岁	327	词表匹配	一岁	起=沛=还至=砀=，一岁%二月%。=楚=怀$	时间
057_绛侯周勃世家	东郡尉	东郡尉	391	词表匹配	东郡尉	沛=公定=魏=地。攻东郡尉於城武，破之。击$王	官职
057_绛侯周勃世家	长社	长社	412	词表匹配	长社	$王$离军，破之。攻长社，先登。攻颍阳、缑氏	地名
057_绛侯周勃世家	颍阳	颍阳	419	词表匹配	颍阳	之。攻长社，先登。攻颍阳、缑氏，绝河津。击=	地名
057_绛侯周勃世家	缑氏	缑氏	422	词表匹配	缑氏	长社，先登。攻颍阳、缑氏，绝河津。击=赵=贲	地名
057_绛侯周勃世家	河津	河津	426	词表匹配	河津	登。攻颍阳、缑氏，绝河津。击=赵=贲军尸北。	地名
057_绛侯周勃世家	南阳守	南阳守	440	词表匹配	南阳守	=赵=贲军尸北。南攻南阳守齮，破=武关=、峣关	官职
057_绛侯周勃世家	蓝田	蓝田	460	词表匹配	蓝田	、峣关。破&秦&军於蓝田，至=咸阳=，灭&秦	地名
057_绛侯周勃世家	三秦	三秦	482	词表匹配	三秦	&。↵↵↵### 定三秦击楚↵↵[3] @项	地名
057_绛侯周勃世家	槐里	槐里	556	词表匹配	槐里	秦&，赐食邑怀德。攻槐里、好畤，最。击=赵=	地名
057_绛侯周勃世家	好畤	好畤	559	词表匹配	好畤	赐食邑怀德。攻槐里、好畤，最。击=赵=贲、内	地名
057_绛侯周勃世家	内史	内史	570	词表匹配	内史	畤，最。击=赵=贲、内史保於=咸阳=，最。北	地名
057_绛侯周勃世家	章平	章平	586	词表匹配	章平	阳=，最。北攻漆。击章平、姚卬军。西定汧。还	人名
057_绛侯周勃世家	频阳	频阳	601	词表匹配	频阳	军。西定汧。还下郿、频阳。围章邯废丘。破西丞	地名
057_绛侯周勃世家	章邯	章邯	605	词表匹配	章邯	汧。还下郿、频阳。围章邯废丘。破西丞。击盗=	人名
057_绛侯周勃世家	废丘	废丘	607	词表匹配	废丘	还下郿、频阳。围章邯废丘。破西丞。击盗=巴=	地名
057_绛侯周勃世家	上邽	上邽	625	词表匹配	上邽	盗=巴=军，破之。攻上邽。东守峣关。转击项籍	地名
057_绛侯周勃世家	项羽	项籍	635	词表匹配	项籍	上邽。东守峣关。转击项籍。攻曲逆，最。还守=	人名
057_绛侯周勃世家	曲逆	曲逆	639	词表匹配	曲逆	守峣关。转击项籍。攻曲逆，最。还守=敖仓=，	地名
057_绛侯周勃世家	项羽	项籍	652	词表匹配	项籍	最。还守=敖仓=，追项籍。籍已死，因东定=楚	人名
057_绛侯周勃世家	栎阳	栎阳	688	词表匹配	栎阳	二县。还守=雒阳=、栎阳，赐与颍$侯$共食锺	地名
057_绛侯周勃世家	锺离	锺离	699	词表匹配	锺离	阳，赐与颍$侯$共食锺离。以$将军$从@高帝	地名
057_绛侯周勃世家	易下	易下	725	词表匹配	易下	燕=王@臧荼@，破之易下。所将卒当驰道为多。	地名
057_绛侯周勃世家	驰道	驰道	732	词表匹配	驰道	，破之易下。所将卒当驰道为多。赐爵$列侯$，	制度
057_绛侯周勃世家	霍人	霍人	799	词表匹配	霍人	=王信於=代=，降下霍人。以前至武泉，击~胡	地名
057_绛侯周勃世家	武泉	武泉	805	词表匹配	武泉	=，降下霍人。以前至武泉，击~胡~骑，破之武	地名
057_绛侯周勃世家	武泉	武泉	816	词表匹配	武泉	泉，击~胡~骑，破之武泉北。转攻@韩信@军铜	地名
