章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
057_绛侯周勃世家	赐爵	赐爵	155	词表匹配	赐爵	破之。下下邑，先登。赐爵五$大夫$。攻蒙、虞	礼仪
057_绛侯周勃世家	赐食	赐食	549	词表匹配	赐食	三&秦&，至&秦&，赐食邑怀德。攻槐里、好畤	礼仪
057_绛侯周勃世家	赐爵	赐爵	737	词表匹配	赐爵	。所将卒当驰道为多。赐爵$列侯$，剖*符*世	礼仪
057_绛侯周勃世家	天下	天下	1554	词表匹配	天下	吕，立=代=王，威震天下，而君受厚赏，处尊位	思想
057_绛侯周勃世家	下狱	下狱	1672	词表匹配	下狱	。↵↵↵### 遭诬下狱↵↵[9] 岁馀，每	刑法
057_绛侯周勃世家	天下	天下	3543	词表匹配	天下	不得$侯$。不如约，天下共击之’。今信虽皇后	思想
057_绛侯周勃世家	赐食	赐食	3726	词表匹配	赐食	居禁中，召条$侯$，赐食。独置大胾，无切肉，	礼仪
057_绛侯周勃世家	天下	天下	4245	词表匹配	天下	凡庸。及从@高祖@定天下，在将相位，诸吕欲作	思想
057_绛侯周勃世家	伏诛	伏诛	4375	词表匹配	伏诛	必取，所讨咸克。陈豨伏诛，@臧荼@破国。事居	刑法
057_绛侯周勃世家	下狱	下狱	4406	词表匹配	下狱	列侯$还第，$太尉$下狱。继相条$侯$，绍封	刑法
