章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
060_三王世家	天下	天下	94	词表匹配	天下	用事者，诚见陛下忧劳天下，哀怜百姓以自忘，亏	思想
060_三王世家	天下	天下	410	词表匹配	天下	用事者，诚见陛下忧劳天下，哀怜百姓以自忘，亏	思想
060_三王世家	天下	天下	601	词表匹配	天下	乃道天子卑让自贬以劳天下，虑皇子未有号位。臣	思想
060_三王世家	祭天	祭天	1178	词表匹配	祭天	，襃有德也。周$公$祭天命郊，故鲁有白牡、骍	礼仪
060_三王世家	祭天	祭天	1350	词表匹配	祭天	，襃有德也。周$公$祭天命郊，故鲁有白牡、骍	礼仪
060_三王世家	圣德	圣德	1627	词表匹配	圣德	下躬亲^仁义^，体行圣德，表里文武。显慈孝之	思想
060_三王世家	贤能	贤能	1642	词表匹配	贤能	文武。显慈孝之行，广贤能之路。内襃有德，外讨	思想
060_三王世家	天下	天下	1812	词表匹配	天下	，皆以为尊卑失序，使天下失望，不可。臣请立臣	思想
060_三王世家	天下	天下	2073	词表匹配	天下	为尊卑失序。高皇帝建天下，为&汉&太祖，$王	思想
060_三王世家	君子	君子	2509	词表匹配	君子	明显光。义之不图，俾君子怠。悉尔心，允执其中	思想
060_三王世家	天下	天下	3086	词表匹配	天下	祖，贵支体，广同姓於天下也。是以形势彊而$王	思想
060_三王世家	刚柔	刚柔	3344	词表匹配	刚柔	子才力智能，及土地之刚柔，人民之轻重，为作策	思想
060_三王世家	君子	君子	3413	词表匹配	君子	者所能知，非博闻彊记君子者所不能究竟其意。至	思想
060_三王世家	天下	天下	3643	词表匹配	天下	阳=有=武库=敖仓，天下旻戹，&汉国&之大	思想
060_三王世家	天下	天下	3736	词表匹配	天下	古时独临菑中十万户，天下膏腴地莫盛於=齐=者	思想
060_三王世家	天下	天下	3847	词表匹配	天下	幸早死，国绝，为郡。天下称=齐=不宜$王$云	思想
060_三王世家	君子	君子	4148	词表匹配	君子	明显光。不图於义，使君子怠慢。悉若心，信执其	思想
060_三王世家	天下	天下	4454	词表匹配	天下	鱼盐之利，铜山之富，天下所仰。故诫之曰“臣不	思想
060_三王世家	尔雅	尔雅	5524	词表匹配	尔雅	，国家大^礼^，文章尔雅。谓$王$曰：“古者	典籍
060_三王世家	天下	天下	5642	词表匹配	天下	古者诛罚不阿亲戚，故天下治。方今大臣辅政，奉	思想
060_三王世家	天下	天下	5691	词表匹配	天下	自^令^身死国灭，为天下笑。”於是=燕=王旦	思想
060_三王世家	君子	君子	5899	词表匹配	君子	根与白芷，渐之滫中，君子不近，庶人不服”者，	思想
060_三王世家	祭祀	祭祀	5989	词表匹配	祭祀	$王$，以奉=燕=王祭祀。↵↵> [NOTE	礼仪
