章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
061_伯夷列传	伯夷	伯夷	6	词表匹配	伯夷	# [0] 伯夷列传↵↵↵## 序论	人名
061_伯夷列传	诗书	诗书	45	词表匹配	诗书	籍极博，犹考信於六。诗书虽缺，然虞&夏&之文	制度
061_伯夷列传	舜	虞舜	68	词表匹配	虞舜	知也。尧将逊位，让於虞舜，舜禹之间，岳牧咸荐	人名
061_伯夷列传	数十年	数十年	89	词表匹配	数十年	荐，乃试之於位，典职数十年，功用既兴，然後授^	时间
061_伯夷列传	吴太伯	太伯	211	词表匹配	太伯	之仁圣贤人，如=吴=太伯、@伯夷@之伦详矣。	人名
061_伯夷列传	孤竹	孤竹	330	词表匹配	孤竹	@伯夷@、@叔齐@，孤竹君之二子也。父欲立@	地名
061_伯夷列传	中子	中子	392	词表匹配	中子	肯立而逃之。国人立其中子。於是@伯夷@、@叔	官职
061_伯夷列传	周文王	西伯昌	407	词表匹配	西伯昌	@伯夷@、@叔齐@闻西伯昌善养老，盍往归焉。及	人名
061_伯夷列传	周文王	西伯	422	词表匹配	西伯	老，盍往归焉。及至，西伯卒，@武王@载木主，	人名
061_伯夷列传	干戈	干戈	470	词表匹配	干戈	曰："父死不葬，爰及干戈，可谓孝乎？以臣弑君	器物
061_伯夷列传	太公	太公	495	词表匹配	太公	仁乎？"左右欲兵之。太公曰："此义人也。"扶	人名
061_伯夷列传	西山	西山	579	词表匹配	西山	作歌。其辞曰："登彼西山兮，采其薇矣。以暴易	地名
061_伯夷列传	七十子	七十子	712	词表匹配	七十子	仁絜行如此而饿死！且七十子之徒，仲尼独荐@颜渊	时间
061_伯夷列传	孔子	仲尼	718	词表匹配	仲尼	饿死！且七十子之徒，仲尼独荐@颜渊@为好学。	人名
061_伯夷列传	数千人	数千人	777	词表匹配	数千人	之肉，暴戾恣睢，聚党数千人横行天下，竟以寿终。	时间
061_伯夷列传	松柏	松柏	962	词表匹配	松柏	好"。"岁寒，然後知松柏之後凋"。举世混浊，	动植物
061_伯夷列传	司马迁	太史公	1167	词表匹配	太史公	于後世哉？↵↵## 太史公曰↵↵[5] 天道平	人名
061_伯夷列传	司城子罕	子罕	1210	词表匹配	子罕	凶倚伏，报施纠纷。↵子罕言命，得自前闻。↵嗟	人名
