章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
061_伯夷列传	诗书	诗书	45	词表匹配	诗书	籍极博，犹考信於六。诗书虽缺，然虞&夏&之文	思想
061_伯夷列传	天下	天下	106	词表匹配	天下	兴，然後授^政^。示天下重器，王者大统,传天	思想
061_伯夷列传	天下	天下	117	词表匹配	天下	下重器，王者大统,传天下若斯之难也。而说者曰	思想
061_伯夷列传	天下	天下	131	词表匹配	天下	之难也。而说者曰尧让天下於@许由@，@许由@	思想
061_伯夷列传	圣贤	圣贤	203	词表匹配	圣贤	。@孔子@序列古之仁圣贤人，如=吴=太伯、@	思想
061_伯夷列传	天下	天下	522	词表匹配	天下	武王@已平&殷&乱，天下宗=周=，而@伯夷@	思想
061_伯夷列传	天道	天道	657	词表匹配	天道	怨邪非邪？↵↵## 天道之疑↵↵[2] 或曰	思想
061_伯夷列传	天道	天道	671	词表匹配	天道	↵↵[2] 或曰："天道无亲，常与善人。"若	思想
061_伯夷列传	天下	天下	782	词表匹配	天下	恣睢，聚党数千人横行天下，竟以寿终。是遵何德	思想
061_伯夷列传	天道	天道	880	词表匹配	天道	也。余甚惑焉，傥所谓天道，是邪非邪？↵↵##	思想
061_伯夷列传	富贵	富贵	927	词表匹配	富贵	各从其志也。故曰："富贵如可求，虽执鞭之士，	思想
061_伯夷列传	君子	君子	1008	词表匹配	君子	名之道↵↵[4] "君子疾没世而名不称焉。"	思想
061_伯夷列传	圣人	圣人	1067	词表匹配	圣人	""云从龙，风从虎，圣人作而万物睹。"@伯夷	思想
061_伯夷列传	天道	天道	1177	词表匹配	天道	太史公曰↵↵[5] 天道平分，与善徒云。↵贤	思想
061_伯夷列传	吉凶	吉凶	1199	词表匹配	吉凶	而饿死，盗且聚群。↵吉凶倚伏，报施纠纷。↵子	思想
