章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
062_管晏列传	管仲	管仲	15	词表匹配	管仲	 管晏列传↵↵## 管仲早年↵↵[1] @管	人名
062_管晏列传	夷吾	夷吾	29	词表匹配	夷吾	↵↵[1] @管仲@夷吾者，=颍上=人也。少	人名
062_管晏列传	小白	小白	114	词表匹配	小白	仲@事@公子纠@。及小白立为@桓公@，@公子	人名
062_管晏列传	鲍子	鲍子	387	词表匹配	鲍子	。生我者父母，知我者鲍子也。"↵↵[3] @	人名
062_管晏列传	十馀世	十馀世	427	词表匹配	十馀世	禄於=齐=，有封邑者十馀世，常为名$大夫$。天	时间
062_管晏列传	包茅	包茅	660	词表匹配	包茅	仲@因而伐=楚=，责包茅不入贡於=周=室。@	器物
062_管晏列传	召公奭	召公	695	词表匹配	召公	管仲@因而令=燕=修召公之^政^。於柯之会，	人名
062_管晏列传	三归	三归	773	词表匹配	三归	管仲@富拟於公室，有三归、反坫，=齐=人不以	制度
062_管晏列传	百馀年	百馀年	811	词表匹配	百馀年	政^，常彊於诸侯。後百馀年而有@晏子@焉。↵↵	时间
062_管晏列传	晏婴	晏子	827	词表匹配	晏子	晏子@焉。↵↵## 晏子事君↵↵[7] 晏平	人名
062_管晏列传	晏平仲	晏平仲	837	词表匹配	晏平仲	晏子事君↵↵[7] 晏平仲婴者，=莱=之=夷维	人名
062_管晏列传	郑庄公	庄公	861	词表匹配	庄公	人也。事@齐灵公@、庄公、景公，以节俭力行重	人名
062_管晏列传	晋景公	景公	864	词表匹配	景公	事@齐灵公@、庄公、景公，以节俭力行重於=齐	人名
062_管晏列传	衣帛	衣帛	891	词表匹配	衣帛	齐=，食不重肉，妾不衣帛。其在朝，君语及之，	器物
062_管晏列传	三世	三世	933	词表匹配	三世	；无道，即衡命。以此三世显名於诸侯。↵↵##	时间
062_管晏列传	衣冠	衣冠	1012	词表匹配	衣冠	绝。@晏子@戄然，摄衣冠谢曰："婴虽不仁，免	器物
062_管晏列传	虢石父	石父	1037	词表匹配	石父	，何子求绝之速也？"石父曰："不然。吾闻君子	人名
062_管晏列传	上客	上客	1115	词表匹配	上客	"@晏子@於是延入为上客。↵↵## 御者自省	官职
062_管晏列传	六尺	六尺	1207	词表匹配	六尺	曰："@晏子@长不满六尺，身相=齐国=，名显	时间
062_管晏列传	子长	子长	1242	词表匹配	子长	矣，常有以自下者。今子长八尺，乃为人仆御，然	人名
062_管晏列传	八尺	八尺	1244	词表匹配	八尺	常有以自下者。今子长八尺，乃为人仆御，然子之	时间
062_管晏列传	司马迁	太史公	1309	词表匹配	太史公	大夫$。↵↵↵## 太史公曰↵↵> [NOTE	人名
062_管晏列传	管氏	管氏	1326	词表匹配	管氏	 [NOTE] 吾读管氏牧民、山高、乘*马*	人名
062_管晏列传	春秋	春秋	1350	词表匹配	春秋	重、九府，及@晏子@春秋，详哉其言之也。既见	时间
062_管晏列传	郑庄公	庄公	1494	词表匹配	庄公	11] 方@晏子@伏庄公尸哭之，成^礼^然後	人名
062_管晏列传	夷吾	夷吾	1577	词表匹配	夷吾	慕焉。↵↵[12] 夷吾成霸，平仲称贤。粟乃	人名
