章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
065_孙子吴起列传	孙武	孙子	6	词表匹配	孙子	# [0] 孙子吴起列传↵↵## 孙	人名
065_孙子吴起列传	吴起	吴起	8	词表匹配	吴起	# [0] 孙子吴起列传↵↵## 孙武练	人名
065_孙子吴起列传	孙武	孙武	17	词表匹配	孙武	子吴起列传↵↵## 孙武练兵↵↵[1] @孙	人名
065_孙子吴起列传	兵法	兵法	41	词表匹配	兵法	武者，=齐=人也。以兵法见於=吴=王阖庐。阖	制度
065_孙子吴起列传	吴王阖庐	王阖庐	48	词表匹配	王阖庐	也。以兵法见於=吴=王阖庐。阖庐曰："子之十三	人名
065_孙子吴起列传	阖庐	阖庐	52	词表匹配	阖庐	法见於=吴=王阖庐。阖庐曰："子之十三篇，吾	人名
065_孙子吴起列传	阖庐	阖庐	85	词表匹配	阖庐	乎？"对曰："可。"阖庐曰："可试以妇人乎？	人名
065_孙子吴起列传	十人	十人	118	词表匹配	十人	，出宫中美女，得百八十人。@孙子@分为二队，	时间
065_孙子吴起列传	二人	二人	135	词表匹配	二人	分为二队，以王之宠姬二人各为队长，皆令持戟。	时间
065_孙子吴起列传	二人	二人	414	词表匹配	二人	有所不受。"遂斩队长二人以徇。用其次为队长，	时间
065_孙子吴起列传	规矩	规矩	442	词表匹配	规矩	妇人左右前後跪起皆中规矩绳墨，无敢出声。於是	器物
065_孙子吴起列传	阖庐	阖庐	541	词表匹配	阖庐	，不能用其实。"於是阖庐知@孙子@能用兵，卒	人名
065_孙子吴起列传	孙膑	孙膑	595	词表匹配	孙膑	与有力焉。↵↵## 孙膑受刑↵↵[2] @孙	人名
065_孙子吴起列传	百馀	百馀	613	词表匹配	百馀	] @孙武@既死，後百馀岁有@孙膑@。膑生=	时间
065_孙子吴起列传	庞涓	庞涓	650	词表匹配	庞涓	子孙也。@孙膑@尝与庞涓俱学兵法。庞涓既事=	人名
065_孙子吴起列传	兵法	兵法	654	词表匹配	兵法	@孙膑@尝与庞涓俱学兵法。庞涓既事=魏=，得	制度
065_孙子吴起列传	庞涓	庞涓	657	词表匹配	庞涓	@尝与庞涓俱学兵法。庞涓既事=魏=，得为@惠	人名
065_孙子吴起列传	庞涓	庞涓	698	词表匹配	庞涓	使召@孙膑@。膑至，庞涓恐其贤於己，疾之，则	人名
065_孙子吴起列传	田忌	田忌	789	词表匹配	田忌	与之=齐=。=齐=将田忌善而客待之。忌数与=	人名
065_孙子吴起列传	田忌	田忌	845	词表匹配	田忌	、辈。於是@孙子@谓田忌曰："君弟重射，臣能	人名
065_孙子吴起列传	田忌	田忌	862	词表匹配	田忌	重射，臣能令君胜。"田忌信然之，与王及诸公子	人名
065_孙子吴起列传	千金	千金	876	词表匹配	千金	之，与王及诸公子逐射千金。及临质，@孙子@曰	器物
065_孙子吴起列传	田忌	田忌	927	词表匹配	田忌	驷。"既驰三辈毕，而田忌一不胜而再胜，卒得王	人名
065_孙子吴起列传	千金	千金	939	词表匹配	千金	一不胜而再胜，卒得王千金。於是忌进@孙子@於	器物
065_孙子吴起列传	兵法	兵法	961	词表匹配	兵法	@威王@。@威王@问兵法，遂以为师。↵↵##	制度
065_孙子吴起列传	桂陵之战	桂陵之战	974	词表匹配	桂陵之战	遂以为师。↵↵## 桂陵之战↵↵[4] 其後=魏	event
065_孙子吴起列传	孙膑	孙膑	1013	词表匹配	孙膑	齐=。@齐威王@欲将孙膑@，膑辞谢曰："^刑	人名
065_孙子吴起列传	孙武	孙子	1044	词表匹配	孙子	是乃以田忌为将，而@孙子@为师，居辎*车*中	人名
065_孙子吴起列传	孙武	孙子	1073	词表匹配	孙子	忌欲引兵之=赵=，@孙子@曰："夫解杂乱纷纠	人名
065_孙子吴起列传	田忌	田忌	1188	词表匹配	田忌	而收弊於=魏=也。"田忌从之，=魏=果去=邯	人名
065_孙子吴起列传	桂陵	桂陵	1209	词表匹配	桂陵	邯郸=，与=齐=战於桂陵，大破梁军。↵↵##	地名
065_孙子吴起列传	马陵之战	马陵之战	1222	词表匹配	马陵之战	大破梁军。↵↵## 马陵之战↵↵[5] 後十三岁	event
065_孙子吴起列传	十三岁	十三岁	1233	词表匹配	十三岁	陵之战↵↵[5] 後十三岁，=魏=与=赵=攻=	时间
065_孙子吴起列传	田忌	田忌	1263	词表匹配	田忌	急於=齐=。=齐=使田忌将而往，直走=大梁=	人名
065_孙子吴起列传	庞涓	庞涓	1280	词表匹配	庞涓	走=大梁=。=魏=将庞涓闻之，去=韩=而归，	人名
065_孙子吴起列传	田忌	田忌	1308	词表匹配	田忌	过而西矣。@孙子@谓田忌曰："彼三=晋=之兵	人名
065_孙子吴起列传	兵法	兵法	1347	词表匹配	兵法	战者因其势而利导之。兵法，百里而趣利者蹶上将	制度
065_孙子吴起列传	百里	百里	1350	词表匹配	百里	其势而利导之。兵法，百里而趣利者蹶上将，五十	人名
065_孙子吴起列传	上将	上将	1357	词表匹配	上将	兵法，百里而趣利者蹶上将，五十里而趣利者军半	官职
065_孙子吴起列传	五十里	五十里	1360	词表匹配	五十里	百里而趣利者蹶上将，五十里而趣利者军半至。使=	时间
065_孙子吴起列传	明日	明日	1386	词表匹配	明日	入=魏=地为十万灶，明日为五万灶，又明日为三	时间
065_孙子吴起列传	明日	明日	1394	词表匹配	明日	灶，明日为五万灶，又明日为三万灶。"庞涓行三	时间
065_孙子吴起列传	庞涓	庞涓	1402	词表匹配	庞涓	，又明日为三万灶。"庞涓行三日，大喜，曰："	人名
065_孙子吴起列传	三日	三日	1405	词表匹配	三日	日为三万灶。"庞涓行三日，大喜，曰："我固知	时间
065_孙子吴起列传	三日	三日	1426	词表匹配	三日	知=齐=军怯，入吾地三日，士卒亡者过半矣。"	时间
065_孙子吴起列传	庞涓	庞涓	1498	词表匹配	庞涓	乃斫大树白而书之曰"庞涓死于此树之下"。於是	人名
065_孙子吴起列传	庞涓	庞涓	1538	词表匹配	庞涓	"暮见火举而俱发"。庞涓果夜至斫木下，见白书	人名
065_孙子吴起列传	庞涓	庞涓	1581	词表匹配	庞涓	，=魏=军大乱相失。庞涓自知智穷兵败，乃自刭	人名
065_孙子吴起列传	遂成	遂成	1597	词表匹配	遂成	兵败，乃自刭，曰："遂成竖子之名！"=齐=因	人名
065_孙子吴起列传	竖子	竖子	1599	词表匹配	竖子	，乃自刭，曰："遂成竖子之名！"=齐=因乘胜	器物
065_孙子吴起列传	兵法	兵法	1640	词表匹配	兵法	以此名显天下，世传其兵法。↵↵## 吴起事鲁	制度
065_孙子吴起列传	吴起	吴起	1648	词表匹配	吴起	传其兵法。↵↵## 吴起事鲁↵↵[6] @吴	人名
065_孙子吴起列传	千金	千金	1804	词表匹配	千金	忍人也。其少时，家累千金，游仕不遂，遂破其家	器物
065_孙子吴起列传	十馀人	十馀人	1832	词表匹配	十馀人	@吴起@杀其谤己者三十馀人，而东出=卫=郭门。	时间
065_孙子吴起列传	卿相	卿相	1860	词表匹配	卿相	齧臂而盟曰：'起不为卿相，不复入=卫=。'遂	官职
065_孙子吴起列传	兵法	兵法	1911	词表匹配	兵法	绝。起乃之=鲁=，学兵法以事=鲁=君。=鲁=	制度
065_孙子吴起列传	魏国	魏国	2001	词表匹配	魏国	起@。↵↵## 起相魏国↵↵[8] @吴起@	地名
065_孙子吴起列传	文侯申	文侯	2019	词表匹配	文侯	@吴起@於是闻=魏=文侯贤，欲事之。文侯问李	人名
065_孙子吴起列传	文侯申	文侯	2027	词表匹配	文侯	魏=文侯贤，欲事之。文侯问李克曰："@吴起@	人名
065_孙子吴起列传	李克	李克	2030	词表匹配	李克	侯贤，欲事之。文侯问李克曰："@吴起@何如人	人名
065_孙子吴起列传	李克	李克	2045	词表匹配	李克	@吴起@何如人哉？"李克曰："起贪而好色，然	人名
065_孙子吴起列传	文侯申	文侯	2237	词表匹配	文侯	之。"↵↵[10] 文侯以@吴起@善用兵，廉	人名
065_孙子吴起列传	西河	西河	2260	词表匹配	西河	，尽能得士心，乃以为西河守，以拒=秦=、=韩	地名
065_孙子吴起列传	文侯申	文侯	2293	词表匹配	文侯	↵↵[11] =魏=文侯既卒，起事其子武侯。	人名
065_孙子吴起列传	蔡武侯	武侯	2302	词表匹配	武侯	=文侯既卒，起事其子武侯。武侯浮西河而下，中	人名
065_孙子吴起列传	蔡武侯	武侯	2305	词表匹配	武侯	既卒，起事其子武侯。武侯浮西河而下，中流，顾	人名
065_孙子吴起列传	西河	西河	2308	词表匹配	西河	起事其子武侯。武侯浮西河而下，中流，顾而谓@	地名
065_孙子吴起列传	山河	山河	2329	词表匹配	山河	@吴起@曰："美哉乎山河之固，此=魏国=之宝	动植物
065_孙子吴起列传	三苗	三苗	2356	词表匹配	三苗	曰："在德不在险。昔三苗氏左洞庭，右彭蠡，德	族群
065_孙子吴起列传	彭蠡	彭蠡	2364	词表匹配	彭蠡	。昔三苗氏左洞庭，右彭蠡，德义不修，禹灭之。	地名
065_孙子吴起列传	河济	河济	2384	词表匹配	河济	之。&夏&桀之居，左河济，右泰华，伊阙在其南	地名
065_孙子吴起列传	伊阙	伊阙	2391	词表匹配	伊阙	居，左河济，右泰华，伊阙在其南，羊肠在其北，	地名
065_孙子吴起列传	羊肠	羊肠	2397	词表匹配	羊肠	右泰华，伊阙在其南，羊肠在其北，修^政^不仁	地名
065_孙子吴起列传	孟门	孟门	2422	词表匹配	孟门	之。&殷&纣之国，左孟门，右太行，常山在其北	地名
065_孙子吴起列传	太行	太行	2426	词表匹配	太行	&纣之国，左孟门，右太行，常山在其北，大河经	地名
065_孙子吴起列传	常山	常山	2429	词表匹配	常山	国，左孟门，右太行，常山在其北，大河经其南，	地名
065_孙子吴起列传	大河	大河	2435	词表匹配	大河	右太行，常山在其北，大河经其南，修^政^不德	地名
065_孙子吴起列传	蔡武侯	武侯	2485	词表匹配	武侯	中之人尽为敌国也。"武侯曰："善。"↵↵##	人名
065_孙子吴起列传	孟尝君	田文	2500	词表匹配	田文	善。"↵↵## 不如田文↵↵[12] @吴起	人名
065_孙子吴起列传	西河	西河	2514	词表匹配	西河	[12] @吴起@为西河守，甚有声名。=魏=	地名
065_孙子吴起列传	三军	三军	2575	词表匹配	三军	："可。"起曰："将三军，使士卒乐死，敌国不	制度
065_孙子吴起列传	府库	府库	2618	词表匹配	府库	"治百官，亲万民，实府库，子孰与起？"文曰：	器物
065_孙子吴起列传	西河	西河	2641	词表匹配	西河	不如子。"起曰："守西河而=秦=兵不敢东乡，	地名
065_孙子吴起列传	公主	公主	2813	词表匹配	公主	，公叔为相，尚=魏=公主，而害@吴起@。公叔	人名
065_孙子吴起列传	蔡武侯	武侯	2868	词表匹配	武侯	而自喜名也。君因先与武侯言曰：'夫@吴起@贤	人名
065_孙子吴起列传	蔡武侯	武侯	2909	词表匹配	武侯	窃恐起之无留心也。'武侯即曰：'柰何？'君因	人名
065_孙子吴起列传	蔡武侯	武侯	2922	词表匹配	武侯	曰：'柰何？'君因谓武侯曰：'试延以公主，起	人名
065_孙子吴起列传	公主	公主	2930	词表匹配	公主	因谓武侯曰：'试延以公主，起有留心则必受之。	人名
065_孙子吴起列传	公主	公主	2969	词表匹配	公主	@吴起@而与归，即令公主怒而轻君。@吴起@见	人名
065_孙子吴起列传	公主	公主	2981	词表匹配	公主	怒而轻君。@吴起@见公主之贱君也，则必辞。"	人名
065_孙子吴起列传	公主	公主	3000	词表匹配	公主	辞。"於是@吴起@见公主之贱=魏=相，果辞=	人名
065_孙子吴起列传	蔡武侯	武侯	3014	词表匹配	武侯	=魏=相，果辞=魏=武侯。武侯疑之而弗信也。	人名
065_孙子吴起列传	蔡武侯	武侯	3017	词表匹配	武侯	相，果辞=魏=武侯。武侯疑之而弗信也。@吴起	人名
065_孙子吴起列传	变法	变法	3048	词表匹配	变法	之=楚=。↵↵## 变法惨死↵↵[14] =	制度
065_孙子吴起列传	周悼王	悼王	3062	词表匹配	悼王	↵↵[14] =楚=悼王素闻起贤，至则相=楚	人名
065_孙子吴起列传	公族	公族	3088	词表匹配	公族	审令，捐不急之官，废公族疏远者，以抚养战斗之	制度
065_孙子吴起列传	周悼王	悼王	3169	词表匹配	悼王	戚尽欲害@吴起@。及悼王死，宗室大臣作乱而攻	人名
065_孙子吴起列传	周悼王	悼王	3212	词表匹配	悼王	因射刺@吴起@，并中悼王。悼王既葬，太子立，	人名
065_孙子吴起列传	周悼王	悼王	3215	词表匹配	悼王	@吴起@，并中悼王。悼王既葬，太子立，乃使$	人名
065_孙子吴起列传	七十馀	七十馀	3252	词表匹配	七十馀	者。坐射起而夷宗死者七十馀家。↵↵↵## 太史	时间
065_孙子吴起列传	司马迁	太史公	3263	词表匹配	太史公	十馀家。↵↵↵## 太史公曰↵↵> [NOTE	人名
065_孙子吴起列传	兵法	兵法	3299	词表匹配	兵法	子@十三篇，@吴起@兵法，世多有，故弗论，论	制度
065_孙子吴起列传	庞涓	庞涓	3348	词表匹配	庞涓	能行。"@孙子@筹策庞涓明矣，然不能蚤救患於	人名
065_孙子吴起列传	蔡武侯	武侯	3370	词表匹配	武侯	被^刑^。@吴起@说武侯以形势不如德，然行之	人名
065_孙子吴起列传	兵法	兵法	3410	词表匹配	兵法	↵[15] @孙子@兵法，一十三篇。美人既斩	制度
065_孙子吴起列传	美人	美人	3418	词表匹配	美人	子@兵法，一十三篇。美人既斩，良将得焉。其@	官职
065_孙子吴起列传	庞涓	庞涓	3437	词表匹配	庞涓	。其@孙膑@脚，筹策庞涓。@吴起@相=魏=，	人名
065_孙子吴起列传	西河	西河	3449	词表匹配	西河	。@吴起@相=魏=，西河称贤；惨礉事=楚=，	地名
