章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
066_伍子胥列传	伍子胥	伍子胥	6	词表匹配	伍子胥	# [0] 伍子胥列传↵↵## 家世蒙	人名
066_伍子胥列传	伍奢	伍奢	45	词表匹配	伍奢	=人也，名员。员父曰伍奢。员兄曰伍尚。其先曰	人名
066_伍子胥列传	伍尚	伍尚	51	词表匹配	伍尚	。员父曰伍奢。员兄曰伍尚。其先曰伍举，以直谏	人名
066_伍子胥列传	伍举	伍举	57	词表匹配	伍举	。员兄曰伍尚。其先曰伍举，以直谏事=楚=庄王	人名
066_伍子胥列传	周庄王	庄王	67	词表匹配	庄王	伍举，以直谏事=楚=庄王，有显，故其後世有名	人名
066_伍子胥列传	周平王	平王	93	词表匹配	平王	。↵↵[2] =楚=平王有太子名曰建，使伍奢	人名
066_伍子胥列传	伍奢	伍奢	103	词表匹配	伍奢	平王有太子名曰建，使伍奢为$太傅$，费@无忌	人名
066_伍子胥列传	少傅	少傅	117	词表匹配	少傅	太傅$，费@无忌@为少傅。@无忌@不忠於太子	官职
066_伍子胥列传	太子建	太子建	127	词表匹配	太子建	少傅。@无忌@不忠於太子建。平王使@无忌@为太	人名
066_伍子胥列传	周平王	平王	131	词表匹配	平王	无忌@不忠於太子建。平王使@无忌@为太子取妇	人名
066_伍子胥列传	周平王	平王	161	词表匹配	平王	女好，@无忌@驰归报平王曰："=秦=女绝美，	人名
066_伍子胥列传	周平王	平王	187	词表匹配	平王	，而更为太子取妇。"平王遂自取=秦=女而绝爱	人名
066_伍子胥列传	周平王	平王	232	词表匹配	平王	@既以=秦=女自媚於平王，因去太子而事平王。	人名
066_伍子胥列传	周平王	平王	241	词表匹配	平王	於平王，因去太子而事平王。恐一旦平王卒而太子	人名
066_伍子胥列传	一旦	一旦	245	词表匹配	一旦	因去太子而事平王。恐一旦平王卒而太子立，杀己	时间
066_伍子胥列传	周平王	平王	247	词表匹配	平王	太子而事平王。恐一旦平王卒而太子立，杀己，乃	人名
066_伍子胥列传	太子建	太子建	261	词表匹配	太子建	太子立，杀己，乃因谗太子建。建母，=蔡=女也，	人名
066_伍子胥列传	周平王	平王	277	词表匹配	平王	，=蔡=女也，无宠於平王。平王稍益疏建，使建	人名
066_伍子胥列传	周平王	平王	280	词表匹配	平王	=女也，无宠於平王。平王稍益疏建，使建守城父	人名
066_伍子胥列传	城父	城父	290	词表匹配	城父	平王稍益疏建，使建守城父，备边兵。↵↵[4]	人名
066_伍子胥列传	城父	城父	349	词表匹配	城父	王少自备也。自太子居城父，将兵，外交诸侯，且	人名
066_伍子胥列传	周平王	平王	368	词表匹配	平王	侯，且欲入为乱矣。"平王乃召其$太傅$伍奢考	人名
066_伍子胥列传	伍奢	伍奢	377	词表匹配	伍奢	"平王乃召其$太傅$伍奢考问之。伍奢知@无忌	人名
066_伍子胥列传	伍奢	伍奢	383	词表匹配	伍奢	$太傅$伍奢考问之。伍奢知@无忌@谗太子於平	人名
066_伍子胥列传	周平王	平王	394	词表匹配	平王	奢知@无忌@谗太子於平王，因曰："王独柰何以	人名
066_伍子胥列传	小臣	小臣	408	词表匹配	小臣	曰："王独柰何以谗贼小臣疏骨肉之亲乎？"@无	官职
066_伍子胥列传	周平王	平王	443	词表匹配	平王	矣。王且见禽。"於是平王怒，囚伍奢，而使城父	人名
066_伍子胥列传	伍奢	伍奢	448	词表匹配	伍奢	禽。"於是平王怒，囚伍奢，而使城父$司马$奋	人名
066_伍子胥列传	城父	城父	453	词表匹配	城父	平王怒，囚伍奢，而使城父$司马$奋扬往杀太子	人名
066_伍子胥列传	奋扬	奋扬	459	词表匹配	奋扬	奢，而使城父$司马$奋扬往杀太子。行未至，奋	人名
066_伍子胥列传	奋扬	奋扬	470	词表匹配	奋扬	扬往杀太子。行未至，奋扬使人先告太子："太子	人名
066_伍子胥列传	太子建	太子建	491	词表匹配	太子建	子急去，不然将诛。"太子建亡奔=宋=。↵↵##	人名
066_伍子胥列传	周平王	平王	521	词表匹配	平王	[5] @无忌@言於平王曰："伍奢有二子，皆	人名
066_伍子胥列传	伍奢	伍奢	526	词表匹配	伍奢	无忌@言於平王曰："伍奢有二子，皆贤，不诛且	人名
066_伍子胥列传	伍奢	伍奢	567	词表匹配	伍奢	=楚=患。"王使使谓伍奢曰："能致汝二子则生	人名
066_伍子胥列传	伍奢	伍奢	586	词表匹配	伍奢	子则生，不能则死。"伍奢曰："尚为人仁，呼必	人名
066_伍子胥列传	伍尚	伍尚	655	词表匹配	伍尚	；不来，今杀奢也。"伍尚欲往，员曰："=楚=	人名
066_伍子胥列传	伍尚	伍尚	747	词表匹配	伍尚	耻，俱灭，无为也。"伍尚曰："我知往终不能全	人名
066_伍子胥列传	伍胥	伍胥	818	词表匹配	伍胥	。"尚既就执，使者捕伍胥。伍胥贯弓执矢乡使者	人名
066_伍子胥列传	伍胥	伍胥	821	词表匹配	伍胥	既就执，使者捕伍胥。伍胥贯弓执矢乡使者，使者	人名
066_伍子胥列传	伍胥	伍胥	837	词表匹配	伍胥	乡使者，使者不敢进，伍胥遂亡。闻太子建之在=	人名
066_伍子胥列传	太子建	太子建	843	词表匹配	太子建	不敢进，伍胥遂亡。闻太子建之在=宋=，往从之。	人名
066_伍子胥列传	伍子胥	子胥	858	词表匹配	子胥	=宋=，往从之。奢闻子胥之亡也，曰："=楚国	人名
066_伍子胥列传	伍尚	伍尚	879	词表匹配	伍尚	国=君臣且苦兵矣。"伍尚至=楚=，=楚=并杀	人名
066_伍子胥列传	伍胥	伍胥	902	词表匹配	伍胥	与尚也。↵↵[6] 伍胥既至=宋=，=宋=有	人名
066_伍子胥列传	华氏	华氏	914	词表匹配	华氏	既至=宋=，=宋=有华氏之乱，乃与太子建俱奔	族群
066_伍子胥列传	太子建	太子建	921	词表匹配	太子建	宋=有华氏之乱，乃与太子建俱奔於=郑=。=郑=	人名
066_伍子胥列传	太子建	太子建	939	词表匹配	太子建	=。=郑=人甚善之。太子建又適=晋=，=晋=顷	人名
066_伍子胥列传	齐顷公	顷公	951	词表匹配	顷公	建又適=晋=，=晋=顷公曰："太子既善=郑=	人名
066_伍子胥列传	晋定公	定公	1040	词表匹配	定公	告之於=郑=。=郑=定公与子产诛杀太子建。建	人名
066_伍子胥列传	子产	子产	1043	词表匹配	子产	=郑=。=郑=定公与子产诛杀太子建。建有子名	人名
066_伍子胥列传	太子建	太子建	1047	词表匹配	太子建	=郑=定公与子产诛杀太子建。建有子名胜。伍胥惧	人名
066_伍子胥列传	伍胥	伍胥	1057	词表匹配	伍胥	太子建。建有子名胜。伍胥惧，乃与胜俱奔=吴=	人名
066_伍子胥列传	伍胥	伍胥	1080	词表匹配	伍胥	到昭关，昭关欲执之。伍胥遂与胜独身步走，几不	人名
066_伍子胥列传	渔父	渔父	1107	词表匹配	渔父	在後。至江，江上有一渔父乘船，知伍胥之急，乃	官职
066_伍子胥列传	伍胥	伍胥	1113	词表匹配	伍胥	江上有一渔父乘船，知伍胥之急，乃渡伍胥。伍胥	人名
066_伍子胥列传	伍胥	伍胥	1120	词表匹配	伍胥	船，知伍胥之急，乃渡伍胥。伍胥既渡，解其*剑	人名
066_伍子胥列传	伍胥	伍胥	1123	词表匹配	伍胥	伍胥之急，乃渡伍胥。伍胥既渡，解其*剑*曰：	人名
066_伍子胥列传	百金	百金	1141	词表匹配	百金	剑*曰："此*剑*直百金，以与父。"父曰："	器物
066_伍子胥列传	伍胥	伍胥	1161	词表匹配	伍胥	："=楚国=之法，得伍胥者赐粟五万石，爵执珪	人名
066_伍子胥列传	万石君	万石	1167	词表匹配	万石	之法，得伍胥者赐粟五万石，爵执珪，岂徒百金*	人名
066_伍子胥列传	执珪	执珪	1171	词表匹配	执珪	伍胥者赐粟五万石，爵执珪，岂徒百金*剑*邪！	制度
066_伍子胥列传	百金	百金	1176	词表匹配	百金	五万石，爵执珪，岂徒百金*剑*邪！"不受。伍	器物
066_伍子胥列传	伍胥	伍胥	1187	词表匹配	伍胥	金*剑*邪！"不受。伍胥未至=吴=而疾，止中	人名
066_伍子胥列传	吴王僚	王僚	1213	词表匹配	王僚	。至於=吴=，=吴=王僚方用事，公子光为将。	人名
066_伍子胥列传	吴公子光	公子光	1219	词表匹配	公子光	，=吴=王僚方用事，公子光为将。伍胥乃因公子光	人名
066_伍子胥列传	伍胥	伍胥	1225	词表匹配	伍胥	方用事，公子光为将。伍胥乃因公子光以求见=吴	人名
066_伍子胥列传	吴公子光	公子光	1229	词表匹配	公子光	公子光为将。伍胥乃因公子光以求见=吴=王。↵↵	人名
066_伍子胥列传	周平王	平王	1261	词表匹配	平王	[7] 久之，=楚=平王以其边邑锺离与=吴=	人名
066_伍子胥列传	锺离	锺离	1267	词表匹配	锺离	，=楚=平王以其边邑锺离与=吴=边邑卑梁氏俱	地名
066_伍子胥列传	梁氏	梁氏	1276	词表匹配	梁氏	邑锺离与=吴=边邑卑梁氏俱蚕，两女子争桑相攻	人名
066_伍子胥列传	吴公子光	公子光	1306	词表匹配	公子光	国举兵相伐。=吴=使公子光伐=楚=，拔其锺离、	人名
066_伍子胥列传	锺离	锺离	1316	词表匹配	锺离	公子光伐=楚=，拔其锺离、居巢而归。@伍子胥	地名
066_伍子胥列传	居巢	居巢	1319	词表匹配	居巢	伐=楚=，拔其锺离、居巢而归。@伍子胥@说=	地名
066_伍子胥列传	吴王僚	王僚	1333	词表匹配	王僚	。@伍子胥@说=吴=王僚曰："=楚=可破也。	人名
066_伍子胥列传	吴公子光	公子光	1348	词表匹配	公子光	=楚=可破也。原复遣公子光。"公子光谓=吴=王	人名
066_伍子胥列传	吴公子光	公子光	1353	词表匹配	公子光	也。原复遣公子光。"公子光谓=吴=王曰："彼伍	人名
066_伍子胥列传	伍胥	伍胥	1365	词表匹配	伍胥	光谓=吴=王曰："彼伍胥父兄为戮於=楚=，而	人名
066_伍子胥列传	伍胥	伍胥	1403	词表匹配	伍胥	伐=楚=未可破也。"伍胥知公子光有内志，欲杀	人名
066_伍子胥列传	吴公子光	公子光	1406	词表匹配	公子光	=未可破也。"伍胥知公子光有内志，欲杀王而自立	人名
066_伍子胥列传	专诸	专诸	1429	词表匹配	专诸	，未可说以外事，乃进专诸於公子光，退而与太子	人名
066_伍子胥列传	吴公子光	公子光	1432	词表匹配	公子光	说以外事，乃进专诸於公子光，退而与太子建之子胜	人名
066_伍子胥列传	太子建	太子建	1439	词表匹配	太子建	专诸於公子光，退而与太子建之子胜耕於野。↵↵[	人名
066_伍子胥列传	五年	五年	1455	词表匹配	五年	耕於野。↵↵[8] 五年而=楚=平王卒。初，	时间
066_伍子胥列传	周平王	平王	1461	词表匹配	平王	[8] 五年而=楚=平王卒。初，平王所夺太子	人名
066_伍子胥列传	周平王	平王	1467	词表匹配	平王	而=楚=平王卒。初，平王所夺太子建=秦=女生	人名
066_伍子胥列传	太子建	太子建	1471	词表匹配	太子建	平王卒。初，平王所夺太子建=秦=女生子轸，及平	人名
066_伍子胥列传	周平王	平王	1483	词表匹配	平王	建=秦=女生子轸，及平王卒，轸竟立为後，是为	人名
066_伍子胥列传	吴王僚	王僚	1503	词表匹配	王僚	是为@昭王@。=吴=王僚因=楚=丧，使二公子	人名
066_伍子胥列传	子将	子将	1514	词表匹配	子将	僚因=楚=丧，使二公子将兵往袭=楚=。=楚=	人名
066_伍子胥列传	吴公子光	公子光	1548	词表匹配	公子光	归。=吴=国内空，而公子光乃令专诸袭刺=吴=王	人名
066_伍子胥列传	专诸	专诸	1553	词表匹配	专诸	国内空，而公子光乃令专诸袭刺=吴=王僚而自立	人名
066_伍子胥列传	吴王僚	王僚	1560	词表匹配	王僚	光乃令专诸袭刺=吴=王僚而自立，是为=吴=王	人名
066_伍子胥列传	吴王阖庐	王阖庐	1571	词表匹配	王阖庐	僚而自立，是为=吴=王阖庐。阖庐既立，得志，乃	人名
066_伍子胥列传	阖庐	阖庐	1575	词表匹配	阖庐	，是为=吴=王阖庐。阖庐既立，得志，乃召@伍	人名
066_伍子胥列传	行人	行人	1591	词表匹配	行人	志，乃召@伍员@以为行人，而与谋国事。↵↵[	官职
066_伍子胥列传	郤宛	郤宛	1613	词表匹配	郤宛	9] =楚=诛其大臣郤宛、伯州犁，伯州犁之孙	人名
066_伍子胥列传	伯州犁	伯州犁	1616	词表匹配	伯州犁	=楚=诛其大臣郤宛、伯州犁，伯州犁之孙伯嚭亡奔	人名
066_伍子胥列传	伯州犁	伯州犁	1620	词表匹配	伯州犁	其大臣郤宛、伯州犁，伯州犁之孙伯嚭亡奔=吴=，	人名
066_伍子胥列传	伯嚭	伯嚭	1625	词表匹配	伯嚭	、伯州犁，伯州犁之孙伯嚭亡奔=吴=，=吴=亦	人名
066_伍子胥列传	吴王僚	王僚	1646	词表匹配	王僚	亦以嚭为$大夫$。前王僚所遣二公子将兵伐=楚	人名
066_伍子胥列传	子将	子将	1652	词表匹配	子将	夫$。前王僚所遣二公子将兵伐=楚=者，道绝不	人名
066_伍子胥列传	阖庐	阖庐	1669	词表匹配	阖庐	者，道绝不得归。後闻阖庐弑王僚自立，遂以其兵	人名
066_伍子胥列传	吴王僚	王僚	1672	词表匹配	王僚	绝不得归。後闻阖庐弑王僚自立，遂以其兵降=楚	人名
066_伍子胥列传	阖庐	阖庐	1694	词表匹配	阖庐	=，=楚=封之於舒。阖庐立三年，乃兴师与伍胥	人名
066_伍子胥列传	三年	三年	1697	词表匹配	三年	楚=封之於舒。阖庐立三年，乃兴师与伍胥、伯嚭	时间
066_伍子胥列传	伍胥	伍胥	1704	词表匹配	伍胥	阖庐立三年，乃兴师与伍胥、伯嚭伐=楚=，拔舒	人名
066_伍子胥列传	伯嚭	伯嚭	1707	词表匹配	伯嚭	三年，乃兴师与伍胥、伯嚭伐=楚=，拔舒，遂禽	人名
066_伍子胥列传	四年	四年	1767	词表匹配	四年	乃归。↵↵[10] 四年，=吴=伐=楚=，取	时间
066_伍子胥列传	五年	五年	1783	词表匹配	五年	伐=楚=，取六与灊。五年，伐=越=，败之。六	时间
066_伍子胥列传	六年	六年	1794	词表匹配	六年	年，伐=越=，败之。六年，楚@昭王@使公子囊	时间
066_伍子胥列传	豫章	豫章	1832	词表匹配	豫章	迎击，大破=楚=军於豫章，取=楚=之居巢。↵	地名
066_伍子胥列传	居巢	居巢	1840	词表匹配	居巢	军於豫章，取=楚=之居巢。↵↵## 入郢鞭尸	地名
066_伍子胥列传	九年	九年	1859	词表匹配	九年	郢鞭尸↵↵[11] 九年，=吴=王阖庐谓子胥	时间
066_伍子胥列传	吴王阖庐	王阖庐	1865	词表匹配	王阖庐	11] 九年，=吴=王阖庐谓子胥、@孙武@曰：	人名
066_伍子胥列传	伍子胥	子胥	1869	词表匹配	子胥	九年，=吴=王阖庐谓子胥、@孙武@曰："始子	人名
066_伍子胥列传	阖庐	阖庐	1938	词表匹配	阖庐	得唐、=蔡=乃可。"阖庐听之，悉兴师与唐、=	人名
066_伍子胥列传	汉水	汉水	1962	词表匹配	汉水	伐=楚=，与=楚=夹汉水而=陈=。=吴=王之	地名
066_伍子胥列传	夫概	夫概	1975	词表匹配	夫概	=陈=。=吴=王之弟夫概将兵请从，王不听，遂	人名
066_伍子胥列传	五千人	五千人	1990	词表匹配	五千人	从，王不听，遂以其属五千人击=楚=将子常。子常	时间
066_伍子胥列传	子常囊瓦	子常	1998	词表匹配	子常	其属五千人击=楚=将子常。子常败走，奔=郑=	人名
066_伍子胥列传	子常囊瓦	子常	2001	词表匹配	子常	千人击=楚=将子常。子常败走，奔=郑=。於是	人名
066_伍子胥列传	己卯	己卯	2030	词表匹配	己卯	，五战，遂至=郢=。己卯，楚@昭王@出奔。庚	时间
066_伍子胥列传	庚辰	庚辰	2041	词表匹配	庚辰	卯，楚@昭王@出奔。庚辰，=吴=王入=郢=。	时间
066_伍子胥列传	云梦	云梦	2068	词表匹配	云梦	] @昭王@出亡，入云梦；盗击王，王走郧。郧	地名
066_伍子胥列传	郧公	郧公	2079	词表匹配	郧公	梦；盗击王，王走郧。郧公弟怀曰："平王杀我父	人名
066_伍子胥列传	周平王	平王	2086	词表匹配	平王	走郧。郧公弟怀曰："平王杀我父，我杀其子，不	人名
066_伍子胥列传	郧公	郧公	2103	词表匹配	郧公	杀其子，不亦可乎！"郧公恐其弟杀王，与王奔随	人名
