章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
067_仲尼弟子列传	孔子	仲尼	6	词表匹配	仲尼	# [0] 仲尼弟子列传↵↵## 弟	人名
067_仲尼弟子列传	厓有	厓有	76	词表匹配	厓有	牛，仲弓。^政^事：厓有，季路。言语：宰我，	人名
067_仲尼弟子列传	文学	文学	93	词表匹配	文学	语：宰我，@子贡@。文学：子游，@子夏@。师	官职
067_仲尼弟子列传	晏平仲	晏平仲	182	词表匹配	晏平仲	伯*玉*；於=齐=，晏平仲；於=楚=，老=莱=	人名
067_仲尼弟子列传	子产	子产	202	词表匹配	子产	=莱=子；於=郑=，子产；於=鲁=，孟公绰。	人名
067_仲尼弟子列传	臧文仲	臧文仲	216	词表匹配	臧文仲	=鲁=，孟公绰。数称臧文仲、柳下惠、铜鞮伯华、	人名
067_仲尼弟子列传	柳下惠	柳下惠	220	词表匹配	柳下惠	孟公绰。数称臧文仲、柳下惠、铜鞮伯华、介山子然	人名
067_仲尼弟子列传	铜鞮	铜鞮	224	词表匹配	铜鞮	数称臧文仲、柳下惠、铜鞮伯华、介山子然，@孔	地名
067_仲尼弟子列传	介山	介山	229	词表匹配	介山	、柳下惠、铜鞮伯华、介山子然，@孔子@皆後之	地名
067_仲尼弟子列传	颜回	颜回	251	词表匹配	颜回	，不并世。↵↵## 颜回德行↵↵[3] @颜	人名
067_仲尼弟子列传	十岁	十岁	283	词表匹配	十岁	字子渊。少@孔子@三十岁。↵↵[4] @颜渊	时间
067_仲尼弟子列传	年二十	年二十	414	词表匹配	年二十	夫！”↵↵[6] 回年二十九，发尽白，蚤死。@	时间
067_仲尼弟子列传	秦哀公	哀公	451	词表匹配	哀公	，门人益亲。”=鲁=哀公问：“弟子孰为好学？	人名
067_仲尼弟子列传	十五岁	十五岁	528	词表匹配	十五岁	损字子骞。少@孔子@十五岁。↵↵[8] @孔子	时间
067_仲尼弟子列传	山川	山川	784	词表匹配	山川	子骍且角，虽欲勿用，山川其舍诸？”↵↵## 	地名
067_仲尼弟子列传	厓求	厓求	807	词表匹配	厓求	有季路↵↵[15] 厓求字子有，少@孔子@二	人名
067_仲尼弟子列传	九岁	九岁	820	词表匹配	九岁	子有，少@孔子@二十九岁。为季氏宰。↵↵[1	时间
067_仲尼弟子列传	季氏	季氏	824	词表匹配	季氏	@孔子@二十九岁。为季氏宰。↵↵[16] 季	人名
067_仲尼弟子列传	季康子	季康子	835	词表匹配	季康子	氏宰。↵↵[16] 季康子问@孔子@曰：“厓求	人名
067_仲尼弟子列传	厓求	厓求	846	词表匹配	厓求	康子问@孔子@曰：“厓求仁乎？”曰：“千室之	人名
067_仲尼弟子列传	百乘	百乘	860	词表匹配	百乘	？”曰：“千室之邑，百乘之家，求也可使治其赋	时间
067_仲尼弟子列传	子华	子华	963	词表匹配	子华	如之何其闻斯行之！”子华怪之，“敢问问同而答	人名
067_仲尼弟子列传	仲由	仲由	1010	词表匹配	仲由	之。”↵↵[18] 仲由字@子路@，卞人也。	人名
067_仲尼弟子列传	九岁	九岁	1027	词表匹配	九岁	，卞人也。少@孔子@九岁。↵↵[19] @子	时间
067_仲尼弟子列传	儒服	儒服	1087	词表匹配	儒服	@子路@，@子路@後儒服委质，因门人请为弟子	器物
067_仲尼弟子列传	季康子	季康子	1315	词表匹配	季康子	也。”↵↵[24] 季康子问：“仲由仁乎？”@	人名
067_仲尼弟子列传	仲由	仲由	1321	词表匹配	仲由	24] 季康子问：“仲由仁乎？”@孔子@曰：	人名
067_仲尼弟子列传	千乘	千乘	1334	词表匹配	千乘	乎？”@孔子@曰：“千乘之国可使治其赋，不知	地名
067_仲尼弟子列传	长沮	长沮	1366	词表匹配	长沮	 @子路@喜从游，遇长沮、桀溺、荷丈人。↵	人名
067_仲尼弟子列传	桀溺	桀溺	1369	词表匹配	桀溺	路@喜从游，遇长沮、桀溺、荷丈人。↵↵[2	人名
067_仲尼弟子列传	季氏	季氏	1389	词表匹配	季氏	[26] @子路@为季氏宰，季孙问曰：“@子	人名
067_仲尼弟子列传	季孙	季孙	1393	词表匹配	季孙	 @子路@为季氏宰，季孙问曰：“@子路@可谓	人名
067_仲尼弟子列传	子路	子路	1503	词表匹配	子路	以报上。”↵↵## 子路殉难↵↵[28] 初	人名
067_仲尼弟子列传	晋灵公	灵公	1519	词表匹配	灵公	[28] 初，=卫=灵公有宠姬曰南子。灵公太	人名
067_仲尼弟子列传	南子	南子	1525	词表匹配	南子	，=卫=灵公有宠姬曰南子。灵公太子蒉聩得过南	人名
067_仲尼弟子列传	晋灵公	灵公	1528	词表匹配	灵公	=灵公有宠姬曰南子。灵公太子蒉聩得过南子，惧	人名
067_仲尼弟子列传	南子	南子	1536	词表匹配	南子	子。灵公太子蒉聩得过南子，惧诛出奔。及灵公卒	人名
067_仲尼弟子列传	晋灵公	灵公	1545	词表匹配	灵公	过南子，惧诛出奔。及灵公卒而夫人欲立公子=郢	人名
067_仲尼弟子列传	夫人	夫人	1549	词表匹配	夫人	惧诛出奔。及灵公卒而夫人欲立公子=郢=。=郢	人名
067_仲尼弟子列传	晋出公	出公	1590	词表匹配	出公	=卫=立辄为君，是为出公。出公立十二年，其父	人名
067_仲尼弟子列传	晋出公	出公	1593	词表匹配	出公	立辄为君，是为出公。出公立十二年，其父蒉聩居	人名
067_仲尼弟子列传	十二年	十二年	1596	词表匹配	十二年	君，是为出公。出公立十二年，其父蒉聩居外，不得	时间
067_仲尼弟子列传	大夫	大夫	1619	词表匹配	大夫	入。@子路@为=卫=大夫孔悝之邑宰。蒉聩乃与	官职
067_仲尼弟子列传	孔悝	孔悝	1621	词表匹配	孔悝	@子路@为=卫=大夫孔悝之邑宰。蒉聩乃与孔悝	人名
067_仲尼弟子列传	孔悝	孔悝	1631	词表匹配	孔悝	孔悝之邑宰。蒉聩乃与孔悝作乱，谋入孔悝家，遂	人名
067_仲尼弟子列传	孔悝	孔悝	1638	词表匹配	孔悝	聩乃与孔悝作乱，谋入孔悝家，遂与其徒袭攻出公	人名
067_仲尼弟子列传	晋出公	出公	1648	词表匹配	出公	孔悝家，遂与其徒袭攻出公。出公奔=鲁=，而蒉	人名
067_仲尼弟子列传	晋出公	出公	1651	词表匹配	出公	，遂与其徒袭攻出公。出公奔=鲁=，而蒉聩入立	人名
067_仲尼弟子列传	郑庄公	庄公	1666	词表匹配	庄公	=，而蒉聩入立，是为庄公。方孔悝作乱，@子路	人名
067_仲尼弟子列传	孔悝	孔悝	1670	词表匹配	孔悝	聩入立，是为庄公。方孔悝作乱，@子路@在外，	人名
067_仲尼弟子列传	子羔	子羔	1689	词表匹配	子羔	在外，闻之而驰往。遇子羔出=卫=城门，谓@子	人名
067_仲尼弟子列传	城门	城门	1695	词表匹配	城门	驰往。遇子羔出=卫=城门，谓@子路@曰：“出	器物
067_仲尼弟子列传	晋出公	出公	1706	词表匹配	出公	门，谓@子路@曰：“出公去矣，而门已闭，子可	人名
