章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
068_商君列传	商鞅	商君	6	词表匹配	商君	# [0] 商君列传↵↵## 早年入	人名
068_商君列传	公孙	公孙	46	词表匹配	公孙	庶孽公子也，名鞅，姓公孙氏，其祖本姬姓也。鞅	人名
068_商君列传	姬姓	姬姓	53	词表匹配	姬姓	鞅，姓公孙氏，其祖本姬姓也。鞅少好^刑^名之	朝代
068_商君列传	相公	相公	71	词表匹配	相公	刑^名之学，事=魏=相公叔座为$中庶子$。公	人名
068_商君列传	社稷	社稷	121	词表匹配	社稷	叔病有如不可讳，将柰社稷何？”公叔曰：“座之	制度
068_商君列传	中庶子	中庶子	133	词表匹配	中庶子	何？”公叔曰：“座之中庶子@公孙鞅@，年虽少，	人名
068_商君列传	秦孝公	孝公	340	词表匹配	孝公	哉！”↵↵## 三说孝公↵↵[2] 公叔既死	人名
068_商君列传	缪公	缪公	374	词表匹配	缪公	下令国中求贤者，将修缪公之业，东复侵地，乃遂	人名
068_商君列传	宠臣	宠臣	397	词表匹配	宠臣	入=秦=，因@孝公@宠臣景监以求见@孝公@。	官职
068_商君列传	景监	景监	399	词表匹配	景监	秦=，因@孝公@宠臣景监以求见@孝公@。@孝	人名
068_商君列传	景监	景监	443	词表匹配	景监	弗听。罢而@孝公@怒景监曰：“子之客妄人耳，	人名
068_商君列传	景监	景监	461	词表匹配	景监	妄人耳，安足用邪！”景监以让@卫鞅@。@卫鞅	人名
068_商君列传	五日	五日	493	词表匹配	五日	，其志不开悟矣。”後五日，复求见鞅。鞅复见@	时间
068_商君列传	景监	景监	526	词表匹配	景监	旨。罢而@孝公@复让景监，景监亦让鞅。鞅曰：	人名
068_商君列传	景监	景监	529	词表匹配	景监	而@孝公@复让景监，景监亦让鞅。鞅曰：“吾说	人名
068_商君列传	王道	王道	543	词表匹配	王道	鞅。鞅曰：“吾说公以王道而未入也。请复见鞅。	制度
068_商君列传	景监	景监	584	词表匹配	景监	。罢而去。@孝公@谓景监曰：“汝客善，可与语	人名
068_商君列传	数日	数日	654	词表匹配	数日	自知跶之前於席也。语数日不厌。景监曰：“子何	时间
068_商君列传	景监	景监	659	词表匹配	景监	於席也。语数日不厌。景监曰：“子何以中吾君？	人名
068_商君列传	帝王	帝王	687	词表匹配	帝王	。”鞅曰：“吾说君以帝王之道比三=代=，而君	官职
068_商君列传	数十百	数十百	729	词表匹配	数十百	显名天下，安能邑邑待数十百年以成帝王乎？”故吾	时间
068_商君列传	帝王	帝王	735	词表匹配	帝王	能邑邑待数十百年以成帝王乎？”故吾以彊国之术	官职
068_商君列传	变法	变法	775	词表匹配	变法	周=矣。”↵↵## 变法立信↵↵[3] @孝	制度
068_商君列传	甘龙	甘龙	937	词表匹配	甘龙	@孝公@曰：“善。”甘龙曰：“不然。圣人不易	人名
068_商君列传	五伯	五伯	1053	词表匹配	五伯	代=不同^礼^而王，五伯不同法而霸。智者作法	制度
068_商君列传	杜挚	杜挚	1085	词表匹配	杜挚	礼^，不肖者拘焉。”杜挚曰：“利不百，不^变	人名
068_商君列传	臣妾	臣妾	1359	词表匹配	臣妾	级，各以差次名田宅，臣妾衣服以家次。有功者显	器物
068_商君列传	南门	南门	1413	词表匹配	南门	乃立三丈之木於国都市南门，募民有能徙置北门者	地名
068_商君列传	北门	北门	1422	词表匹配	北门	市南门，募民有能徙置北门者予十金。民怪之，莫	地名
068_商君列传	十金	十金	1426	词表匹配	十金	募民有能徙置北门者予十金。民怪之，莫敢徙。复	器物
068_商君列传	五十金	五十金	1444	词表匹配	五十金	敢徙。复曰“能徙者予五十金”。有一人徙之，辄予	器物
068_商君列传	五十金	五十金	1457	词表匹配	五十金	”。有一人徙之，辄予五十金，以明不欺。卒下令。	器物
068_商君列传	子犯	子犯	1504	词表匹配	子犯	不便者以千数。於是太子犯法。@卫鞅@曰：“法	人名
068_商君列传	公孙	公孙	1557	词表匹配	公孙	^其傅公子虔，黥其师公孙贾。明日，=秦=人皆	人名
068_商君列传	明日	明日	1561	词表匹配	明日	子虔，黥其师公孙贾。明日，=秦=人皆趋令。行	时间
068_商君列传	十年	十年	1574	词表匹配	十年	=秦=人皆趋令。行之十年，=秦=民大说，道不	时间
068_商君列传	商於	商於	1667	词表匹配	商於	莫敢议令。↵↵## 商於封侯↵↵[7] 於是	地名
068_商君列传	安邑	安邑	1694	词表匹配	安邑	良造$。将兵围=魏=安邑，降之。居三年，作为	地名
068_商君列传	居三年	居三年	1700	词表匹配	居三年	围=魏=安邑，降之。居三年，作为筑冀阙宫庭於=	时间
068_商君列传	冀阙	冀阙	1707	词表匹配	冀阙	降之。居三年，作为筑冀阙宫庭於=咸阳=，=秦	器物
068_商君列传	阡陌	阡陌	1764	词表匹配	阡陌	，凡三十一县。为田开阡陌封疆，而赋税平。平斗	制度
068_商君列传	四年	四年	1784	词表匹配	四年	平斗桶权衡丈尺。行之四年，公子虔复犯约，劓之	时间
068_商君列传	五年	五年	1798	词表匹配	五年	子虔复犯约，劓之。居五年，=秦=人富彊，天子	时间
068_商君列传	天子	天子	1808	词表匹配	天子	五年，=秦=人富彊，天子致胙於@孝公@，诸侯	官职
068_商君列传	明年	明年	1830	词表匹配	明年	毕贺。↵↵[8] 其明年，=齐=败=魏=兵於	时间
068_商君列传	庞涓	庞涓	1858	词表匹配	庞涓	其太子申，杀$将军$庞涓。其明年，@卫鞅@说	人名
068_商君列传	明年	明年	1862	词表匹配	明年	，杀$将军$庞涓。其明年，@卫鞅@说@孝公@	时间
068_商君列传	安邑	安邑	1927	词表匹配	安邑	魏=居领厄之西，都安邑，与=秦=界河而独擅	地名
068_商君列传	山东	山东	1939	词表匹配	山东	，与=秦=界河而独擅山东之利。利则西侵=秦=	地名
068_商君列传	河山	河山	2017	词表匹配	河山	东徙。东徙，=秦=据河山之固，东乡以制诸侯，	地名
068_商君列传	帝王	帝王	2030	词表匹配	帝王	固，东乡以制诸侯，此帝王之业也。”@孝公@以	官职
068_商君列传	公子卬	公子卬	2061	词表匹配	公子卬	而伐=魏=。=魏=使公子卬将而击之。军既相距，	人名
068_商君列传	公子卬	公子卬	2083	词表匹配	公子卬	，@卫鞅@遗=魏=将公子卬书曰：“吾始与公子驩	人名
068_商君列传	甲士	甲士	2155	词表匹配	甲士	已，饮，而@卫鞅@伏甲士而袭虏@魏公子@卬，	器物
068_商君列传	安邑	安邑	2229	词表匹配	安邑	=以和。而=魏=遂去安邑，徙都=大梁=。梁@	地名
068_商君列传	十年	十年	2315	词表匹配	十年	] =商=君相=秦=十年，宗室贵戚多怨望者。	时间
068_商君列传	孔丘	孔丘	2378	词表匹配	孔丘	良曰：“仆弗敢原也。孔丘有言曰：“推贤而戴者	人名
068_商君列传	舜	虞舜	2503	词表匹配	虞舜	之谓明，自胜之谓彊。虞舜有言曰：“自卑也尚矣	人名
068_商君列传	舜	虞舜	2521	词表匹配	虞舜	卑也尚矣。”君不若道虞舜之道，无为问仆矣。”	人名
068_商君列传	戎翟	戎翟	2544	词表匹配	戎翟	商=君曰：“始=秦=戎翟之教，父子无别，同室	族群
068_商君列传	冀阙	冀阙	2576	词表匹配	冀阙	而为其男女之别，大筑冀阙，营如鲁=卫=矣。子	器物
068_商君列传	五羖	五羖	2598	词表匹配	五羖	观我治=秦=也，孰与五羖$大夫$贤？”=赵=	人名
068_商君列传	千人	千人	2626	词表匹配	千人	之皮，不如一狐之掖；千人之诺诺，不如一士之谔	时间
068_商君列传	终日	终日	2671	词表匹配	终日	非@武王@乎，则仆请终日正言而无诛，可乎？”	时间
068_商君列传	终日	终日	2719	词表匹配	终日	，甘言疾也。夫子果肯终日正言，鞅之药也。鞅将	时间
068_商君列传	五羖	五羖	2749	词表匹配	五羖	！”=赵=良曰：“夫五羖$大夫$，荆之鄙人也	人名
068_商君列传	缪公	缪公	2766	词表匹配	缪公	荆之鄙人也。闻=秦=缪公之贤而原望见，行而无	人名
068_商君列传	缪公	缪公	2796	词表匹配	缪公	客，被褐食牛。期年，缪公知之，举之牛口之下，	人名
068_商君列传	七年	七年	2830	词表匹配	七年	莫敢望焉。相=秦=六七年，而东伐=郑=，三置	时间
068_商君列传	由余	由余	2880	词表匹配	由余	侯，而八~戎~来服。由余闻之，款关请见。五羖	人名
068_商君列传	五羖	五羖	2890	词表匹配	五羖	由余闻之，款关请见。五羖$大夫$之相=秦=也	人名
068_商君列传	干戈	干戈	2927	词表匹配	干戈	，不从*车*乘，不操干戈，功名藏於府库，德行	器物
068_商君列传	府库	府库	2934	词表匹配	府库	，不操干戈，功名藏於府库，德行施於後世。五羖	器物
068_商君列传	五羖	五羖	2944	词表匹配	五羖	府库，德行施於後世。五羖$大夫$死，=秦国=	人名
068_商君列传	五羖	五羖	2974	词表匹配	五羖	歌谣，舂者不相杵。此五羖$大夫$之德也。今君	人名
068_商君列传	景监	景监	2997	词表匹配	景监	见=秦=王也，因嬖人景监以为主，非所以为名也	人名
068_商君列传	冀阙	冀阙	3024	词表匹配	冀阙	不以百姓为事，而大筑冀阙，非所以为功也。^刑	器物
068_商君列传	师傅	师傅	3041	词表匹配	师傅	功也。^刑^黥太子之师傅，残伤民以骏^刑^，	官职
068_商君列传	八年	八年	3161	词表匹配	八年	也。公子虔杜门不出已八年矣，君又杀祝懽而黥公	时间
068_商君列传	公孙	公孙	3172	词表匹配	公孙	年矣，君又杀祝懽而黥公孙贾。诗曰：“得人者兴	人名
068_商君列传	十数	十数	3212	词表匹配	十数	。君之出也，後*车*十数，从*车*载甲，多力	时间
068_商君列传	李延年	延年	3282	词表匹配	延年	君之危若朝露，尚将欲延年益寿乎？则何不归十五	人名
068_商君列传	一旦	一旦	3363	词表匹配	一旦	畜百姓之怨，=秦=王一旦捐宾客而不立朝，=秦	时间
068_商君列传	五月	五月	3421	词表匹配	五月	自毙↵↵[10] 後五月而@秦孝公@卒，太子	时间
068_商君列传	公子卬	公子卬	3539	词表匹配	公子卬	魏=。=魏=人怨其欺公子卬而破=魏=师，弗受。	人名
068_商君列传	司马迁	太史公	3696	词表匹配	太史公	君之家。↵↵↵## 太史公曰↵↵> [NOTE	人名
068_商君列传	帝王	帝王	3733	词表匹配	帝王	。迹其欲干@孝公@以帝王术，挟持浮说，非其质	官职
068_商君列传	景监	景监	3845	词表匹配	景监	 @卫鞅@入=秦=，景监是因。王道不用，霸术	人名
068_商君列传	王道	王道	3850	词表匹配	王道	入=秦=，景监是因。王道不用，霸术见亲。^政	制度
