章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
068_商君列传	社稷	社稷	121	词表匹配	社稷	叔病有如不可讳，将柰社稷何？”公叔曰：“座之	礼仪
068_商君列传	王道	王道	543	词表匹配	王道	鞅。鞅曰：“吾说公以王道而未入也。请复见鞅。	思想
068_商君列传	霸道	霸道	607	词表匹配	霸道	。”鞅曰：“吾说公以霸道，其意欲用之矣。诚复	思想
068_商君列传	天下	天下	721	词表匹配	天下	贤君者，各及其身显名天下，安能邑邑待数十百年	思想
068_商君列传	天下	天下	804	词表匹配	天下	@，鞅欲^变法^，恐天下议己。@卫鞅@曰：“	思想
068_商君列传	圣人	圣人	900	词表匹配	圣人	大功者不谋於众。是以圣人苟可以彊国，不法其故	思想
068_商君列传	圣人	圣人	945	词表匹配	圣人	。”甘龙曰：“不然。圣人不易民而教，知者不^	思想
068_商君列传	连坐	连坐	1226	词表匹配	连坐	令民为什伍，而相牧司连坐。不告奸者腰斩，告奸	刑法
068_商君列传	腰斩	腰斩	1233	词表匹配	腰斩	相牧司连坐。不告奸者腰斩，告奸者与斩敌首同赏	刑法
068_商君列传	收孥	收孥	1326	词表匹配	收孥	利及怠而贫者，举以为收孥。宗室非有军功论，不	刑法
068_商君列传	会盟	会盟	2143	词表匹配	会盟	@魏公子@卬以为然。会盟已，饮，而@卫鞅@伏	礼仪
068_商君列传	无为	无为	2526	词表匹配	无为	”君不若道虞舜之道，无为问仆矣。”=商=君曰	思想
068_商君列传	德行	德行	2937	词表匹配	德行	干戈，功名藏於府库，德行施於後世。五羖$大夫	思想
068_商君列传	车裂	车裂	3659	词表匹配	车裂	郑=黾池。@秦惠王@车裂=商=君以徇，曰：“	刑法
068_商君列传	王道	王道	3850	词表匹配	王道	入=秦=，景监是因。王道不用，霸术见亲。^政	思想
