章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
069_苏秦列传	苏秦	苏秦	6	词表匹配	苏秦	# [0] 苏秦列传↵↵## 困顿发	人名
069_苏秦列传	东周	东周	31	词表匹配	东周	[1] @苏秦@者，东周=雒阳=人也。东事师	朝代
069_苏秦列传	鬼谷	鬼谷	52	词表匹配	鬼谷	师於=齐=，而习之於鬼谷先生。↵↵[2] 出	地名
069_苏秦列传	数岁	数岁	65	词表匹配	数岁	生。↵↵[2] 出游数岁，大困而归。兄弟嫂妹	时间
069_苏秦列传	周显王	显王	225	词表匹配	显王	之君矣。”求说=周=显王。显王左右素习知@苏	人名
069_苏秦列传	周显王	显王	228	词表匹配	显王	。”求说=周=显王。显王左右素习知@苏秦@，	人名
069_苏秦列传	汉中	汉中	295	词表匹配	汉中	带渭，东有关河，西有汉中，南有巴蜀，北有=代	地名
069_苏秦列传	巴蜀	巴蜀	300	词表匹配	巴蜀	关河，西有汉中，南有巴蜀，北有=代=马，此天	地名
069_苏秦列传	兵法	兵法	324	词表匹配	兵法	。以=秦=士民之众，兵法之教，可以吞天下，称	制度
069_苏秦列传	赵肃侯	肃侯	401	词表匹配	肃侯	乃东之=赵=。=赵=肃侯令其弟成为相，号奉阳	人名
069_苏秦列传	合从	合从	429	词表匹配	合从	说之。↵↵## 说燕合从↵↵[5] 去游=燕	制度
069_苏秦列传	岁馀	岁馀	443	词表匹配	岁馀	[5] 去游=燕=，岁馀而後得见。说=燕=文	时间
069_苏秦列传	文侯申	文侯	454	词表匹配	文侯	馀而後得见。说=燕=文侯曰：“=燕=东有朝鲜	人名
069_苏秦列传	朝鲜	朝鲜	464	词表匹配	朝鲜	文侯曰：“=燕=东有朝鲜、辽东，北有林~胡~	人名
069_苏秦列传	辽东	辽东	467	词表匹配	辽东	：“=燕=东有朝鲜、辽东，北有林~胡~、楼烦	地名
069_苏秦列传	楼烦	楼烦	477	词表匹配	楼烦	辽东，北有林~胡~、楼烦，西有云中、九原，南	人名
069_苏秦列传	云中	云中	482	词表匹配	云中	林~胡~、楼烦，西有云中、九原，南有呼沱、易	地名
069_苏秦列传	九原	九原	485	词表匹配	九原	~、楼烦，西有云中、九原，南有呼沱、易水，地	地名
069_苏秦列传	易水	易水	493	词表匹配	易水	中、九原，南有呼沱、易水，地方二千馀里，带甲	地名
069_苏秦列传	二千馀里	二千馀里	498	词表匹配	二千馀里	南有呼沱、易水，地方二千馀里，带甲数十万，*车*	时间
069_苏秦列传	数十万	数十万	505	词表匹配	数十万	，地方二千馀里，带甲数十万，*车*六百乘，骑六	时间
069_苏秦列传	百乘	百乘	513	词表匹配	百乘	带甲数十万，*车*六百乘，骑六千匹，粟支数年	时间
069_苏秦列传	千匹	千匹	518	词表匹配	千匹	，*车*六百乘，骑六千匹，粟支数年。南有碣石	时间
069_苏秦列传	数年	数年	523	词表匹配	数年	百乘，骑六千匹，粟支数年。南有碣石、雁门之饶	时间
069_苏秦列传	碣石	碣石	528	词表匹配	碣石	千匹，粟支数年。南有碣石、雁门之饶，北有枣栗	地名
069_苏秦列传	雁门	雁门	531	词表匹配	雁门	粟支数年。南有碣石、雁门之饶，北有枣栗之利，	地名
069_苏秦列传	枣栗	枣栗	538	词表匹配	枣栗	碣石、雁门之饶，北有枣栗之利，民虽不佃作而足	动植物
069_苏秦列传	枣栗	枣栗	551	词表匹配	枣栗	利，民虽不佃作而足於枣栗矣。此所谓天府者也。	动植物
069_苏秦列传	甲兵	甲兵	610	词表匹配	甲兵	=燕=之所以不犯寇被甲兵者，以=赵=之为蔽其	器物
069_苏秦列传	赵相	赵相	647	词表匹配	赵相	而=赵=三胜。=秦=赵相毙，而王以全=燕=制	官职
069_苏秦列传	云中	云中	687	词表匹配	云中	秦=之攻=燕=也，逾云中、九原，过=代=、上	地名
069_苏秦列传	九原	九原	690	词表匹配	九原	攻=燕=也，逾云中、九原，过=代=、上谷，弥	地名
069_苏秦列传	上谷	上谷	698	词表匹配	上谷	中、九原，过=代=、上谷，弥地数千里，虽得=	地名
069_苏秦列传	数千里	数千里	703	词表匹配	数千里	过=代=、上谷，弥地数千里，虽得=燕=城，=秦	时间
069_苏秦列传	十日	十日	756	词表匹配	十日	=也，发号出令，不至十日而数十万之军军於东垣	时间
069_苏秦列传	数十万	数十万	759	词表匹配	数十万	发号出令，不至十日而数十万之军军於东垣矣。渡呼	时间
069_苏秦列传	东垣	东垣	766	词表匹配	东垣	十日而数十万之军军於东垣矣。渡呼沱，涉易水，	地名
069_苏秦列传	易水	易水	775	词表匹配	易水	於东垣矣。渡呼沱，涉易水，不至四五日而距国都	地名
069_苏秦列传	四五日	四五日	780	词表匹配	四五日	渡呼沱，涉易水，不至四五日而距国都矣。故曰=秦	时间
069_苏秦列传	千里	千里	803	词表匹配	千里	=之攻=燕=也，战於千里之外；=赵=之攻=燕	时间
069_苏秦列传	百里	百里	820	词表匹配	百里	=之攻=燕=也，战於百里之内。夫不忧百里之患	人名
069_苏秦列传	百里	百里	828	词表匹配	百里	战於百里之内。夫不忧百里之患而重千里之外，计	人名
069_苏秦列传	千里	千里	834	词表匹配	千里	。夫不忧百里之患而重千里之外，计无过於此者。	时间
069_苏秦列传	文侯申	文侯	880	词表匹配	文侯	患矣。”↵↵[7] 文侯曰：“子言则可，然吾	人名
069_苏秦列传	合从	合从	922	词表匹配	合从	=赵=彊国也。子必欲合从以安=燕=，寡人请以	制度
069_苏秦列传	金帛	金帛	955	词表匹配	金帛	是资@苏秦@车*马*金帛以至=赵=。而奉阳君	器物
069_苏秦列传	赵肃侯	肃侯	976	词表匹配	肃侯	君已死，即因说=赵=肃侯曰：“天下卿相人臣及	人名
069_苏秦列传	下卿	下卿	982	词表匹配	下卿	说=赵=肃侯曰：“天下卿相人臣及布衣之士，皆	官职
069_苏秦列传	人臣	人臣	985	词表匹配	人臣	=肃侯曰：“天下卿相人臣及布衣之士，皆高贤君	官职
069_苏秦列传	日久	日久	1012	词表匹配	日久	原奉教=陈=忠於前之日久矣。虽然，奉阳君妒而	时间
