章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
069_苏秦列传	天下	天下	332	词表匹配	天下	众，兵法之教，可以吞天下，称帝而治。”=秦=	思想
069_苏秦列传	天下	天下	858	词表匹配	天下	原大王与=赵=从亲，天下为一，则=燕国=必无	思想
069_苏秦列传	天下	天下	981	词表匹配	天下	因说=赵=肃侯曰：“天下卿相人臣及布衣之士，	思想
069_苏秦列传	阴阳	阴阳	1214	词表匹配	阴阳	口。请别白黑所以异，阴阳而已矣。君诚能听臣，	思想
069_苏秦列传	天下	天下	1662	词表匹配	天下	畏也。=秦=之所害於天下者莫如=赵=，然而=	思想
069_苏秦列传	天下	天下	1836	词表匹配	天下	，舜无咫尺之地，以有天下；禹无百人之聚，以王	思想
069_苏秦列传	天下	天下	1954	词表匹配	天下	↵[14] “臣窃以天下之地图案之，诸侯之地	思想
069_苏秦列传	天下	天下	2244	词表匹配	天下	从亲，以畔=秦=。令天下之将相会於洹水之上，	思想
069_苏秦列传	社稷	社稷	2601	词表匹配	社稷	，立国日浅，未尝得闻社稷之长计也。今上客有意	礼仪
069_苏秦列传	天下	天下	2614	词表匹配	天下	长计也。今上客有意存天下，安诸侯寡人敬以国从	思想
069_苏秦列传	天下	天下	2816	词表匹配	天下	百馀里，带甲数十万，天下之彊弓劲弩皆从=韩=	思想
069_苏秦列传	社稷	社稷	3007	词表匹配	社稷	=秦=，交臂而服，羞社稷而为天下笑，无大於此	礼仪
069_苏秦列传	天下	天下	3011	词表匹配	天下	交臂而服，羞社稷而为天下笑，无大於此者矣。是	思想
069_苏秦列传	无为	无为	3147	词表匹配	无为	鄙谚曰：‘宁为鸡口，无为牛後。’今西面交臂而	思想
069_苏秦列传	社稷	社稷	3265	词表匹配	社稷	以=赵=王之教，敬奉社稷以从。”↵↵[22]	礼仪
069_苏秦列传	天下	天下	3442	词表匹配	天下	交彊虎狼之=秦=以侵天下，卒有=秦=患，不顾	思想
069_苏秦列传	天下	天下	3481	词表匹配	天下	罪无过此者。=魏=，天下之彊国也；王，天下之	思想
069_苏秦列传	天下	天下	3490	词表匹配	天下	，天下之彊国也；王，天下之贤王也。今乃有意西	思想
069_苏秦列传	贤王	贤王	3493	词表匹配	贤王	之彊国也；王，天下之贤王也。今乃有意西面而事	思想
069_苏秦列传	天下	天下	4192	词表匹配	天下	王之贤与=齐=之彊，天下莫能当。今乃西面而事	思想
069_苏秦列传	天下	天下	4609	词表匹配	天下	威王@曰：“=楚=，天下之彊国也；王，天下之	思想
069_苏秦列传	天下	天下	4618	词表匹配	天下	，天下之彊国也；王，天下之贤王也。西有黔中、	思想
