章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
070_张仪列传	张仪	张仪	6	词表匹配	张仪	# [0] 张仪列传↵↵## 初入秦	人名
070_张仪列传	秦国	秦国	17	词表匹配	秦国	仪列传↵↵## 初入秦国↵↵[1] @张仪@	地名
070_张仪列传	鬼谷	鬼谷	46	词表匹配	鬼谷	。始尝与@苏秦@俱事鬼谷先生，学术，@苏秦@	地名
070_张仪列传	数百	数百	139	词表匹配	数百	”共执@张仪@，掠笞数百，不服，醳之。其妻曰	时间
070_张仪列传	数日	数日	337	词表匹配	数日	不为通，又使不得去者数日。已而见之，坐之堂下	时间
070_张仪列传	金钱	金钱	583	词表匹配	金钱	近就之，奉以车*马*金钱，所欲用，为取给，而	器物
070_张仪列传	三川	三川	1044	词表匹配	三川	=魏=善=楚=，下兵三川，塞什谷之口，当屯留	地名
070_张仪列传	屯留	屯留	1054	词表匹配	屯留	三川，塞什谷之口，当屯留之道，=魏=绝南阳，	地名
070_张仪列传	南阳	南阳	1063	词表匹配	南阳	当屯留之道，=魏=绝南阳，=楚=临南=郑=，	地名
070_张仪列传	新城	新城	1079	词表匹配	新城	临南=郑=，=秦=攻新城、宜阳，以临二=周=	地名
070_张仪列传	宜阳	宜阳	1082	词表匹配	宜阳	郑=，=秦=攻新城、宜阳，以临二=周=之郊，	地名
070_张仪列传	宝器	宝器	1126	词表匹配	宝器	自知不能救，九*鼎*宝器必出。据九*鼎*，案	器物
070_张仪列传	天子	天子	1142	词表匹配	天子	九*鼎*，案图籍，挟天子以令於天下，天下莫敢	官职
070_张仪列传	三川	三川	1213	词表匹配	三川	於朝，争利者於市。今三川、=周=室，天下之朝	地名
070_张仪列传	今王	今王	1306	词表匹配	今王	三资者备而王随之矣。今王地小民贫，故臣原先从	官职
070_张仪列传	豺狼	豺狼	1356	词表匹配	豺狼	以=秦=攻之，譬如使豺狼逐群羊。得其地足以广	动植物
070_张仪列传	窦广国	广国	1367	词表匹配	广国	狼逐群羊。得其地足以广国，取其财足以富民缮兵	人名
070_张仪列传	西海	西海	1402	词表匹配	西海	而天下不以为暴，利尽西海而天下不以为贪，是我	地名
070_张仪列传	天子	天子	1439	词表匹配	天子	之名。今攻=韩=，劫天子，恶名也，而未必利也	官职
070_张仪列传	三川	三川	1516	词表匹配	三川	*鼎*，=韩=自知亡三川，将二国并力合谋，以	地名
070_张仪列传	十月	十月	1614	词表匹配	十月	听子。”卒起兵伐蜀，十月，取之，遂定蜀，贬蜀	时间
070_张仪列传	十年	十年	1683	词表匹配	十年	[10] @秦惠王@十年，使公子华与@张仪@	时间
070_张仪列传	子华	子华	1688	词表匹配	子华	@秦惠王@十年，使公子华与@张仪@围蒲阳，降	人名
070_张仪列传	蒲阳	蒲阳	1696	词表匹配	蒲阳	使公子华与@张仪@围蒲阳，降之。仪因言=秦=	地名
070_张仪列传	上郡	上郡	1764	词表匹配	上郡	^礼^。”=魏=因入上郡、少梁，谢@秦惠王@	地名
070_张仪列传	少梁	少梁	1767	词表匹配	少梁	。”=魏=因入上郡、少梁，谢@秦惠王@。@惠	地名
070_张仪列传	少梁	少梁	1792	词表匹配	少梁	以@张仪@为相，更名少梁曰&夏&阳。↵↵[1	地名
070_张仪列传	四岁	四岁	1812	词表匹配	四岁	[11] 仪相=秦=四岁，立@惠王@为王。居	时间
070_张仪列传	一岁	一岁	1824	词表匹配	一岁	，立@惠王@为王。居一岁，为=秦=将，取陕。	时间
070_张仪列传	上郡	上郡	1837	词表匹配	上郡	为=秦=将，取陕。筑上郡塞。↵↵[12] 其	地名
070_张仪列传	後二年	後二年	1849	词表匹配	後二年	塞。↵↵[12] 其後二年，使与=齐=、=楚=	时间
070_张仪列传	齧桑	齧桑	1865	词表匹配	齧桑	=齐=、=楚=之相会齧桑。东还而免相，相=魏	地名
070_张仪列传	免相	免相	1871	词表匹配	免相	=之相会齧桑。东还而免相，相=魏=以为=秦=	官职
070_张仪列传	曲沃	曲沃	1921	词表匹配	曲沃	=王怒，伐取=魏=之曲沃、平=周=，复阴厚@	地名
070_张仪列传	四岁	四岁	1954	词表匹配	四岁	，无以归报。留=魏=四岁而=魏=襄王卒，哀王	时间
070_张仪列传	周襄王	襄王	1960	词表匹配	襄王	留=魏=四岁而=魏=襄王卒，哀王立。@张仪@	人名
070_张仪列传	周哀王	哀王	1964	词表匹配	哀王	四岁而=魏=襄王卒，哀王立。@张仪@复说哀王	人名
070_张仪列传	周哀王	哀王	1974	词表匹配	哀王	哀王立。@张仪@复说哀王，哀王不听。於是@张	人名
070_张仪列传	周哀王	哀王	1977	词表匹配	哀王	。@张仪@复说哀王，哀王不听。於是@张仪@阴	人名
070_张仪列传	明年	明年	2016	词表匹配	明年	，败。↵↵[13] 明年，=齐=又来败=魏=	时间
070_张仪列传	观津	观津	2029	词表匹配	观津	=齐=又来败=魏=於观津。=秦=复欲攻=魏=	地名
070_张仪列传	申差	申差	2047	词表匹配	申差	攻=魏=，先败=韩=申差军，斩首八万，诸侯震	人名
070_张仪列传	千里	千里	2082	词表匹配	千里	曰：“=魏=地方不至千里，卒不过三十万。地四	时间
070_张仪列传	百馀里	百馀里	2118	词表匹配	百馀里	之限。从=郑=至梁二百馀里，*车*驰人走，不待	时间
070_张仪列传	亭鄣	亭鄣	2170	词表匹配	亭鄣	齐=境，卒戍四方，守亭鄣者不下十万。梁之地势	制度
070_张仪列传	社稷	社稷	2290	词表匹配	社稷	诸侯之为从者，将以安社稷尊主彊兵显名也。今从	制度
070_张仪列传	洹水	洹水	2321	词表匹配	洹水	，^刑^白*马*以盟洹水之上，以相坚也。而亲	地名
070_张仪列传	河外	河外	2390	词表匹配	河外	=秦=，=秦=下兵攻河外，据卷、衍、、酸枣，	地名
070_张仪列传	酸枣	酸枣	2399	词表匹配	酸枣	攻河外，据卷、衍、、酸枣，劫=卫=取阳=晋=	地名
070_张仪列传	韩安国	安国	2664	词表匹配	安国	楚=而適=秦=，嫁祸安国，此善事也。大王不听	人名
070_张仪列传	甲士	甲士	2682	词表匹配	甲士	大王不听臣，=秦=下甲士而东伐，虽欲事=秦=	器物
070_张仪列传	周哀王	哀王	2834	词表匹配	哀王	=。”↵↵[20] 哀王於是乃倍从约而因仪请	人名
070_张仪列传	三岁	三岁	2864	词表匹配	三岁	仪@归，复相=秦=。三岁而=魏=复背=秦=为	时间
070_张仪列传	曲沃	曲沃	2887	词表匹配	曲沃	。=秦=攻=魏=，取曲沃。明年，=魏=复事=	地名
070_张仪列传	明年	明年	2890	词表匹配	明年	=攻=魏=，取曲沃。明年，=魏=复事=秦=。	时间
070_张仪列传	上舍	上舍	2959	词表匹配	上舍	王@闻@张仪@来，虚上舍而自馆之。曰：“此僻	官职
070_张仪列传	百里	百里	3017	词表匹配	百里	臣请献=商於=之地六百里，使=秦=女得为大王	人名
070_张仪列传	百里	百里	3111	词表匹配	百里	“寡人不兴师发兵得六百里地，群臣皆贺，子独吊	人名
