章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
074_孟子荀卿列传	孟轲	孟子	6	词表匹配	孟子	# [0] 孟子荀卿列传↵↵## 太	人名
074_孟子荀卿列传	荀卿	荀卿	8	词表匹配	荀卿	# [0] 孟子荀卿列传↵↵## 太史公	人名
074_孟子荀卿列传	司马迁	太史公	17	词表匹配	太史公	子荀卿列传↵↵## 太史公曰↵↵> [NOTE	人名
074_孟子荀卿列传	司城子罕	子罕	77	词表匹配	子罕	乎，利诚乱之始也！夫子罕言利者，常防其原也。	人名
074_孟子荀卿列传	天子	天子	103	词表匹配	天子	於利而行，多怨"。自天子至於庶人，好利之弊何	官职
074_孟子荀卿列传	孟轲	孟轲	124	词表匹配	孟轲	何以异哉！↵↵## 孟轲游说不遇↵↵[1] 	人名
074_孟子荀卿列传	子思	子思	147	词表匹配	子思	孟轲@，驺人也。受业子思之门人。道既通，游事	人名
074_孟子荀卿列传	田忌	田忌	251	词表匹配	田忌	@宣王@用@孙子@、田忌之徒，而诸侯东面朝=	人名
074_孟子荀卿列传	合从	合从	271	词表匹配	合从	朝=齐=。天下方务於合从连衡，以攻伐为贤，而	制度
074_孟子荀卿列传	连衡	连衡	273	词表匹配	连衡	齐=。天下方务於合从连衡，以攻伐为贤，而@孟	制度
074_孟子荀卿列传	诗书	诗书	316	词表匹配	诗书	合。退而与万章之徒序诗书，述仲尼之意，作@孟	制度
074_孟子荀卿列传	孔子	仲尼	320	词表匹配	仲尼	与万章之徒序诗书，述仲尼之意，作@孟子@七篇	人名
074_孟子荀卿列传	驺子	驺子	336	词表匹配	驺子	@孟子@七篇。其後有驺子之属。↵↵## 驺忌	人名
074_孟子荀卿列传	驺忌	驺忌	346	词表匹配	驺忌	驺子之属。↵↵## 驺忌驺衍谈天地↵↵[2]	人名
074_孟子荀卿列传	驺衍	驺衍	348	词表匹配	驺衍	之属。↵↵## 驺忌驺衍谈天地↵↵[2] =	人名
074_孟子荀卿列传	天地	天地	351	词表匹配	天地	↵↵## 驺忌驺衍谈天地↵↵[2] =齐=有	天文
074_孟子荀卿列传	驺子	驺子	364	词表匹配	驺子	↵[2] =齐=有三驺子。其前驺忌，以鼓琴干	人名
074_孟子荀卿列传	驺忌	驺忌	369	词表匹配	驺忌	=齐=有三驺子。其前驺忌，以鼓琴干@威王@，	人名
074_孟子荀卿列传	赵成侯	成侯	390	词表匹配	成侯	，因及国^政^，封为成侯而受相*印*，先@孟	人名
074_孟子荀卿列传	驺衍	驺衍	413	词表匹配	驺衍	@。↵↵[3] 其次驺衍，後@孟子@。驺衍睹	人名
074_孟子荀卿列传	驺衍	驺衍	422	词表匹配	驺衍	次驺衍，後@孟子@。驺衍睹有国者益淫侈，不能	人名
