章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
077_魏公子列传	信陵君	魏公子	6	词表匹配	魏公子	# [0] 魏公子列传↵↵## 信陵君	人名
077_魏公子列传	信陵君	信陵君	16	词表匹配	信陵君	魏公子列传↵↵## 信陵君礼贤下士↵↵[1] 	人名
077_魏公子列传	无忌	无忌	34	词表匹配	无忌	↵[1] @魏公子@无忌者，魏@昭王@子少子	人名
077_魏公子列传	华阳	华阳	119	词表匹配	华阳	围=大梁=，破=魏=华阳下军，走芒卯。=魏=	人名
077_魏公子列传	下军	下军	121	词表匹配	下军	大梁=，破=魏=华阳下军，走芒卯。=魏=王及	官职
077_魏公子列传	芒卯	芒卯	125	词表匹配	芒卯	破=魏=华阳下军，走芒卯。=魏=王及公子患之	人名
077_魏公子列传	数千里	数千里	180	词表匹配	数千里	其富贵骄士。士以此方数千里争往归之，致$食客$	时间
077_魏公子列传	三千人	三千人	193	词表匹配	三千人	争往归之，致$食客$三千人。当是时，诸侯以公子	时间
077_魏公子列传	十馀年	十馀年	219	词表匹配	十馀年	客，不敢加兵谋=魏=十馀年。↵↵[3] 公子与	时间
077_魏公子列传	北方	北方	310	词表匹配	北方	心不在博。居顷，复从北方来传言曰：“=赵=王	地名
077_魏公子列传	任公	任公	404	词表匹配	任公	王畏公子之贤能，不敢任公子以国^政^。↵↵#	人名
077_魏公子列传	侯嬴	侯嬴	420	词表匹配	侯嬴	政^。↵↵## 夷门侯嬴市井硃亥↵↵[4] 	人名
077_魏公子列传	数十年	数十年	486	词表匹配	数十年	受，曰：“臣脩身絜行数十年，终不以监门困故而受	时间
077_魏公子列传	侯生	侯生	534	词表匹配	侯生	*骑，虚左，自迎夷门侯生。侯生摄敝衣冠，直上	官职
077_魏公子列传	侯生	侯生	537	词表匹配	侯生	虚左，自迎夷门侯生。侯生摄敝衣冠，直上载公子	官职
077_魏公子列传	衣冠	衣冠	541	词表匹配	衣冠	迎夷门侯生。侯生摄敝衣冠，直上载公子上坐，不	器物
077_魏公子列传	子上	子上	548	词表匹配	子上	生摄敝衣冠，直上载公子上坐，不让，欲以观公子	人名
077_魏公子列传	侯生	侯生	568	词表匹配	侯生	公子。公子执辔愈恭。侯生又谓公子曰：“臣有客	官职
077_魏公子列传	侯生	侯生	604	词表匹配	侯生	”公子引*车*入巿，侯生下见其客硃亥，俾倪故	官职
077_魏公子列传	将相	将相	643	词表匹配	将相	愈和。当是时，=魏=将相宗室宾客满堂，待公子	官职
077_魏公子列传	侯生	侯生	672	词表匹配	侯生	公子执辔。从骑皆窃骂侯生。侯生视公子色终不变	官职
077_魏公子列传	侯生	侯生	675	词表匹配	侯生	辔。从骑皆窃骂侯生。侯生视公子色终不变，乃谢	官职
077_魏公子列传	侯生	侯生	699	词表匹配	侯生	*车*。至家，公子引侯生坐上坐，遍赞宾客，宾	官职
077_魏公子列传	侯生	侯生	724	词表匹配	侯生	。酒酣，公子起，为寿侯生前。侯生因谓公子曰：	官职
077_魏公子列传	侯生	侯生	728	词表匹配	侯生	公子起，为寿侯生前。侯生因谓公子曰：“今日嬴	官职
