章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
081_廉颇蔺相如列传	廉颇	廉颇	6	词表匹配	廉颇	# [0] 廉颇蔺相如列传↵↵## 	人名
081_廉颇蔺相如列传	蔺相如	蔺相如	8	词表匹配	蔺相如	# [0] 廉颇蔺相如列传↵↵## 廉颇↵	人名
081_廉颇蔺相如列传	廉颇	廉颇	18	词表匹配	廉颇	蔺相如列传↵↵## 廉颇↵↵### 出身与早	人名
081_廉颇蔺相如列传	蔺相如	蔺相如	117	词表匹配	蔺相如	闻於诸侯。↵↵## 蔺相如↵↵### 出身↵↵	人名
081_廉颇蔺相如列传	舍人	舍人	162	词表匹配	舍人	&$宦者令$@缪贤@舍人。↵↵### 完璧归	人名
081_廉颇蔺相如列传	完璧归赵	完璧归赵	171	词表匹配	完璧归赵	@舍人。↵↵### 完璧归赵↵↵#### 秦赵璧	event
081_廉颇蔺相如列传	秦赵璧城之争	秦赵璧城之争	182	词表匹配	秦赵璧城之争	璧归赵↵↵#### 秦赵璧城之争↵↵[3.1] %赵	event
081_廉颇蔺相如列传	缪贤	缪贤	343	词表匹配	缪贤	未得。↵↵#### 缪贤荐相如↵↵[3.5]	人名
081_廉颇蔺相如列传	司马相如	相如	346	词表匹配	相如	↵↵#### 缪贤荐相如↵↵[3.5] $宦	人名
081_廉颇蔺相如列传	舍人	舍人	373	词表匹配	舍人	贤@曰：↵↵> "臣舍人@蔺相如@可使。"↵	人名
081_廉颇蔺相如列传	缪贤	缪贤	427	词表匹配	缪贤	↵↵> NOTE: 缪贤说辞↵> "臣尝有罪	人名
081_廉颇蔺相如列传	舍人	舍人	450	词表匹配	舍人	窃计欲亡走&燕&，臣舍人@相如@止臣，曰：'	人名
081_廉颇蔺相如列传	司马相如	相如	650	词表匹配	相如	使。"↵↵#### 相如请命↵↵[3.8] 	人名
081_廉颇蔺相如列传	完璧归赵	完璧归赵	974	词表匹配	完璧归赵	入&秦&。↵↵## 完璧归赵↵↵#### 怒斥秦	event
081_廉颇蔺相如列传	秦王	秦王	987	词表匹配	秦王	赵↵↵#### 怒斥秦王↵↵[4.1] &秦	人名
081_廉颇蔺相如列传	美人	美人	1044	词表匹配	美人	&秦王&大喜，传以示美人及左右，左右皆呼万岁	官职
081_廉颇蔺相如列传	万岁	万岁	1054	词表匹配	万岁	美人及左右，左右皆呼万岁。↵↵[4.3] @	时间
081_廉颇蔺相如列传	司马相如	相如	1155	词表匹配	相如	↵↵> NOTE: 相如斥责秦王↵> "大王	人名
081_廉颇蔺相如列传	秦王	秦王	1159	词表匹配	秦王	NOTE: 相如斥责秦王↵> "大王欲得*璧	人名
