章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
082_田单列传	田单	田单	6	词表匹配	田单	# [0] 田单列传↵↵## 田单出	人名
082_田单列传	田单	田单	15	词表匹配	田单	 田单列传↵↵## 田单出身↵↵[1.1] 	人名
082_田单列传	见知	见知	72	词表匹配	见知	=临菑=$市掾$，不见知。↵↵## 安平之战	制度
082_田单列传	安平	安平	80	词表匹配	安平	，不见知。↵↵## 安平之战↵↵[2.1] 	地名
082_田单列传	数年	数年	336	词表匹配	数年	因坚守，距&燕&军，数年不下。↵↵[2.7]	时间
082_田单列传	中人	中人	726	词表匹配	中人	] 而@田单@乃令城中人食必祭其先祖於庭，飞	地名
082_田单列传	中人	中人	804	词表匹配	中人	↵[4.5] 乃令城中人曰：↵↵> "当有神	地名
082_田单列传	神人	神人	815	词表匹配	神人	人曰：↵↵> "当有神人为我师。"↵↵[4.	神话
082_田单列传	中人	中人	1063	词表匹配	中人	↵↵[4.14] 城中人见&齐&诸降者尽劓，	地名
082_田单列传	令甲	令甲	1261	词表匹配	令甲	士。↵↵[5.2] 令甲卒皆伏，使老弱女子乘	制度
082_田单列传	万岁	万岁	1290	词表匹配	万岁	&燕&，&燕&军皆呼万岁。↵↵[5.3] @	时间
082_田单列传	千溢	千溢	1311	词表匹配	千溢	@田单@又收民金，得千溢，令=即墨=富豪遗&	时间
082_田单列传	千馀	千馀	1418	词表匹配	千馀	 @田单@乃收城中得千馀〘牛〙，为*绛缯衣*	时间
082_田单列传	数十	数十	1473	词表匹配	数十	↵↵[6.2] 凿城数十穴，夜纵〘牛〙，壮士	时间
082_田单列传	五千人	五千人	1485	词表匹配	五千人	穴，夜纵〘牛〙，壮士五千人随其後。↵↵[6.3	时间
082_田单列传	五千人	五千人	1569	词表匹配	五千人	伤。↵↵[6.5] 五千人因衔*枚*击之，而城	时间
082_田单列传	天地	天地	1601	词表匹配	天地	击*铜器*为声，声动天地。↵↵[6.6] &	天文
082_田单列传	七十馀城	七十馀城	1720	词表匹配	七十馀城	至=河=上，而&齐&七十馀城皆复为&齐&。↵↵[	时间
082_田单列传	司马迁	太史公	1797	词表匹配	太史公	安平君$。↵↵## 太史公曰↵↵[8.1] $	人名
082_田单列传	无穷	无穷	1839	词表匹配	无穷	.2] 善之者，出奇无穷。↵↵[8.3] 奇	地名
082_田单列传	君王后	君王后	1915	词表匹配	君王后	# 附记↵↵### 君王后↵↵[9.1] 初，	人名
082_田单列传	王蠋殉节	王蠋殉节	2078	词表匹配	王蠋殉节	$"也。↵↵### 王蠋殉节↵↵[10.1] &	event
082_田单列传	万家	万家	2182	词表匹配	万家	义，吾以子为将，封子万家。"↵↵[10.3]	时间
082_田单列传	三军	三军	2227	词表匹配	三军	↵> "子不听，吾引三军而屠=画邑=。"↵↵	制度
082_田单列传	王蠋	王蠋	2262	词表匹配	王蠋	↵↵> NOTE: 王蠋遗言↵> "忠臣不事	人名
082_田单列传	二君	二君	2274	词表匹配	二君	遗言↵> "忠臣不事二君，贞女不更二夫。&齐	时间
082_田单列传	军法	军法	2465	词表匹配	军法	赞↵↵[11.1] 军法以正，实尚奇兵。↵断	制度
