章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
085_吕不韦列传	吕不韦	吕不韦	6	词表匹配	吕不韦	# 085 吕不韦列传↵↵## 标题↵	人名
085_吕不韦列传	吕不韦	吕不韦	35	词表匹配	吕不韦	传↵↵## [1] 吕不韦其人↵↵[1.1] 	人名
085_吕不韦列传	千金	千金	73	词表匹配	千金	。往来贩贱卖贵,家累千金。↵↵## [2] 	器物
085_吕不韦列传	子楚	子楚	85	词表匹配	子楚	。↵↵## [2] 子楚质于赵↵↵[2.1]	人名
085_吕不韦列传	杨得意	得意	320	词表匹配	得意	进用不饶,居处困,不得意。@吕不韦@贾=邯郸	人名
085_吕不韦列传	吕不韦	吕不韦	357	词表匹配	吕不韦	。↵↵## [3] 吕不韦谋划↵↵[3.1] 	人名
085_吕不韦列传	卫长子	长子	589	词表匹配	长子	立为王,则子毋几得与长子及诸子旦暮在前者争为	人名
085_吕不韦列传	千金	千金	662	词表匹配	千金	。@不韦@虽贫,请以千金为子西游,事$@安国	器物
085_吕不韦列传	子西	子西	665	词表匹配	子西	韦@虽贫,请以千金为子西游,事$@安国君@$	人名
085_吕不韦列传	华阳夫人	华阳夫人	735	词表匹配	华阳夫人	↵## [4] 游说华阳夫人↵↵[4.1] @吕	人名
085_吕不韦列传	五百金	五百金	754	词表匹配	五百金	1] @吕不韦@乃以五百金与$@子楚@$,为进	器物
085_吕不韦列传	五百金	五百金	776	词表匹配	五百金	进用,结宾客;而复以五百金买奇物玩好,自奉而西	器物
085_吕不韦列传	夫人	夫人	849	词表匹配	夫人	下,常曰"@楚@也以夫人为天,日夜泣思$太子	人名
085_吕不韦列传	夫人	夫人	863	词表匹配	夫人	,日夜泣思$太子$及夫人"。夫人大喜。↵↵[	人名
085_吕不韦列传	夫人	夫人	867	词表匹配	夫人	思$太子$及夫人"。夫人大喜。↵↵[4.2]	人名
085_吕不韦列传	夫人	夫人	889	词表匹配	夫人	 @不韦@因使其姊说夫人曰:"吾闻之,以色事	人名
085_吕不韦列传	夫人	夫人	911	词表匹配	夫人	人者,色衰而爱弛。今夫人事$太子$,甚爱而无	人名
085_吕不韦列传	百岁	百岁	956	词表匹配	百岁	子之,夫在则重尊,夫百岁之後,所子者为王,终	时间
085_吕不韦列传	万世	万世	978	词表匹配	万世	不失势,此所谓一言而万世之利也。不以繁华时树	时间
085_吕不韦列传	夫人	夫人	1041	词表匹配	夫人	,其母又不得幸,自附夫人,夫人诚以此时拔以为	人名
085_吕不韦列传	夫人	夫人	1044	词表匹配	夫人	又不得幸,自附夫人,夫人诚以此时拔以为適,夫	人名
085_吕不韦列传	夫人	夫人	1055	词表匹配	夫人	人诚以此时拔以为適,夫人则竟世有宠於&秦&矣	人名
085_吕不韦列传	夫人	夫人	1173	词表匹配	夫人	安国君@$许之,乃与夫人刻*玉符*,约以为適	人名
085_吕不韦列传	夫人	夫人	1195	词表匹配	夫人	嗣。$@安国君@$及夫人因厚餽遗$@子楚@$	人名
085_吕不韦列传	夫人	夫人	1365	词表匹配	夫人	$@子楚@$遂立姬为夫人。↵↵## [6] 	人名
085_吕不韦列传	子楚归秦	子楚归秦	1377	词表匹配	子楚归秦	。↵↵## [6] 子楚归秦↵↵[6.1] &秦	event
085_吕不韦列传	百斤	百斤	1446	词表匹配	百斤	@吕不韦@谋,行金六百斤予守者吏,得脱,亡赴	时间
085_吕不韦列传	夫人	夫人	1488	词表匹配	夫人	$妻子,$@子楚@$夫人&赵&豪家女也,得匿	人名
085_吕不韦列传	夫人	夫人	1585	词表匹配	夫人	赵&亦奉$@子楚@$夫人及子$@政@$归&秦	人名
085_吕不韦列传	秦庄襄王	庄襄王	1608	词表匹配	庄襄王	。↵↵## [7] 庄襄王立,吕不韦为相↵↵[	人名
085_吕不韦列传	吕不韦为相	吕不韦为相	1613	词表匹配	吕不韦为相	 [7] 庄襄王立,吕不韦为相↵↵[7.1] &秦	event
085_吕不韦列传	秦王政	秦王政	1778	词表匹配	秦王政	。↵↵## [8] 秦王政立↵↵[8.1] $	人名
085_吕不韦列传	万人	万人	1866	词表匹配	万人	不韦@。@不韦@家僮万人。↵↵## [9] 	时间
085_吕不韦列传	吕不韦	吕不韦	1878	词表匹配	吕不韦	。↵↵## [9] 吕不韦养士著书↵↵[9.1	人名
085_吕不韦列传	食客	食客	1981	词表匹配	食客	亦招致士,厚遇之,至食客三千人。↵↵[9.2	官职
085_吕不韦列传	三千人	三千人	1983	词表匹配	三千人	致士,厚遇之,至食客三千人。↵↵[9.2] 是	时间
085_吕不韦列传	八览	八览	2036	词表匹配	八览	人人著所闻,集论以为八览、六论、十二纪,%二	器物
085_吕不韦列传	六论	六论	2039	词表匹配	六论	所闻,集论以为八览、六论、十二纪,%二十馀万	器物
085_吕不韦列传	十二纪	十二纪	2042	词表匹配	十二纪	集论以为八览、六论、十二纪,%二十馀万言%。以	器物
085_吕不韦列传	天地	天地	2057	词表匹配	天地	二十馀万言%。以为备天地万物古今之事,号曰吕	天文
085_吕不韦列传	吕氏春秋	吕氏春秋	2068	词表匹配	吕氏春秋	地万物古今之事,号曰吕氏春秋。布=咸阳=市门,悬	器物
085_吕不韦列传	千金	千金	2082	词表匹配	千金	。布=咸阳=市门,悬千金其上,延诸侯游士宾客	器物
085_吕不韦列传	千金	千金	2102	词表匹配	千金	宾客有能增损一字者予千金。↵↵## [10]	器物
085_吕不韦列传	嫪毐之乱	嫪毐之乱	2115	词表匹配	嫪毐之乱	↵↵## [10] 嫪毐之乱↵↵[10.1] $	event
085_吕不韦列传	数千人	数千人	2378	词表匹配	数千人	嫪毐@。@嫪毐@家僮数千人,诸客求宦为@嫪毐@	时间
085_吕不韦列传	千馀人	千馀人	2395	词表匹配	千馀人	宦为@嫪毐@$舍人$千馀人。↵↵## [11]	时间
085_吕不韦列传	夏太后	夏太后	2409	词表匹配	夏太后	↵↵## [11] 夏太后葬↵↵[11.1] 	人名
085_吕不韦列传	万家	万家	2541	词表匹配	万家	。後%百年%,旁当有万家邑"。↵↵## [1	时间
