章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
086_刺客列传	天下	天下	393	词表匹配	天下	自快,弃信於诸侯,失天下之援,不如与之。"於	思想
086_刺客列传	老子	老子	1164	词表匹配	老子	@王僚@$可杀也。母老子弱,而两弟将兵伐&楚	典籍
086_刺客列传	天下	天下	1861	词表匹配	天下	,而其臣欲为报仇,此天下之贤人也。"卒醳去之	思想
086_刺客列传	天下	天下	2083	词表匹配	天下	然所以为此者,将以愧天下後世之为人臣怀二心以	思想
086_刺客列传	天下	天下	2439	词表匹配	天下	之义。前君已宽赦臣,天下莫不称君之贤。今日之	思想
086_刺客列传	伏诛	伏诛	2455	词表匹配	伏诛	之贤。今日之事,臣固伏诛,然原请君之*衣*而	刑法
086_刺客列传	大人	大人	2968	词表匹配	大人	,故进百金者,将用为大人粗粝之费,得以交足下	典籍
086_刺客列传	天下	天下	4961	词表匹配	天下	@对曰:"&秦&地遍天下,威胁&韩&、&魏&	思想
086_刺客列传	天下	天下	5352	词表匹配	天下	,夫@樊@将军穷困於天下,归身於@丹@,@丹	思想
086_刺客列传	天下	天下	6336	词表匹配	天下	,而欲不可足也。非尽天下之地,臣海内之王者,	思想
086_刺客列传	天下	天下	6489	词表匹配	天下	@之私计愚,以为诚得天下之勇士使於&秦&,闚	思想
086_刺客列传	天下	天下	7319	词表匹配	天下	↵↵於是$太子$豫求天下之利*匕首*,得&赵	思想
086_刺客列传	社稷	社稷	8726	词表匹配	社稷	王,&秦&王必解,而社稷幸得血食。"其後@李	礼仪
086_刺客列传	血食	血食	8730	词表匹配	血食	&王必解,而社稷幸得血食。"其後@李信@追@	礼仪
086_刺客列传	天下	天下	8843	词表匹配	天下	↵↵其明年,&秦&并天下,立号为$皇帝$。於	思想
086_刺客列传	是非	是非	8958	词表匹配	是非	彼$庸$乃知音,窃言是非。"家丈人召使前击*	思想
