章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
087_李斯列传	李斯	李斯	6	词表匹配	李斯	# 087 李斯列传↵↵## 标题↵	人名
087_李斯列传	李斯	李斯	33	词表匹配	李斯	传↵↵## [1] 李斯早年↵↵[1.1] 	人名
087_李斯列传	荀卿	荀卿	171	词表匹配	荀卿	↵↵## [2] 从荀卿学,西入秦↵↵[2.	人名
087_李斯列传	帝王	帝王	193	词表匹配	帝王	1] 乃从@荀卿@学帝王之术。学已成,度&楚	官职
087_李斯列传	六国	六国	212	词表匹配	六国	度&楚&王不足事,而六国皆弱,无可为建功者,	制度
087_李斯列传	秦王	秦王	396	词表匹配	秦王	## [3] 入秦说秦王↵↵[3.1] 至&	人名
087_李斯列传	六国	六国	519	词表匹配	六国	公@$之霸,终不东并六国者,何也？诸侯尚众,	制度
087_李斯列传	诸侯相	诸侯相	571	词表匹配	诸侯相	以来,&周&室卑微,诸侯相兼,=关东=为六国,	官职
087_李斯列传	六国	六国	581	词表匹配	六国	诸侯相兼,=关东=为六国,&秦&之乘胜役诸侯	制度
087_李斯列传	侯服	侯服	603	词表匹配	侯服	,盖%六世%矣。今诸侯服&秦&,譬若郡县。夫	制度
087_李斯列传	万世	万世	652	词表匹配	万世	帝业,为天下一统,此万世之一时也。今怠而不急	时间
087_李斯列传	千里	千里	1068	词表匹配	千里	&、&魏&之师,举地千里,至今治彊。$@惠王	时间
087_李斯列传	六国	六国	1154	词表匹配	六国	险,割膏腴之壤,遂散六国之从,使之西面事&秦	制度
087_李斯列传	无彊	无彊	1275	词表匹配	无彊	国无富利之实而&秦&无彊大之名也。↵↵[4.	官职
087_李斯列传	出於	出於	1487	词表匹配	出於	陈娱心意说耳目者,必出於&秦&然後可,则是*	人名
087_李斯列传	而取	而取	1644	词表匹配	而取	&&卫&,退弹*筝*而取*昭**虞*,若是者	器物
087_李斯列传	四时	四时	1831	词表匹配	四时	地无四方,民无异国,四时充美,〚鬼神〛降福,	时间
087_李斯列传	李斯	李斯	1995	词表匹配	李斯	。↵↵## [5] 李斯为相↵↵[5.1] 	人名
087_李斯列传	功臣	功臣	2102	词表匹配	功臣	之封,不立子弟为王,功臣为诸侯者,使後无战攻	官职
087_李斯列传	周青臣	周青臣	2169	词表匹配	周青臣	=,$博士$@仆射@周青臣@$等颂$@始皇@$	人名
087_李斯列传	秦始皇帝	始皇	2178	词表匹配	始皇	@周青臣@$等颂$@始皇@$威德。&齐&人@	人名
087_李斯列传	淳于越	淳于越	2190	词表匹配	淳于越	@$威德。&齐&人@淳于越@进谏曰:"臣闻之,	人名
087_李斯列传	田常成子	田常	2244	词表匹配	田常	而子弟为匹夫,卒有@田常@、^六卿^之患,臣	人名
087_李斯列传	周青臣	青臣	2283	词表匹配	青臣	久者,非所闻也。今@青臣@等又面谀以重陛下过	人名
087_李斯列传	秦始皇帝	始皇	2304	词表匹配	始皇	过,非忠臣也。"$@始皇@$下其议$丞相$。	人名
087_李斯列传	丞相	丞相	2312	词表匹配	丞相	$@始皇@$下其议$丞相$。↵↵[6.2] 	官职
087_李斯列传	文学	文学	2490	词表匹配	文学	下。禁之便。臣请诸有文学^诗书^百家语者,蠲	官职
087_李斯列传	卜筮	卜筮	2533	词表匹配	卜筮	旦^。所不去者,医药卜筮种〘树〙之书。若有欲	制度
087_李斯列传	巡狩	巡狩	2631	词表匹配	巡狩	遍天下。%明年%,又巡狩,外攘四夷,@斯@皆	制度
087_李斯列传	四夷	四夷	2636	词表匹配	四夷	明年%,又巡狩,外攘四夷,@斯@皆有力焉。↵	族群
087_李斯列传	李斯	李斯	2656	词表匹配	李斯	。↵↵## [7] 李斯极盛↵↵[7.1] 	人名
087_李斯列传	公主	公主	2692	词表匹配	公主	守$,诸男皆尚&秦&公主,女悉嫁&秦&诸公子	人名
087_李斯列传	秦始皇帝	始皇	2853	词表匹配	始皇	"↵↵## [8] 始皇崩,沙丘之谋↵↵[8	人名
087_李斯列传	沙丘之谋	沙丘之谋	2857	词表匹配	沙丘之谋	# [8] 始皇崩,沙丘之谋↵↵[8.1] $@	event
087_李斯列传	卫长子	长子	2947	词表匹配	长子	@$有%二十馀子%,长子$@扶苏@$以数直谏	人名
087_李斯列传	赵高	赵高	3222	词表匹配	赵高	。↵↵## [9] 赵高说李斯↵↵[9.1]	人名
087_李斯列传	李斯	李斯	3225	词表匹配	李斯	## [9] 赵高说李斯↵↵[9.1] @赵	人名
087_李斯列传	卫长子	长子	3279	词表匹配	长子	,无诏封王诸子而独赐长子书。长子至,即立为$	人名
087_李斯列传	卫长子	长子	3283	词表匹配	长子	王诸子而独赐长子书。长子至,即立为$皇帝$,	人名
087_李斯列传	社稷	社稷	3478	词表匹配	社稷	天下不服,身殆倾危,社稷不血食。"↵↵[9.	制度
