章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
092_淮阴侯列传	韩信	淮阴侯	6	词表匹配	淮阴侯	# 092 淮阴侯列传↵↵## 标题↵	人名
092_淮阴侯列传	数月	数月	118	词表匹配	数月	=南昌亭=长$寄食，数月，$亭长$妻患之，乃	时间
092_淮阴侯列传	周哀王	哀王	237	词表匹配	哀王	"大丈夫不能自食，吾哀王孙而进食，岂望报乎！	人名
092_淮阴侯列传	市人	市人	337	词表匹配	市人	，俛出袴下，蒲伏。一市人皆笑@信@，以为怯。	人名
092_淮阴侯列传	项羽	项羽	360	词表匹配	项羽	↵## [2] 投奔项羽与汉王↵↵[2.1]	人名
092_淮阴侯列传	汉高祖	汉王	363	词表匹配	汉王	 [2] 投奔项羽与汉王↵↵[2.1] 及@	人名
092_淮阴侯列传	戏下	戏下	394	词表匹配	戏下	信@杖*剑*从之，居戏下，无所知名。@项梁@	地名
092_淮阴侯列传	三人	三人	485	词表匹配	三人	坐^法^当斩，其辈十三人皆已斩，次至@信@，	时间
092_淮阴侯列传	萧何月下追韩信	萧何月下追韩信	587	词表匹配	萧何月下追韩信	。↵↵## [3] 萧何月下追韩信↵↵[3.1] @信	event
092_淮阴侯列传	将行	将行	626	词表匹配	将行	奇之。至=南郑=，诸将行道亡者数十人，@信@	官职
092_淮阴侯列传	数十人	数十人	631	词表匹配	数十人	南郑=，诸将行道亡者数十人，@信@度@何@等已	时间
092_淮阴侯列传	十数	十数	786	词表匹配	十数	复骂曰："诸将亡者以十数，公无所追；追@信@	时间
092_淮阴侯列传	斋戒	斋戒	1035	词表匹配	斋戒	王必欲拜之，择良日，斋戒，设*坛场*，具^礼	制度
092_淮阴侯列传	千人	千人	1287	词表匹配	千人	@项王@$喑噁叱咤，千人皆废，然不能任属贤将	时间
092_淮阴侯列传	而以	而以	1406	词表匹配	而以	背$@义帝@$之约，而以亲爱王，诸侯不平。诸	人名
092_淮阴侯列传	功臣	功臣	1529	词表匹配	功臣	所不诛！以天下城邑封功臣，何所不服！以义兵从	官职
092_淮阴侯列传	二十馀万	二十馀万	1611	词表匹配	二十馀万	王@$诈阬&秦&降卒二十馀万，唯独@邯@、@欣@	时间
092_淮阴侯列传	三人	三人	1639	词表匹配	三人	得脱，&秦&父兄怨此三人，痛入骨髓。今&楚&	时间
092_淮阴侯列传	齐威王	威王	1653	词表匹配	威王	入骨髓。今&楚&彊以威王此三人，&秦&民莫爱	人名
092_淮阴侯列传	三人	三人	1656	词表匹配	三人	。今&楚&彊以威王此三人，&秦&民莫爱也。大	时间
092_淮阴侯列传	三章	三章	1701	词表匹配	三章	与&秦&民约，^法^三章耳，&秦&民无不欲得	时间
092_淮阴侯列传	三秦	三秦	1830	词表匹配	三秦	↵## [5] 平定三秦与河北↵↵[5.1]	地名
092_淮阴侯列传	河北	河北	1833	词表匹配	河北	 [5] 平定三秦与河北↵↵[5.1] %八	地名
092_淮阴侯列传	数万	数万	2339	词表匹配	数万	@信@与@张耳@以兵数万，欲东下=井陉=击&	时间
092_淮阴侯列传	千里	千里	2484	词表匹配	千里	斗，其锋不可当。臣闻千里餽粮，士有饥色，樵苏	时间
092_淮阴侯列传	数百里	数百里	2529	词表匹配	数百里	，*骑*不得成列，行数百里，其势粮食必在其後。	时间
092_淮阴侯列传	三万人	三万人	2549	词表匹配	三万人	其後。原足下假臣奇兵三万人，从间道绝其辎重；足	时间
092_淮阴侯列传	戏下	戏下	2613	词表匹配	戏下	%，而两将之头可致於戏下。原君留意臣之计。否	地名
092_淮阴侯列传	儒者	儒者	2643	词表匹配	儒者	。"$@成安君@$，儒者也，常称义兵不用诈谋	制度
092_淮阴侯列传	数万	数万	2683	词表匹配	数万	则战。今@韩信@兵号数万，其实不过数千。能千	时间
092_淮阴侯列传	数千	数千	2690	词表匹配	数千	@兵号数万，其实不过数千。能千里而袭我，亦已	时间
092_淮阴侯列传	千里	千里	2694	词表匹配	千里	万，其实不过数千。能千里而袭我，亦已罢极。今	时间
092_淮阴侯列传	三十里	三十里	2802	词表匹配	三十里	遂下。未至=井陉口=三十里，止舍。夜半传发，选	时间
092_淮阴侯列传	夜半	夜半	2809	词表匹配	夜半	陉口=三十里，止舍。夜半传发，选轻*骑*二千	时间
092_淮阴侯列传	千人	千人	2820	词表匹配	千人	半传发，选轻*骑*二千人，人持一赤*帜*，从	时间
092_淮阴侯列传	今日	今日	2898	词表匹配	今日	$裨将$传飧，曰："今日破&赵&会食！"诸将	时间
092_淮阴侯列传	万人	万人	2975	词表匹配	万人	险而还。"@信@乃使万人先行，出，背*水*陈	时间
092_淮阴侯列传	上军	上军	3058	词表匹配	上军	弃*鼓旗*，走*水*上军。*水*上军开入之，	官职
092_淮阴侯列传	上军	上军	3064	词表匹配	上军	走*水*上军。*水*上军开入之，复疾战。&赵	官职
092_淮阴侯列传	上军	上军	3114	词表匹配	上军	、@张耳@已入*水*上军，军皆殊死战，不可败	官职
092_淮阴侯列传	戏下	戏下	3339	词表匹配	戏下	缚$@广武君@$而致戏下者，@信@乃解其缚，	地名
092_淮阴侯列传	市人	市人	3507	词表匹配	市人	大夫$也，此所谓'驱市人而战之'，其势非置之	人名
092_淮阴侯列传	广武君	广武君	3573	词表匹配	广武君	"↵↵## [7] 广武君献策↵↵[7.1] 	人名
092_淮阴侯列传	十万众	十万众	3939	词表匹配	十万众	=，不终朝破&赵&二十万众，诛$@成安君@$。	时间
092_淮阴侯列传	而以	而以	4126	词表匹配	而以	善用兵者不以短击长，而以长击短。"@韩信@曰	人名
092_淮阴侯列传	百里	百里	4181	词表匹配	百里	兵，镇&赵&抚其孤，百里之内，*牛酒*日至，	人名
092_淮阴侯列传	两人	两人	4650	词表匹配	两人	大惊。$@汉王@$夺两人军，即令@张耳@备守	时间
092_淮阴侯列传	七十馀城	七十馀城	4818	词表匹配	七十馀城	寸之*舌*，下&齐&七十馀城，将军将数万众，岁馀	时间
092_淮阴侯列传	数万	数万	4826	词表匹配	数万	齐&七十馀城，将军将数万众，岁馀乃下&赵&五	时间
092_淮阴侯列传	岁馀	岁馀	4830	词表匹配	岁馀	馀城，将军将数万众，岁馀乃下&赵&五十馀，为	时间
092_淮阴侯列传	五十馀	五十馀	4837	词表匹配	五十馀	万众，岁馀乃下&赵&五十馀，为将%数岁%，反不	时间
092_淮阴侯列传	二千里	二千里	5122	词表匹配	二千里	必反&汉&。&汉&兵二千里客居，&齐&城皆反之	时间
092_淮阴侯列传	万馀	万馀	5231	词表匹配	万馀	。@韩信@乃夜令人为万馀*囊*，满盛*沙*，	时间
092_淮阴侯列传	齐王	齐王	5387	词表匹配	齐王	## [9] 自请为齐王↵↵[9.1] &汉	人名
092_淮阴侯列传	南边	南边	5439	词表匹配	南边	诈多变，反覆之国也，南边&楚&，不为假王以镇	地名
092_淮阴侯列传	假王	假王	5447	词表匹配	假王	也，南边&楚&，不为假王以镇之，其势不定。原	官职
092_淮阴侯列传	假王	假王	5460	词表匹配	假王	镇之，其势不定。原为假王便。"当是时，&楚&	官职
092_淮阴侯列传	附耳	附耳	5553	词表匹配	附耳	蹑$@汉王@$足，因附耳语曰："&汉&方不利	天文
092_淮阴侯列传	武涉	武涉	5669	词表匹配	武涉	↵↵## [10] 武涉与蒯通劝信↵↵[10	人名
092_淮阴侯列传	蒯通	蒯通	5672	词表匹配	蒯通	# [10] 武涉与蒯通劝信↵↵[10.1]	人名
092_淮阴侯列传	今日	今日	5990	词表匹配	今日	@$胜。$@项王@$今日亡，则次取足下。足下	时间
092_淮阴侯列传	数万	数万	6131	词表匹配	数万	上将军$$印$，予我数万众，解*衣**衣*我	时间
092_淮阴侯列传	夫人	夫人	6162	词表匹配	夫人	用，故吾得以至於此。夫人深亲信我，我倍之不祥	人名
