章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
094_田儋列传	田儋	田儋	6	词表匹配	田儋	# 094_田儋列传↵↵## 田儋杀	人名
094_田儋列传	田儋	田儋	15	词表匹配	田儋	_田儋列传↵↵## 田儋杀令立齐↵↵[0] 	人名
094_田儋列传	田荣	田荣	256	词表匹配	田荣	&齐&地。↵↵## 田荣拒救立市↵↵[3] 	人名
094_田儋列传	项羽分封三齐	项羽分封三齐	928	词表匹配	项羽分封三齐	@田荣@。↵↵## 项羽分封三齐↵↵[7] @项羽@	event
094_田儋列传	二人	二人	1149	词表匹配	二人	馀@亦失职，不得王：二人俱怨@项王@。↵↵#	时间
094_田儋列传	田荣并三齐	田荣并三齐	1163	词表匹配	田荣并三齐	@项王@。↵↵## 田荣并三齐↵↵[8] @顼王@	event
094_田儋列传	数万人	数万人	1450	词表匹配	数万人	@，收&齐&散兵，得数万人，反击@项羽@於=城	时间
094_田儋列传	韩信	韩信	1582	词表匹配	韩信	於$相$。↵↵## 韩信平齐↵↵[10] @	人名
094_田儋列传	三年	三年	1600	词表匹配	三年	0] @横@定&齐&三年，&汉&王使@郦生@	时间
094_田儋列传	假王	假王	2080	词表匹配	假王	齐&，乞自立为&齐&假王，&汉&因而立之。↵	官职
094_田儋列传	田横	田横	2096	词表匹配	田横	因而立之。↵↵## 田横入海称义↵↵[11]	人名
094_田儋列传	岁馀	岁馀	2110	词表匹配	岁馀	称义↵↵[11] 後岁馀，&汉&灭@项籍@，	时间
094_田儋列传	皇帝	皇帝	2128	词表匹配	皇帝	项籍@，&汉&王立为皇帝，以@彭越@为&梁&	官职
094_田儋列传	百馀人	百馀人	2155	词表匹配	百馀人	@惧诛，而与其徒属五百馀人入海，居岛中。@高帝	时间
094_田儋列传	二人	二人	2376	词表匹配	二人	。"@田横@乃与其客二人乘传诣=雒阳=。↵↵	时间
094_田儋列传	三十里	三十里	2395	词表匹配	三十里	。↵↵[12] 未至三十里，至=尸乡=厩置，@	时间
094_田儋列传	人臣	人臣	2416	词表匹配	人臣	，@横@谢使者曰："人臣见天子当洗沐。"止留	官职
094_田儋列传	天子	天子	2419	词表匹配	天子	@谢使者曰："人臣见天子当洗沐。"止留。谓其	官职
094_田儋列传	天子	天子	2456	词表匹配	天子	面称孤，今&汉&王为天子，而@横@乃为亡虏而	官职
094_田儋列传	天子	天子	2500	词表匹配	天子	并肩而事其主，纵彼畏天子之诏，不敢动我，我独	官职
094_田儋列传	三十里	三十里	2553	词表匹配	三十里	洛阳=，今斩吾头，驰三十里间，形容尚未能败，犹	时间
094_田儋列传	三人	三人	2614	词表匹配	三人	也夫！起自布衣，兄弟三人更王，岂不贤乎哉！"	时间
094_田儋列传	千人	千人	2645	词表匹配	千人	客为$都尉$，发卒二千人，以王者礼葬@田横@	时间
094_田儋列传	司马迁	太史公	2756	词表匹配	太史公	能得士也。↵↵## 太史公论田氏↵↵[14] 	人名
094_田儋列传	田氏	田氏	2760	词表匹配	田氏	。↵↵## 太史公论田氏↵↵[14] @太史	人名
094_田儋列传	两人	两人	2799	词表匹配	两人	骄$淮阴$，其卒亡此两人！@蒯通@者，善为长	时间
094_田儋列传	战国	战国	2815	词表匹配	战国	@者，善为长短说，论战国之权变，为八十一首。	朝代
094_田儋列传	两人	两人	2872	词表匹配	两人	。已而@项羽@欲封此两人，两人终不肯受，亡去	时间
094_田儋列传	两人	两人	2875	词表匹配	两人	@项羽@欲封此两人，两人终不肯受，亡去。@田	时间
094_田儋列传	六国	六国	2949	词表匹配	六国	项&之际，天下交兵。六国树党，自置豪英。@田	制度
