章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
095_樊郦滕灌列传	樊哙	樊哙	17	词表匹配	樊哙	郦滕灌列传↵↵## 樊哙从沛起义↵↵[0] 	人名
095_樊郦滕灌列传	舍人	舍人	116	词表匹配	舍人	@沛公@，以@哙@为舍人。从攻=胡陵=、=方	人名
095_樊郦滕灌列传	十人	十人	519	词表匹配	十人	斩首二十四级，捕虏四十人，赐重封。攻=武关=	时间
095_樊郦滕灌列传	鸿门	鸿门	571	词表匹配	鸿门	千九百人。↵↵## 鸿门闯帐救主↵↵[3] 	地名
095_樊郦滕灌列传	百馀	百馀	605	词表匹配	百馀	@沛公@。@沛公@从百馀骑因@项伯@面见@项	时间
095_樊郦滕灌列传	参乘	参乘	754	词表匹配	参乘	张良@曰："@沛公@参乘@樊哙@。"@项羽@	官职
095_樊郦滕灌列传	今日	今日	860	词表匹配	今日	上=，以待大王。大王今日至，听小人之言，与@	时间
095_樊郦滕灌列传	明日	明日	1018	词表匹配	明日	事几殆。↵↵[4] 明日，@项羽@入屠=咸阳	时间
095_樊郦滕灌列传	韩列侯	列侯	1053	词表匹配	列侯	&汉&王赐@哙@爵为列侯，号$临武侯$。迁为	人名
095_樊郦滕灌列传	樊哙	樊哙	1082	词表匹配	樊哙	=汉中=。↵↵## 樊哙平定四方↵↵[5] 	人名
095_樊郦滕灌列传	车骑	车骑	1117	词表匹配	车骑	=白水=北，&雍&轻车骑於&雍&南，破之。从	官职
095_樊郦滕灌列传	县令	县令	1161	词表匹配	县令	，攻城，先登陷阵，斩县令丞各一人，首十一级，	官职
095_樊郦滕灌列传	十人	十人	1175	词表匹配	十人	一人，首十一级，虏二十人，迁$郎中骑将$。从	时间
095_樊郦滕灌列传	车骑	车骑	1191	词表匹配	车骑	中骑将$。从击&秦&车骑=壤东=，卻敌，迁为	官职
095_樊郦滕灌列传	千户	千户	1351	词表匹配	千户	阳=，益食=平阴=二千户，以将军守=广武=。	时间
095_樊郦滕灌列传	一岁	一岁	1363	词表匹配	一岁	，以将军守=广武=。一岁，@项羽@引而东。从	时间
095_樊郦滕灌列传	四千人	四千人	1401	词表匹配	四千人	虏&楚&$周将军$卒四千人。围@项籍@於=陈=	时间
095_樊郦滕灌列传	韩列侯	列侯	1520	词表匹配	列侯	@，定&楚&。更赐爵列侯，与诸侯剖符，世世勿	人名
095_樊郦滕灌列传	剖符	剖符	1526	词表匹配	剖符	。更赐爵列侯，与诸侯剖符，世世勿绝，食=舞阳	制度
095_樊郦滕灌列传	别将	别将	1693	词表匹配	别将	、=广昌=。破@豨@别将~胡~人@王黄@军於	人名
095_樊郦滕灌列传	大将	大将	1775	词表匹配	大将	$、$守$$孙奋$、大将@王黄@、将军、$太	官职
095_樊郦滕灌列传	十人	十人	1794	词表匹配	十人	、$太仆$$解福$等十人。与诸将共定&代&乡	时间
