章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
095_樊郦滕灌列传	斩首	斩首	184	词表匹配	斩首	@战=砀=东，卻敌，斩首十五级，赐爵^国大夫	刑法
095_樊郦滕灌列传	赐爵	赐爵	190	词表匹配	赐爵	，卻敌，斩首十五级，赐爵^国大夫^。常从，@	礼仪
095_樊郦滕灌列传	斩首	斩首	221	词表匹配	斩首	=濮阳=，攻城先登，斩首二十三级，赐爵^列大	刑法
095_樊郦滕灌列传	赐爵	赐爵	228	词表匹配	赐爵	先登，斩首二十三级，赐爵^列大夫^。复常从，	礼仪
095_樊郦滕灌列传	斩首	斩首	263	词表匹配	斩首	牖=，破@李由@军，斩首十六级，赐^上间爵^	刑法
095_樊郦滕灌列传	斩首	斩首	296	词表匹配	斩首	$於=成武=，卻敌，斩首十四级，捕虏十一人，	刑法
095_樊郦滕灌列传	赐爵	赐爵	308	词表匹配	赐爵	十四级，捕虏十一人，赐爵^五大夫^。从击&秦	礼仪
095_樊郦滕灌列传	赐爵	赐爵	381	词表匹配	赐爵	八级，捕虏二十七人，赐爵^卿^。从攻破@杨熊	礼仪
095_樊郦滕灌列传	斩首	斩首	410	词表匹配	斩首	。攻=宛陵=，先登，斩首八级，捕虏四十四人，	刑法
095_樊郦滕灌列传	赐爵	赐爵	422	词表匹配	赐爵	八级，捕虏四十四人，赐爵封号$贤成君$。从攻	礼仪
095_樊郦滕灌列传	斩首	斩首	509	词表匹配	斩首	西至=郦=，以卻敌，斩首二十四级，捕虏四十人	刑法
095_樊郦滕灌列传	天下	天下	880	词表匹配	天下	与@沛公@有隙，臣恐天下解，心疑大王也。"@	思想
095_樊郦滕灌列传	赐食	赐食	1246	词表匹配	赐食	=，最。至=栎阳=，赐食邑=杜=之=樊乡=。	礼仪
095_樊郦滕灌列传	赐爵	赐爵	1518	词表匹配	赐爵	@信@，定&楚&。更赐爵列侯，与诸侯剖符，世	礼仪
095_樊郦滕灌列传	斩首	斩首	1888	词表匹配	斩首	阳=五千四百户。从，斩首百七十六级，虏二百八	刑法
095_樊郦滕灌列传	天下	天下	2105	词表匹配	天下	等起=丰==沛=，定天下，何其壮也！今天下已	思想
095_樊郦滕灌列传	天下	天下	2114	词表匹配	天下	定天下，何其壮也！今天下已定，又何惫也！且陛	思想
095_樊郦滕灌列传	诛灭	诛灭	2254	词表匹配	诛灭	驾，则@哙@欲以兵尽诛灭@戚@氏、&赵&王@	刑法
095_樊郦滕灌列传	赐食	赐食	2879	词表匹配	赐食	苏駔@军於=泥阳=。赐食邑=武成=六千户。以	礼仪
095_樊郦滕灌列传	赐爵	赐爵	3046	词表匹配	赐爵	敌，迁为$右丞相$，赐爵列侯，与诸侯剖符，世	礼仪
095_樊郦滕灌列传	天下	天下	3492	词表匹配	天下	侯$。子@寄@代侯。天下称@郦况@卖交也。↵	思想
095_樊郦滕灌列传	坐法	坐法	3714	词表匹配	坐法	根@立，为$太常$，坐法，国除。↵↵## 夏	刑法
095_樊郦滕灌列传	赐爵	赐爵	4050	词表匹配	赐爵	以*兵车*趣攻战疾，赐爵^执帛^。常以$太仆	礼仪
095_樊郦滕灌列传	赐爵	赐爵	4096	词表匹配	赐爵	车*趣攻战疾，破之，赐爵^执珪^。复常奉车从	礼仪
095_樊郦滕灌列传	赐爵	赐爵	4180	词表匹配	赐爵	以*兵车*趣攻战疾，赐爵封转为$滕公$。因复	礼仪
095_樊郦滕灌列传	赐爵	赐爵	5210	词表匹配	赐爵	军於=扛里=，疾斗，赐爵^七大夫^。从攻&秦	礼仪
095_樊郦滕灌列传	赐爵	赐爵	5243	词表匹配	赐爵	、=曲遇=，战疾力，赐爵^执帛^，号$宣陵君	礼仪
095_樊郦滕灌列传	赐爵	赐爵	5337	词表匹配	赐爵	，疾力，至=霸上=，赐爵^执珪^，号$昌文君	礼仪
095_樊郦滕灌列传	赐爵	赐爵	6592	词表匹配	赐爵	五人共斩@项籍@，皆赐爵列侯。降左右$司马$	礼仪
095_樊郦滕灌列传	圣贤	圣贤	7859	词表匹配	圣贤	此云。↵↵[35] 圣贤影响，云蒸龙变。屠〘	思想
