章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
096_张丞相列传	丞相	丞相	7	词表匹配	丞相	# 096 张丞相列传↵↵## 标题↵	官职
096_张丞相列传	张苍	张苍	37	词表匹配	张苍	传↵↵## [1] 张苍早年经历↵↵[1.1	人名
096_张丞相列传	周昌	周昌	591	词表匹配	周昌	。↵↵## [2] 周昌兄弟↵↵[2.1] 	人名
096_张丞相列传	赵尧	赵尧	1257	词表匹配	赵尧	"↵↵## [3] 赵尧进言↵↵[3.1] 	人名
096_张丞相列传	任敖	任敖	2225	词表匹配	任敖	。↵↵## [4] 任敖事迹↵↵[4.1] 	人名
096_张丞相列传	张苍	张苍	2546	词表匹配	张苍	。↵↵## [5] 张苍为相↵↵[5.1] 	人名
096_张丞相列传	军吏	军吏	2592	词表匹配	军吏	，$将相$$公卿$皆军吏。@张苍@为$计相$	官职
096_张丞相列传	常先	常先	2830	词表匹配	常先	@为$丞相$，洗沐，常先朝@陵@夫人上*食*	人名
096_张丞相列传	夫人	夫人	2836	词表匹配	夫人	，洗沐，常先朝@陵@夫人上*食*，然后敢归家	人名
096_张丞相列传	下其议	下其议	2903	词表匹配	下其议	符有*黄龙*当见。诏下其议@张苍@，@张苍@以	官职
096_张丞相列传	制度	制度	2963	词表匹配	制度	士$，草^土德^之历制度，更%元年%。$@张	制度
096_张丞相列传	八尺馀	八尺馀	3134	词表匹配	八尺馀	及生@苍@，@苍@长八尺馀，为$侯$、$丞相$	时间
096_张丞相列传	六尺	六尺	3162	词表匹配	六尺	复长。及孙@类@，长六尺馀，坐^法^失侯。@	时间
096_张丞相列传	免相	免相	3177	词表匹配	免相	^法^失侯。@苍@之免相後，老，口中无齿，食	官职
096_张丞相列传	百有馀岁	百有馀岁	3218	词表匹配	百有馀岁	孕者不复幸。@苍@年百有馀岁而卒。↵↵## [6	时间
096_张丞相列传	申屠嘉	申屠嘉	3234	词表匹配	申屠嘉	。↵↵## [6] 申屠嘉事迹↵↵[6.1] 	人名
096_张丞相列传	二千石	二千石	3341	词表匹配	二千石	$%元年%，举故吏士二千石从$@高皇帝@$者，	官职
096_张丞相列传	免相	免相	3409	词表匹配	免相	御史大夫$。@张苍@免相，$@孝文帝@$欲用	官职
096_张丞相列传	小臣	小臣	3795	词表匹配	小臣	@$之朝廷也。@通@小臣，戏殿上，大不敬，当	官职
096_张丞相列传	张释之	释之	3876	词表匹配	释之	$曰："此吾弄臣，君释之。"@邓通@既至，为	人名
096_张丞相列传	宗庙	宗庙	4063	词表匹配	宗庙	此以^法^@错@擅穿宗庙垣为门，奏请诛@错@	制度
096_张丞相列传	庙垣	庙垣	4140	词表匹配	庙垣	曰："@错@所穿非真庙垣，乃外堧垣，故他官居	制度
096_张丞相列传	丞相	丞相	4302	词表匹配	丞相	↵## [7] 其他丞相简述↵↵[7.1] 	官职
096_张丞相列传	汉武帝	今上	4356	词表匹配	今上	舍@$为$丞相$。及今上时，$@柏至侯许昌@	人名
096_张丞相列传	司马迁	太史公	4454	词表匹配	太史公	。↵↵## [8] 太史公曰↵↵[8.1] $	人名
096_张丞相列传	文学	文学	4478	词表匹配	文学	史公$曰："@张苍@文学^律历^，为&汉&名	官职
