章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
096_张丞相列传	当斩	当斩	135	词表匹配	当斩	阳=。@苍@坐^法^当斩，解*衣*伏质，身长	刑法
096_张丞相列传	天下	天下	483	词表匹配	天下	时为^柱下史^，明习天下*图书*计籍。@苍@	思想
096_张丞相列传	朝见	朝见	2126	词表匹配	朝见	死。@周昌@因谢病不朝见，%三岁%而死。↵↵	礼仪
096_张丞相列传	天下	天下	2578	词表匹配	天下	@$%二十馀年%，会天下初定，$将相$$公卿	思想
096_张丞相列传	天下	天下	2703	词表匹配	天下	定^律令^。若百工，天下作程品。至於为$丞相	思想
096_张丞相列传	天下	天下	3441	词表匹配	天下	为$丞相$，曰："恐天下以吾私@广国@。"@	思想
096_张丞相列传	富贵	富贵	3635	词表匹配	富贵	"$陛下$爱幸臣，则富贵之；至於朝廷之^礼^	思想
096_张丞相列传	当斩	当斩	3806	词表匹配	当斩	臣，戏殿上，大不敬，当斩。吏今行斩之！"@通	刑法
096_张丞相列传	宗庙	宗庙	4063	词表匹配	宗庙	此以^法^@错@擅穿宗庙垣为门，奏请诛@错@	礼仪
096_张丞相列传	夺爵	夺爵	4853	词表匹配	夺爵	坐骑至庙，不敬，有诏夺爵一级，为$关内侯$，	刑法
096_张丞相列传	免罪	免罪	4997	词表匹配	免罪	赵@君，$丞相$奏以免罪，使人执$@魏@丞相	刑法
096_张丞相列传	夺爵	夺爵	5229	词表匹配	夺爵	坐骑至庙，不敬，有诏夺爵一级，为$关内侯$，	刑法
096_张丞相列传	夺爵	夺爵	5401	词表匹配	夺爵	坐骑至庙，不敬，有诏夺爵一级，失$列侯$，得	刑法
096_张丞相列传	赐爵	赐爵	5691	词表匹配	赐爵	女异路，狱中无重囚。赐爵$关内侯$，*黄金*	礼仪
096_张丞相列传	天下	天下	6589	词表匹配	天下	1] @张苍@主计，天下作程。↵@孙臣@始绌	思想
