章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
097_郦生陆贾列传	天下	天下	553	词表匹配	天下	@$骂曰："竖儒！夫天下同苦&秦&久矣，故诸	思想
097_郦生陆贾列传	天下	天下	735	词表匹配	天下	口者也。夫=陈留=，天下之旻，四通五达之郊也	思想
097_郦生陆贾列传	天下	天下	1093	词表匹配	天下	*为天。夫=敖仓=，天下转输久矣，臣闻其下乃	思想
097_郦生陆贾列传	天下	天下	1226	词表匹配	天下	耒*，工女下*机*，天下之心未有所定也。原足	思想
097_郦生陆贾列传	天下	天下	1305	词表匹配	天下	诸侯效实形制之势，则天下知所归矣。方今&燕&	思想
097_郦生陆贾列传	天下	天下	1479	词表匹配	天下	@齐王@$曰："王知天下之所归乎？"王曰："	思想
097_郦生陆贾列传	天下	天下	1501	词表匹配	天下	不知也。"曰："王知天下之所归，则&齐&国可	思想
097_郦生陆贾列传	天下	天下	1521	词表匹配	天下	国可得而有也；若不知天下之所归，即&齐&国未	思想
097_郦生陆贾列传	天下	天下	1548	词表匹配	天下	"$@齐王@$曰："天下何所归？"曰："归&	思想
097_郦生陆贾列传	天下	天下	1695	词表匹配	天下	$@义帝@$之处，收天下之兵，立诸侯之後。降	思想
097_郦生陆贾列传	天下	天下	1723	词表匹配	天下	，得赂即以分其士，与天下同其利，豪英贤才皆乐	思想
097_郦生陆贾列传	天下	天下	1855	词表匹配	天下	城得赂，积而不能赏：天下畔之，贤才怨之，而莫	思想
097_郦生陆贾列传	天下	天下	1872	词表匹配	天下	怨之，而莫为之用。故天下之士归於$@汉王@$	思想
097_郦生陆贾列传	天下	天下	2019	词表匹配	天下	阪，距=蜚狐=之口，天下後服者先亡矣。王疾先	思想
097_郦生陆贾列传	社稷	社稷	2043	词表匹配	社稷	@汉王@$，&齐&国社稷可得而保也；不下$@	礼仪
097_郦生陆贾列传	弃市	弃市	2394	词表匹配	弃市	@$取*百斤金*，当弃市，病死，国除也。↵↵	刑法
097_郦生陆贾列传	天下	天下	2447	词表匹配	天下	以客从$@高祖@$定天下，名为有口辩士，居左	思想
097_郦生陆贾列传	天下	天下	2703	词表匹配	天下	起&巴&&蜀&，鞭笞天下，劫略诸侯，遂诛$@	思想
097_郦生陆贾列传	天下	天下	2762	词表匹配	天下	王$王&南越&，不助天下诛暴逆，将相欲移兵而	思想
097_郦生陆贾列传	天下	天下	3022	词表匹配	天下	秦&，诛彊&楚&，为天下兴利除害，继〚五帝〛	思想
097_郦生陆贾列传	天下	天下	3060	词表匹配	天下	以亿计，地方万里，居天下之膏腴，人众*车轝*	思想
097_郦生陆贾列传	天地	天地	3084	词表匹配	天地	物殷富，政由一家，自天地剖泮未始有也。今王众	思想
097_郦生陆贾列传	天下	天下	3454	词表匹配	天下	@$。乡使&秦&已并天下，行^仁义^，法先圣	思想
097_郦生陆贾列传	天下	天下	3510	词表匹配	天下	试为我著&秦&所以失天下，吾所以得之者何，及	思想
097_郦生陆贾列传	富贵	富贵	4012	词表匹配	富贵	，食三万户侯，可谓极富贵无欲矣。然有忧念，不	思想
097_郦生陆贾列传	天下	天下	4062	词表匹配	天下	何？"@陆生@曰："天下安，注意相；天下危，	思想
097_郦生陆贾列传	天下	天下	4070	词表匹配	天下	："天下安，注意相；天下危，注意将。将相和调	思想
097_郦生陆贾列传	天下	天下	4092	词表匹配	天下	，则士务附；士务附，天下虽有变，即权不分。为	思想
097_郦生陆贾列传	社稷	社稷	4104	词表匹配	社稷	虽有变，即权不分。为社稷计，在两君掌握耳。臣	礼仪
097_郦生陆贾列传	天下	天下	5052	词表匹配	天下	"君所以得幸$帝$，天下莫不闻。今$@辟阳侯	思想
097_郦生陆贾列传	诸子	诸子	5421	词表匹配	诸子	@平原君@$欲自杀。诸子及吏皆曰："事未可知	思想
097_郦生陆贾列传	天下	天下	5630	词表匹配	天下	从者，原得望见，口画天下便事。"使者入通，$	思想
097_郦生陆贾列传	天下	天下	5705	词表匹配	天下	"为我谢之，言我方以天下为事，未暇见儒人也。	思想
097_郦生陆贾列传	天下	天下	5738	词表匹配	天下	公@$敬谢先生，方以天下为事，未暇见儒人也。	思想
097_郦生陆贾列传	天下	天下	5818	词表匹配	天下	走，复入报曰："客，天下壮士也，叱臣，臣恐，	思想
097_郦生陆贾列传	天下	天下	5945	词表匹配	天下	以事见，而曰'吾方以天下为事，未暇见儒人也'	思想
097_郦生陆贾列传	天下	天下	5963	词表匹配	天下	儒人也'。夫足下欲兴天下之大事而成天下之大功	思想
097_郦生陆贾列传	天下	天下	5970	词表匹配	天下	下欲兴天下之大事而成天下之大功，而以目皮相，	思想
097_郦生陆贾列传	天下	天下	5984	词表匹配	天下	功，而以目皮相，恐失天下之能士。且吾度足下之	思想
097_郦生陆贾列传	天下	天下	6010	词表匹配	天下	，勇又不如吾。若欲就天下而不相见，窃为足下失	思想
097_郦生陆贾列传	天下	天下	6062	词表匹配	天下	乃延而坐之，问所以取天下者。@郦生@曰："夫	思想
097_郦生陆贾列传	天下	天下	6095	词表匹配	天下	陈留=。=陈留=者，天下之据旻也，兵之会地也	思想
097_郦生陆贾列传	天下	天下	6181	词表匹配	天下	，而食其积*粟*，招天下之从兵；从兵已成，足	思想
097_郦生陆贾列传	天下	天下	6196	词表匹配	天下	；从兵已成，足下横行天下，莫能有害足下者矣。	思想
097_郦生陆贾列传	天下	天下	6260	词表匹配	天下	："夫&秦&为无道而天下畔之，今足下与天下从	思想
097_郦生陆贾列传	天下	天下	6269	词表匹配	天下	而天下畔之，今足下与天下从则可以成大功。今独	思想
