章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
098_傅靳蒯成列传	蒯成侯	蒯成	8	词表匹配	蒯成	# 098 傅靳蒯成列传↵↵## 标题↵	人名
098_傅靳蒯成列传	剖符	剖符	332	词表匹配	剖符	食邑。因定&齐&地，剖符世世勿绝，封为$@阳	制度
098_傅靳蒯成列传	靳歙	靳歙	567	词表匹配	靳歙	。↵↵## [2] 靳歙事迹↵↵[2.1] 	人名
098_傅靳蒯成列传	东北	东北	629	词表匹配	东北	军=亳=南、=开封=东北，斩$骑千人将$一人	地名
098_傅靳蒯成列传	三人	三人	652	词表匹配	三人	首五十七级，捕虏七十三人，赐爵封号$@临平君	时间
098_傅靳蒯成列传	二人	二人	681	词表匹配	二人	田=北，斩$车司马$二人，$骑长$一人，首二	时间
098_傅靳蒯成列传	十二人	十二人	807	词表匹配	十二人	候$各四人，$骑长$十二人。从东击&楚&，至=	时间
098_傅靳蒯成列传	别将	别将	853	词表匹配	别将	武@等。略=梁=地，别将击@邢说@军=菑=南	人名
098_傅靳蒯成列传	都尉	都尉	875	词表匹配	都尉	，破之，身得@说@@都尉$二人，$司马$、$	官职
098_傅靳蒯成列传	司马	司马	882	词表匹配	司马	说@@都尉$二人，$司马$、$候$十二人，降	人名
098_傅靳蒯成列传	十二人	十二人	889	词表匹配	十二人	人，$司马$、$候$十二人，降吏卒四千一百八十	时间
098_傅靳蒯成列传	十人	十人	901	词表匹配	十人	人，降吏卒四千一百八十人。破&楚&军=荥阳=	时间
098_傅靳蒯成列传	二人	二人	970	词表匹配	二人	之，所将卒得$骑将$二人，*车马*二百五十匹	时间
098_傅靳蒯成列传	五十匹	五十匹	979	词表匹配	五十匹	$二人，*车马*二百五十匹。从攻=安阳=以东，	时间
098_傅靳蒯成列传	二人	二人	1017	词表匹配	二人	&军，得其将$司马$二人，$候$四人，降吏卒	时间
098_傅靳蒯成列传	四百人	四百人	1031	词表匹配	四百人	候$四人，降吏卒二千四百人。从攻下=邯郸=。别	时间
098_傅靳蒯成列传	剖符	剖符	1282	词表匹配	剖符	，取$@楚王信@$，剖符世世勿绝，定食四千六	制度
098_傅靳蒯成列传	十二人	十二人	1439	词表匹配	十二人	凡斩首九十级，虏百三十二人；别破军十四，降城五	时间
098_傅靳蒯成列传	二千石	二千石	1478	词表匹配	二千石	王、$柱国$各一人，二千石以下至五百石三十九人	官职
098_傅靳蒯成列传	百石	百石	1485	词表匹配	百石	一人，二千石以下至五百石三十九人。↵↵[2.	官职
098_傅靳蒯成列传	周緤	周緤	1573	词表匹配	周緤	。↵↵## [3] 周緤事迹↵↵[3.1] 	人名
098_傅靳蒯成列传	参乘	参乘	1615	词表匹配	参乘	氏。常为$@高祖@$参乘，以$舍人$从起=沛	官职
098_傅靳蒯成列传	汉武帝	今上	1795	词表匹配	今上	攻破天下，未尝自行。今上常自行，是为无人可使	人名
098_傅靳蒯成列传	司马迁	太史公	1936	词表匹配	太史公	。↵↵## [4] 太史公曰↵↵[4.1] $	人名
098_傅靳蒯成列传	十数	十数	2009	词表匹配	十数	诛杀名将，破军降城以十数，未尝困辱，此亦天授	时间
098_傅靳蒯成列传	人臣	人臣	2156	词表匹配	人臣	险不乱。↵主上称忠，人臣鸧腕。↵	官职
