章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
102_张释之冯唐列传	天下	天下	574	词表匹配	天下	陵迟而至於@二世@，天下土崩。今陛下以$啬夫	思想
102_张释之冯唐列传	天下	天下	596	词表匹配	天下	$口辩而超迁之，臣恐天下随风靡靡，争为口辩而	思想
102_张释之冯唐列传	天下	天下	1263	词表匹配	天下	@曰："法者天子所与天下公共也。今法如此而更	思想
102_张释之冯唐列传	天下	天下	1312	词表匹配	天下	$廷尉$，$廷尉$，天下之平也，一倾而天下用	思想
102_张释之冯唐列传	天下	天下	1321	词表匹配	天下	，天下之平也，一倾而天下用法皆为轻重，民安所	思想
102_张释之冯唐列传	天下	天下	1633	词表匹配	天下	亲友。@张廷尉@由此天下称之。↵↵### [	思想
102_张释之冯唐列传	天下	天下	1872	词表匹配	天下	尉@。@张廷尉@方今天下名臣，吾故聊辱$廷尉	思想
102_张释之冯唐列传	斩首	斩首	2898	词表匹配	斩首	籍伍符^。终日力战，斩首捕虏，上功莫府，一言	刑法
102_张释之冯唐列传	死罪	死罪	3016	词表匹配	死罪	也。臣诚愚，触忌讳，死罪死罪！"@文帝@说。	刑法
102_张释之冯唐列传	死罪	死罪	3018	词表匹配	死罪	臣诚愚，触忌讳，死罪死罪！"@文帝@说。是日	刑法
102_张释之冯唐列传	王道	王道	3272	词表匹配	王道	^。书曰"不偏不党，王道荡荡；不党不偏，王道	思想
102_张释之冯唐列传	王道	王道	3282	词表匹配	王道	王道荡荡；不党不偏，王道便便"。@张季@、@	思想
