章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
103_万石张叔列传	诸子	诸子	610	词表匹配	诸子	便坐，对案不食。然后诸子相责，因长老肉袒固谢	思想
103_万石张叔列传	赐食	赐食	659	词表匹配	赐食	僮仆如也，唯谨。上时赐食於家，必稽首俯伏而食	礼仪
103_万石张叔列传	诸子	诸子	742	词表匹配	诸子	### [1.4] 诸子显达↵↵%建元二年%	思想
103_万石张叔列传	获罪	获罪	767	词表匹配	获罪	中令$@王臧@以文学获罪。$皇太后$以为儒者	刑法
103_万石张叔列传	诸子	诸子	1102	词表匹配	诸子	谢罢@庆@。@庆@及诸子弟入里门，趋至家。↵	思想
103_万石张叔列传	诸子	诸子	1180	词表匹配	诸子	岁馀%，@建@亦死。诸子孙咸孝，然@建@最甚	思想
103_万石张叔列传	诸子	诸子	1382	词表匹配	诸子	%*马*。"@庆@於诸子中最为简易矣，然犹如	思想
103_万石张叔列传	巡狩	巡狩	1633	词表匹配	巡狩	宛~，中国多事。天子巡狩海内，修上古神祠，^	礼仪
103_万石张叔列传	礼乐	礼乐	1650	词表匹配	礼乐	古神祠，^封禅^，兴礼乐。公家用少，@桑弘羊	礼仪
103_万石张叔列传	赎罪	赎罪	1760	词表匹配	赎罪	，不能服，反受其过，赎罪。↵↵### [2.	刑法
103_万石张叔列传	坐法	坐法	2110	词表匹配	坐法	代侯。後为$太常$，坐法当死，赎免为庶人。@	刑法
103_万石张叔列传	当死	当死	2112	词表匹配	当死	。後为$太常$，坐法当死，赎免为庶人。@庆@	刑法
103_万石张叔列传	诸子	诸子	2131	词表匹配	诸子	@庆@方为$丞相$，诸子孙为吏更至^二千石^	思想
103_万石张叔列传	死罪	死罪	2457	词表匹配	死罪	来，何也？"对曰："死罪，实病！"上赐之*剑	刑法
103_万石张叔列传	老子	老子	3264	词表匹配	老子	## [4.3] 学老子言与后代↵↵@不疑@	典籍
103_万石张叔列传	君子	君子	3987	词表匹配	君子	曰：@仲尼@有言曰"君子欲讷於言而敏於行"，	思想
103_万石张叔列传	君子	君子	4047	词表匹配	君子	巧，而@周文@处讇，君子讥之，为其近於佞也。	思想
103_万石张叔列传	君子	君子	4065	词表匹配	君子	於佞也。然斯可谓笃行君子矣！↵↵## [8]	思想
