章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
105_扁鹊仓公列传	扁鹊	扁鹊	2	词表匹配	扁鹊	# 扁鹊仓公列传↵↵## [	人名
105_扁鹊仓公列传	仓公	仓公	4	词表匹配	仓公	# 扁鹊仓公列传↵↵## [0]	人名
105_扁鹊仓公列传	大夫	大夫	350	词表匹配	大夫	↵当@晋昭公@时，诸大夫彊而公族弱，@赵简子	官职
105_扁鹊仓公列传	公族	公族	354	词表匹配	公族	昭公@时，诸大夫彊而公族弱，@赵简子@为$大	制度
105_扁鹊仓公列传	大夫	大夫	387	词表匹配	大夫	疾，%五日%不知人，大夫皆惧，於是召@扁鹊@	官职
105_扁鹊仓公列传	大夫	大夫	636	词表匹配	大夫	半，@简子@寤，语诸大夫曰："我之帝所甚乐，	官职
105_扁鹊仓公列传	百神	百神	649	词表匹配	百神	："我之帝所甚乐，与百神游於钧天，广乐%九%	神话
105_扁鹊仓公列传	钧天	钧天	653	词表匹配	钧天	帝所甚乐，与百神游於钧天，广乐%九%奏万舞，	神话
105_扁鹊仓公列传	广乐	广乐	656	词表匹配	广乐	乐，与百神游於钧天，广乐%九%奏万舞，不类^	神话
105_扁鹊仓公列传	万舞	万舞	662	词表匹配	万舞	於钧天，广乐%九%奏万舞，不类^三代^之乐，	神话
105_扁鹊仓公列传	二笥	二笥	731	词表匹配	二笥	罴〙死。帝甚喜，赐我二笥，皆有副。吾见兒在帝	器物
105_扁鹊仓公列传	终日	终日	1249	词表匹配	终日	不可以告咳婴之兒。"终日，@扁鹊@仰天叹曰：	时间
105_扁鹊仓公列传	千里	千里	1335	词表匹配	千里	。病应见於大表，不出千里，决者至众，不可曲止	时间
105_扁鹊仓公列传	於中	於中	1446	词表匹配	於中	之大惊，出见@扁鹊@於中阙，曰："窃闻高义之	地名
105_扁鹊仓公列传	日久	日久	1458	词表匹配	日久	阙，曰："窃闻高义之日久矣，然未尝得拜谒於前	时间
105_扁鹊仓公列传	阴阳	阴阳	1806	词表匹配	阴阳	。$太子$起坐。更適阴阳，但服汤%二旬%而复	制度
105_扁鹊仓公列传	齐桓侯	齐桓侯	1882	词表匹配	齐桓侯	### [1.4] 齐桓侯讳疾忌医↵↵@扁鹊@	人名
105_扁鹊仓公列传	司命	司命	2160	词表匹配	司命	所及也；其在骨髓，虽司命无柰之何。今在骨髓，	官职
105_扁鹊仓公列传	阴阳	阴阳	2319	词表匹配	阴阳	食不能適，三不治也；阴阳并，藏气不定，四不治	制度
105_扁鹊仓公列传	老人	老人	2426	词表匹配	老人	雒阳=，闻~周~人爱老人，即为耳目痹医；来入	天文
