章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
105_扁鹊仓公列传	阴阳	阴阳	1806	词表匹配	阴阳	。$太子$起坐。更適阴阳，但服汤%二旬%而复	思想
105_扁鹊仓公列传	天下	天下	1821	词表匹配	天下	汤%二旬%而复故。故天下尽以@扁鹊@为能生死	思想
105_扁鹊仓公列传	朝见	朝见	1909	词表匹配	朝见	，@齐桓侯@客之。入朝见，曰："君有疾在腠理	礼仪
105_扁鹊仓公列传	圣人	圣人	2235	词表匹配	圣人	5] 六不治论↵↵使圣人预知微，能使良医得蚤	思想
105_扁鹊仓公列传	阴阳	阴阳	2319	词表匹配	阴阳	食不能適，三不治也；阴阳并，藏气不定，四不治	思想
105_扁鹊仓公列传	天下	天下	2394	词表匹配	天下	被杀↵↵@扁鹊@名闻天下。过=邯郸=，闻贵妇	思想
105_扁鹊仓公列传	天下	天下	2494	词表匹配	天下	也，使人刺杀之。至今天下言脉者，由@扁鹊@也	思想
105_扁鹊仓公列传	坐法	坐法	2854	词表匹配	坐法	&齐&中称其廉平，今坐法当刑。妾切痛死者不可	刑法
105_扁鹊仓公列传	阴阳	阴阳	3272	词表匹配	阴阳	五色诊、奇咳术、揆度阴阳外变、药论、石神、接	思想
105_扁鹊仓公列传	阴阳	阴阳	3284	词表匹配	阴阳	外变、药论、石神、接阴阳禁书，受读解验之，可	思想
105_扁鹊仓公列传	阴阳	阴阳	4463	词表匹配	阴阳	，并阴。脉法曰"热病阴阳交者死"。切之不交，	思想
105_扁鹊仓公列传	当死	当死	7609	词表匹配	当死	，众医皆以为寒热笃，当死，不治。臣@意@诊其	刑法
105_扁鹊仓公列传	阴阳	阴阳	8506	词表匹配	阴阳	治阳病"。夫药石者有阴阳水火之齐，故中热，即	思想
105_扁鹊仓公列传	动静	动静	8595	词表匹配	动静	不足顺逆之法，参其人动静与息相应，乃可以论。	思想
105_扁鹊仓公列传	阴阳	阴阳	8751	词表匹配	阴阳	。拙工有一不习，文理阴阳失矣。↵↵### [	思想
105_扁鹊仓公列传	圣人	圣人	9374	词表匹配	圣人	多相类，不可知，故古圣人为之脉法，以起度量，	思想
105_扁鹊仓公列传	阴阳	阴阳	9399	词表匹配	阴阳	，县权衡，案绳墨，调阴阳，别人之脉各名之，与	思想
105_扁鹊仓公列传	天地	天地	9411	词表匹配	天地	，别人之脉各名之，与天地相应，参合於人，故乃	思想
105_扁鹊仓公列传	天道	天道	10053	词表匹配	天道	气之趋也而徐之，不应天道四时。後闻医灸之即笃	思想
105_扁鹊仓公列传	阴阳	阴阳	10400	词表匹配	阴阳	之。得见事之，受方化阴阳及传语法，臣@意@悉	思想
105_扁鹊仓公列传	阴阳	阴阳	11027	词表匹配	阴阳	下经脉，奇咳，四时应阴阳重，未成，除为@齐王	思想
105_扁鹊仓公列传	朝见	朝见	11193	词表匹配	朝见	见妒；士无贤不肖，入朝见疑。故@扁鹊@以其伎	礼仪
105_扁鹊仓公列传	正义	正义	11285	词表匹配	正义	## [6] 赞诗与正义↵↵上池祕术，@长桑	思想
105_扁鹊仓公列传	赎罪	赎罪	11332	词表匹配	赎罪	尸蹶起焉。↵$仓公$赎罪，@阳庆@推贤。↵效	刑法
105_扁鹊仓公列传	正义	正义	11354	词表匹配	正义	验多状，式具于篇。↵正义：胃大一尺五寸，径五	思想
