章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
106_吴王濞列传	吴王濞	吴王濞	2	词表匹配	吴王濞	# 吴王濞列传↵↵## [0]	人名
106_吴王濞列传	天子	天子	143	词表匹配	天子	间行走=雒阳=，自归天子。天子为骨肉故，不忍	官职
106_吴王濞列传	天子	天子	146	词表匹配	天子	=雒阳=，自归天子。天子为骨肉故，不忍致法，	官职
106_吴王濞列传	骑将	骑将	245	词表匹配	骑将	%二十%，有气力，以骑将从破@布@军=蕲=西	官职
106_吴王濞列传	会甀	会甀	258	词表匹配	会甀	破@布@军=蕲=西，会甀，@布@走。@荆王@	地名
106_吴王濞列传	东南	东南	386	词表匹配	东南	"&汉&後%五十年%东南有乱者，岂若邪？然天	地名
106_吴王濞列传	若邪	若邪	393	词表匹配	若邪	十年%东南有乱者，岂若邪？然天下同姓为一家也	地名
106_吴王濞列传	师傅	师傅	564	词表匹配	师傅	饮博。&吴&$太子$师傅皆&楚&人，轻悍，又	官职
106_吴王濞列传	京师	京师	682	词表匹配	京师	籓臣之礼，称病不朝。京师知其以子故称病不朝，	地名
106_吴王濞列传	今王	今王	784	词表匹配	今王	渊中〘鱼〙，不祥'。今王始诈病，及觉，见责急	官职
106_吴王濞列传	天子	天子	823	词表匹配	天子	弃之而与更始。"於是天子乃赦&吴&使者归之，	官职
106_吴王濞列传	几杖	几杖	841	词表匹配	几杖	者归之，而赐@吴王@几杖，老，不朝。&吴&得	器物
106_吴王濞列传	岁时	岁时	887	词表匹配	岁时	^践更^，辄与平贾。岁时存问茂材，赏赐闾里。	时间
106_吴王濞列传	七国之乱	七国之乱	942	词表匹配	七国之乱	。↵↵## [2] 七国之乱↵↵### [2.1	event
106_吴王濞列传	几杖	几杖	1171	词表匹配	几杖	，@文帝@弗忍，因赐几杖。德至厚，当改过自新	器物
106_吴王濞列传	律令	律令	1542	词表匹配	律令	小善，听谗贼，擅变更律令，侵夺诸侯之地，徵求	制度
106_吴王濞列传	子将	子将	1688	词表匹配	子将	"王曰："然，有之。子将柰何？"@高@曰："	人名
106_吴王濞列传	王同	王同	1735	词表匹配	王同	今@吴王@自以为与大王同忧，原因时循理，弃躯	人名
106_吴王濞列传	荧惑	荧惑	1809	词表匹配	荧惑	御史大夫$@晁错@，荧惑天子，侵夺诸侯，蔽忠	器物
106_吴王濞列传	天子	天子	1811	词表匹配	天子	大夫$@晁错@，荧惑天子，侵夺诸侯，蔽忠塞贤	官职
106_吴王濞列传	万世	万世	1857	词表匹配	万世	出，〘蝗蟲〙数起，此万世一时，而愁劳圣人之所	时间
106_吴王濞列传	七国	七国	2198	词表匹配	七国	### [2.3] 七国起兵↵↵诸侯既新削罚	朝代
106_吴王濞列传	七国	七国	2394	词表匹配	七国	~匈奴~与连兵。↵↵七国之发也，@吴王@悉其	朝代
106_吴王濞列传	吴王遗书诸侯	吴王遗书诸侯	2504	词表匹配	吴王遗书诸侯	### [2.4] 吴王遗书诸侯↵↵@孝景帝@%三年	event
106_吴王濞列传	功臣	功臣	2685	词表匹配	功臣	@刘@氏骨肉，绝先帝功臣，进任奸宄，诖乱天下	官职
106_吴王濞列传	社稷	社稷	2700	词表匹配	社稷	奸宄，诖乱天下，欲危社稷。陛下多病志失，不能	制度
106_吴王濞列传	王子	王子	2813	词表匹配	王子	。越直=长沙=者，因王子定=长沙=以北，西走	人名
106_吴王濞列传	三王	三王	2848	词表匹配	三王	、@楚王@、@淮南@三王，与寡人西面；&齐&	朝代
106_吴王濞列传	天子	天子	2948	词表匹配	天子	=，走=长安=，匡正天子，以安^高庙^。原王	官职
106_吴王濞列传	三王	三王	2974	词表匹配	三王	楚元王@子、@淮南@三王或不沐洗%十馀年%，	朝代
