章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
107_魏其武安侯列传	魏其	魏其	2	词表匹配	魏其	# 魏其武安侯列传↵↵## 	人名
107_魏其武安侯列传	武安侯	武安侯	4	词表匹配	武安侯	# 魏其武安侯列传↵↵## [0]	人名
107_魏其武安侯列传	梁王	梁王	150	词表匹配	梁王	 [1.2] 谏传位梁王↵↵@梁孝王@者，@	人名
107_魏其武安侯列传	卮酒	卮酒	234	词表匹配	卮酒	太后@驩。@窦婴@引卮酒进上，曰："天下者，	器物
107_魏其武安侯列传	七国之乱	七国之乱	334	词表匹配	七国之乱	## [1.3] 平七国之乱↵↵@孝景@%三年%	event
107_魏其武安侯列传	王孙	王孙	412	词表匹配	王孙	上曰："天下方有急，王孙宁可以让邪？"乃拜@	人名
107_魏其武安侯列传	军吏	军吏	475	词表匹配	军吏	所赐金，陈之廊庑下，军吏过，辄令财取为用，金	官职
107_魏其武安侯列传	七国	七国	511	词表匹配	七国	，监&齐&&赵&兵。七国兵已尽破，封@婴@为	朝代
107_魏其武安侯列传	韩列侯	列侯	565	词表匹配	列侯	侯$、$魏其侯$，诸列侯莫敢与亢礼。↵↵##	人名
107_魏其武安侯列传	太子傅	太子傅	586	词表匹配	太子傅	## [1.4] 为太子傅与失势↵↵@孝景@%	官职
107_魏其武安侯列传	数月	数月	668	词表匹配	数月	=蓝田==南山=之下数月，诸宾客辩士说之，莫	时间
107_魏其武安侯列传	两宫	两宫	785	词表匹配	两宫	自明扬主上之过。有如两宫螫将军，则妻子毋类矣	制度
107_魏其武安侯列传	免相	免相	838	词表匹配	免相	不得为相↵↵$桃侯$免相，@窦太后@数言$魏	官职
107_魏其武安侯列传	子姓	子姓	1026	词表匹配	子姓	侍酒$魏其$，跪起如子姓。及@孝景@晚节，@	朝代
107_魏其武安侯列传	称制	称制	1089	词表匹配	称制	崩，即日$太子$立，称制，所镇抚多有@田蚡@	制度
107_魏其武安侯列传	将相	将相	1204	词表匹配	将相	之，欲以倾$魏其$诸将相。%建元元年%，$丞	官职
107_魏其武安侯列传	儒术	儒术	1473	词表匹配	儒术	## [2.3] 推儒术与罢官↵↵$魏其$、	制度
107_魏其武安侯列传	儒术	儒术	1491	词表匹配	儒术	魏其$、$武安$俱好儒术，推毂@赵绾@为$御	制度
107_魏其武安侯列传	韩列侯	列侯	1536	词表匹配	列侯	@，欲设^明堂^，令列侯就国，除关，以礼为服	人名
107_魏其武安侯列传	韩列侯	列侯	1578	词表匹配	列侯	除其属籍。时诸外家为列侯，列侯多尚$公主$，	人名
107_魏其武安侯列传	韩列侯	列侯	1581	词表匹配	列侯	籍。时诸外家为列侯，列侯多尚$公主$，皆不欲	人名
107_魏其武安侯列传	儒术	儒术	1643	词表匹配	儒术	@、@王臧@等务隆推儒术，贬道家言，是以@窦	制度
107_魏其武安侯列传	道家	道家	1647	词表匹配	道家	臧@等务隆推儒术，贬道家言，是以@窦太后@滋	朝代
107_魏其武安侯列传	东宫	东宫	1689	词表匹配	东宫	夫$@赵绾@请无奏事东宫。@窦太后@大怒，乃	地名
107_魏其武安侯列传	丞相	丞相	1790	词表匹配	丞相	# [2.4] 复为丞相↵↵$武安侯$虽不任	官职
107_魏其武安侯列传	春秋	春秋	1985	词表匹配	春秋	多长，上初即位，富於春秋，@蚡@以肺腑为京师	时间
107_魏其武安侯列传	京师	京师	1995	词表匹配	京师	春秋，@蚡@以肺腑为京师相，非痛折节以礼诎之	地名
107_魏其武安侯列传	武库	武库	2091	词表匹配	武库	上怒曰："君何不遂取武库！"是後乃退。尝召客	地名
107_魏其武安侯列传	锺鼓	锺鼓	2172	词表匹配	锺鼓	器物相属於道。前堂罗锺鼓，立曲旃；後房妇女以	器物
107_魏其武安侯列传	舍人	舍人	2348	词表匹配	舍人	尝为$颍阴侯$@婴@舍人，得幸，因进之至^二	人名
107_魏其武安侯列传	杨得意	得意	2447	词表匹配	得意	阴侯$彊请之，郁郁不得意，故战常陷坚，遂死&	人名
107_魏其武安侯列传	数月	数月	2759	词表匹配	数月	@夫@为$中郎将$。数月，坐法去。後家居=长	时间
107_魏其武安侯列传	汉武帝	今上	2804	词表匹配	今上	代相$。@孝景@崩，今上初即位，以为=淮阳=	人名
107_魏其武安侯列传	数岁	数岁	2918	词表匹配	数岁	夫@，徙为$燕相$。数岁，坐法去官，家居=长	时间
107_魏其武安侯列传	文学	文学	3012	词表匹配	文学	多之。↵↵@夫@不喜文学，好任侠，已然诺。诸	官职
107_魏其武安侯列传	无非	无非	3029	词表匹配	无非	已然诺。诸所与交通，无非豪桀大猾。家累%数千	官职
107_魏其武安侯列传	食客	食客	3044	词表匹配	食客	猾。家累%数千万%，食客日%数十百%人。陂池	官职
107_魏其武安侯列传	魏其	魏其	3123	词表匹配	魏其	## [3.3] 与魏其相得↵↵@灌夫@家居	人名
107_魏其武安侯列传	卿相	卿相	3142	词表匹配	卿相	@家居虽富，然失势，卿相侍中宾客益衰。及$魏	官职
107_魏其武安侯列传	侍中	侍中	3144	词表匹配	侍中	居虽富，然失势，卿相侍中宾客益衰。及$魏其侯	官职
107_魏其武安侯列传	韩列侯	列侯	3192	词表匹配	列侯	夫@亦倚$魏其$而通列侯宗室为名高。两人相为	人名
107_魏其武安侯列传	两人	两人	3200	词表匹配	两人	而通列侯宗室为名高。两人相为引重，其游如父子	时间
107_魏其武安侯列传	魏其	魏其	3237	词表匹配	魏其	。↵↵## [4] 魏其武安交恶↵↵### 	人名
107_魏其武安侯列传	武安	武安	3239	词表匹配	武安	↵## [4] 魏其武安交恶↵↵### [4	人名
107_魏其武安侯列传	魏其	魏其	3257	词表匹配	魏其	# [4.1] 许过魏其失约↵↵@灌夫@有服	人名
107_魏其武安侯列传	夫人	夫人	3389	词表匹配	夫人	安侯$。$魏其$与其夫人益市〘牛〙酒，夜洒埽	人名
107_魏其武安侯列传	日中	日中	3418	词表匹配	日中	平明，令门下候伺。至日中，$丞相$不来。$魏	时间
107_魏其武安侯列传	两人	两人	3752	词表匹配	两人	@籍福@。@籍福@恶两人有郄，乃谩自好谢$丞	时间
107_魏其武安侯列传	数顷	数顷	3842	词表匹配	数顷	魏其$无所不可，何爱数顷田？且@灌夫@何与也	时间
107_魏其武安侯列传	灌夫	灌夫	3895	词表匹配	灌夫	# [4.3] 请案灌夫居间止↵↵%元光四年	人名
107_魏其武安侯列传	丞相	丞相	3999	词表匹配	丞相	。↵↵## [5] 丞相娶燕王女宴会失礼↵↵	官职
107_魏其武安侯列传	燕王	燕王	4002	词表匹配	燕王	## [5] 丞相娶燕王女宴会失礼↵↵###	人名
107_魏其武安侯列传	灌夫	灌夫	4024	词表匹配	灌夫	 [5.1] 宴会上灌夫失礼↵↵夏，$丞相$	人名
107_魏其武安侯列传	夫人	夫人	4043	词表匹配	夫人	丞相$取@燕王@女为夫人，有@太后@诏，召列	人名
107_魏其武安侯列传	韩列侯	列侯	4054	词表匹配	列侯	人，有@太后@诏，召列侯宗室皆往贺。$魏其侯	人名
107_魏其武安侯列传	贵人	贵人	4213	词表匹配	贵人	怒，因嘻笑曰："将军贵人也，属之！"时$武安	官职
107_魏其武安侯列传	方与	方与	4244	词表匹配	方与	临汝侯$，$临汝侯$方与@程不识@耳语，又不	地名
107_魏其武安侯列传	今日	今日	4290	词表匹配	今日	@程不识@不直一钱，今日长者为寿，乃效女兒呫	时间
107_魏其武安侯列传	今日	今日	4366	词表匹配	今日	乎？"@灌夫@曰："今日斩头陷匈，何知@程@	时间
107_魏其武安侯列传	今日	今日	4495	词表匹配	今日	舍，召$长史$曰："今日召宗室，有诏。"劾@	时间
107_魏其武安侯列传	魏其上书救灌夫	魏其上书救灌夫	4614	词表匹配	魏其上书救灌夫	### [5.2] 魏其上书救灌夫↵↵$魏其$锐身为救	event
107_魏其武安侯列传	夫人	夫人	4636	词表匹配	夫人	$锐身为救@灌夫@。夫人谏$魏其$曰："$灌	人名
107_魏其武安侯列传	东朝廷辩	东朝廷辩	4756	词表匹配	东朝廷辩	赐$魏其$食，曰："东朝廷辩之。"↵↵### [	event
107_魏其武安侯列传	东朝廷辩	东朝廷辩	4775	词表匹配	东朝廷辩	### [5.3] 东朝廷辩↵↵$魏其$之东朝，	event
107_魏其武安侯列传	音乐	音乐	4882	词表匹配	音乐	@蚡@得为肺腑，所好音乐〘狗〙〘马〙田宅。@	器物
107_魏其武安侯列传	腹诽	腹诽	4930	词表匹配	腹诽	天下豪桀壮士与论议，腹诽而心谤，不仰视天而俯	制度
107_魏其武安侯列传	两宫	两宫	4947	词表匹配	两宫	仰视天而俯画地，辟倪两宫间，幸天下有变，而欲	制度
107_魏其武安侯列传	两人	两人	4984	词表匹配	两人	。"於是上问朝臣："两人孰是？"$御史大夫$	时间
107_魏其武安侯列传	三军	三军	5042	词表匹配	三军	身被%数十%创，名冠三军，此天下壮士，非有大	制度
107_魏其武安侯列传	今日	今日	5221	词表匹配	今日	其$、$武安$长短，今日廷论，局趣效辕下驹，	时间
107_魏其武安侯列传	百岁	百岁	5298	词表匹配	百岁	，而人皆藉吾弟，令我百岁後，皆〘鱼〙肉之矣。	时间
107_魏其武安侯列传	百岁	百岁	5329	词表匹配	百岁	此特帝在，即录录，设百岁後，是属宁有可信者乎	时间
107_魏其武安侯列传	两人	两人	5386	词表匹配	两人	令$@石建@为上别言两人事。↵↵### [5	时间
107_魏其武安侯列传	武安	武安	5402	词表匹配	武安	### [5.4] 武安悔不用韩安国计↵↵$	人名
107_魏其武安侯列传	韩安国	韩安国	5407	词表匹配	韩安国	5.4] 武安悔不用韩安国计↵↵$武安$已罢朝	人名
107_魏其武安侯列传	印绶	印绶	5499	词表匹配	印绶	其$毁君，君当免冠解印绶归，曰'臣以肺腑幸得	器物
107_魏其武安侯列传	魏其	魏其	5612	词表匹配	魏其	"↵↵## [6] 魏其灌夫之死↵↵於是上使	人名
107_魏其武安侯列传	灌夫	灌夫	5614	词表匹配	灌夫	↵## [6] 魏其灌夫之死↵↵於是上使$御	人名
107_魏其武安侯列传	司空	司空	5651	词表匹配	司空	颇不雠，欺谩。劾系都司空。@孝景@时，$魏其	官职
107_魏其武安侯列传	子上	子上	5716	词表匹配	子上	上。$魏其$乃使昆弟子上书言之，幸得复召见。	人名
