章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
107_魏其武安侯列传	天下	天下	242	词表匹配	天下	@引卮酒进上，曰："天下者，@高祖@天下，父	思想
107_魏其武安侯列传	天下	天下	250	词表匹配	天下	："天下者，@高祖@天下，父子相传，此&汉&	思想
107_魏其武安侯列传	天下	天下	406	词表匹配	天下	@亦惭。於是上曰："天下方有急，王孙宁可以让	思想
107_魏其武安侯列传	富贵	富贵	701	词表匹配	富贵	乃说$魏其$曰："能富贵将军者，上也；能亲将	思想
107_魏其武安侯列传	天下	天下	1258	词表匹配	天下	："$魏其$贵久矣，天下士素归之。今将军初兴	思想
107_魏其武安侯列传	道家	道家	1647	词表匹配	道家	臧@等务隆推儒术，贬道家言，是以@窦太后@滋	思想
107_魏其武安侯列传	天下	天下	1821	词表匹配	天下	，亲幸，数言事多效，天下吏士趋势利者，皆去$	思想
107_魏其武安侯列传	天下	天下	1924	词表匹配	天下	国@为$御史大夫$。天下士郡诸侯愈益附$武安	思想
107_魏其武安侯列传	春秋	春秋	1985	词表匹配	春秋	多长，上初即位，富於春秋，@蚡@以肺腑为京师	典籍
107_魏其武安侯列传	天下	天下	2008	词表匹配	天下	，非痛折节以礼诎之，天下不肃。当是时，$丞相	思想
107_魏其武安侯列传	天下	天下	2714	词表匹配	天下	破，@灌夫@以此名闻天下。↵↵### [3.	思想
107_魏其武安侯列传	坐法	坐法	2762	词表匹配	坐法	为$中郎将$。数月，坐法去。後家居=长安=，	刑法
107_魏其武安侯列传	天下	天下	2816	词表匹配	天下	初即位，以为=淮阳=天下交，劲兵处，故徙@夫	思想
107_魏其武安侯列传	坐法	坐法	2921	词表匹配	坐法	徙为$燕相$。数岁，坐法去官，家居=长安=。	刑法
107_魏其武安侯列传	贫贱	贫贱	2978	词表匹配	贫贱	之；诸士在己之左，愈贫贱，尤益敬，与钧。稠人	思想
107_魏其武安侯列传	饮至	饮至	3653	词表匹配	饮至	$丞相$。$丞相$卒饮至夜，极驩而去。↵↵#	礼仪
107_魏其武安侯列传	天下	天下	4863	词表匹配	天下	$短。$武安$曰："天下幸而安乐无事，@蚡@	思想
107_魏其武安侯列传	天下	天下	4920	词表匹配	天下	$、@灌夫@日夜招聚天下豪桀壮士与论议，腹诽	思想
107_魏其武安侯列传	天下	天下	4952	词表匹配	天下	画地，辟倪两宫间，幸天下有变，而欲有大功。臣	思想
107_魏其武安侯列传	天下	天下	5046	词表匹配	天下	十%创，名冠三军，此天下壮士，非有大恶，争杯	思想
