章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
108_韩长孺列传	天下	天下	544	词表匹配	天下	驰国中，以夸诸侯，令天下尽知@太后@、帝爱之	思想
108_韩长孺列传	坐法	坐法	756	词表匹配	坐法	复然↵↵其後@安国@坐法抵罪，蒙狱吏@田甲@	刑法
108_韩长孺列传	天下	天下	1283	词表匹配	天下	'提%三%尺*剑*取天下者朕也'，故@太上皇	思想
108_韩长孺列传	天下	天下	1353	词表匹配	天下	$中尉$府。何者？治天下终不以私乱公。语曰：	思想
108_韩长孺列传	坐法	坐法	1580	词表匹配	坐法	共王@即位，@安国@坐法失官，居家。↵↵##	刑法
108_韩长孺列传	死罪	死罪	2210	词表匹配	死罪	@聂翁壹@乃还，诈斩死罪囚，县其头=马邑=城	刑法
108_韩长孺列传	当斩	当斩	2835	词表匹配	当斩	$当@恢@^逗桡^，当斩。@恢@私行%千%金	刑法
108_韩长孺列传	天下	天下	2945	词表匹配	天下	事者，@恢@也，故发天下兵%数十万%，从其言	思想
108_韩长孺列传	天下	天下	3003	词表匹配	天下	今不诛@恢@，无以谢天下。"於是@恢@闻之，	思想
108_韩长孺列传	天下	天下	3118	词表匹配	天下	臧固@、@郅他@，皆天下名士，士亦以此称慕之	思想
108_韩长孺列传	当斩	当斩	3335	词表匹配	当斩	@公孙敖@大亡卒：皆当斩，赎为庶人。明年，~	刑法
108_韩长孺列传	赎为	赎为	3338	词表匹配	赎为	敖@大亡卒：皆当斩，赎为庶人。明年，~匈奴~	刑法
108_韩长孺列传	君子	君子	3801	词表匹配	君子	@之内廉行脩，斯鞠躬君子也。↵↵## [5]	思想
108_韩长孺列传	坐法	坐法	3835	词表匹配	坐法	初为=梁=将。↵因事坐法，免徒起相。↵死灰更	刑法
