章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
109_李将军列传	天下	天下	426	词表匹配	天下	曰："@李广@才气，天下无双，自负其能，数与	思想
109_李将军列传	当斩	当斩	1748	词表匹配	当斩	失亡多，为虏所生得，当斩，赎为庶人。↵↵##	刑法
109_李将军列传	赎为	赎为	1751	词表匹配	赎为	，为虏所生得，当斩，赎为庶人。↵↵### [	刑法
109_李将军列传	当死	当死	2801	词表匹配	当死	$博望侯$留迟後期，当死，赎为庶人。@广@军	刑法
109_李将军列传	赎为	赎为	2804	词表匹配	赎为	侯$留迟後期，当死，赎为庶人。@广@军功自如	刑法
109_李将军列传	当死	当死	3980	词表匹配	当死	而$右将军$独下吏，当死，赎为庶人。↵↵##	刑法
109_李将军列传	赎为	赎为	3983	词表匹配	赎为	将军$独下吏，当死，赎为庶人。↵↵## [2	刑法
109_李将军列传	斩首	斩首	4224	词表匹配	斩首	，夺$左贤王$鼓旗，斩首多，赐爵$关内侯$，	刑法
109_李将军列传	赐爵	赐爵	4228	词表匹配	赐爵	贤王$鼓旗，斩首多，赐爵$关内侯$，食邑%二	礼仪
109_李将军列传	天下	天下	4959	词表匹配	天下	不能道辞。及死之日，天下知与不知，皆为尽哀。	思想
109_李将军列传	天下	天下	5077	词表匹配	天下	奇不封。↵惜哉名将，天下无双！↵	思想
