章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
110_匈奴列传	匈奴	匈奴	6	词表匹配	匈奴	# 110_匈奴列传↵↵## 标题↵	朝代
110_匈奴列传	匈奴	匈奴	18	词表匹配	匈奴	列传↵↵## 标题↵匈奴列传↵↵## [1]	朝代
110_匈奴列传	匈奴	匈奴	31	词表匹配	匈奴	传↵↵## [1] 匈奴的起源与习俗↵[1.	朝代
110_匈奴列传	禽兽	禽兽	235	词表匹配	禽兽	俗，宽则随畜，因射猎禽兽为生业，急则人习战攻	器物
110_匈奴列传	礼义	礼义	294	词表匹配	礼义	遁走。苟利所在，不知礼义。自$君王$以下，咸	制度
110_匈奴列传	皮革	皮革	312	词表匹配	皮革	以下，咸食畜肉，衣其皮革，被旃裘。壮者食肥美	器物
110_匈奴列传	旃裘	旃裘	316	词表匹配	旃裘	食畜肉，衣其皮革，被旃裘。壮者食肥美，老者食	器物
110_匈奴列传	审食其	食其	327	词表匹配	食其	裘。壮者食肥美，老者食其馀。贵壮健，贱老弱。	人名
110_匈奴列传	戎狄	戎狄	384	词表匹配	戎狄	 [2] 夏周时期的戎狄历史↵[2.1] &	族群
110_匈奴列传	荒服	荒服	568	词表匹配	荒服	北，以时入贡，命曰"荒服"。↵↵[2.3] 	制度
110_匈奴列传	荒服	荒服	626	词表匹配	荒服	鹿〙以归。自是之後，荒服不至。於是&周&遂作	制度
110_匈奴列传	战国	战国	1270	词表匹配	战国	。↵↵## [3] 战国时期的戎狄分布↵[3	朝代
110_匈奴列传	戎狄	戎狄	1275	词表匹配	戎狄	 [3] 战国时期的戎狄分布↵[3.1] 当	族群
110_匈奴列传	由余	由余	1348	词表匹配	由余	~。&秦&@穆公得@由余@，~西戎~八国服於	人名
110_匈奴列传	百有馀	百有馀	1485	词表匹配	百有馀	$君长$，往往而聚者百有馀戎，然莫能相一。↵↵	时间
110_匈奴列传	战国	战国	1505	词表匹配	战国	。↵↵## [4] 战国晚期的北方形势↵[4	朝代
110_匈奴列传	北方	北方	1510	词表匹配	北方	 [4] 战国晚期的北方形势↵[4.1] 自	地名
110_匈奴列传	骑射	骑射	1869	词表匹配	骑射	@亦变俗^胡服^，习骑射，北破~林胡~、~楼	制度
110_匈奴列传	冠带	冠带	2073	词表匹配	冠带	4.7] 当是之时，冠带战国七，而三国边於~	器物
110_匈奴列传	战国	战国	2075	词表匹配	战国	7] 当是之时，冠带战国七，而三国边於~匈奴	朝代
110_匈奴列传	六国	六国	2118	词表匹配	六国	&赵&边。後&秦&灭六国，而@始皇帝@使@蒙	制度
110_匈奴列传	冒顿	冒顿	2244	词表匹配	冒顿	。↵↵## [5] 冒顿单于的崛起↵[5.1	人名
110_匈奴列传	单于	单于	2246	词表匹配	单于	↵## [5] 冒顿单于的崛起↵[5.1] 	官职
110_匈奴列传	骑射	骑射	2520	词表匹配	骑射	作为*鸣镝*，习勒其骑射，令曰："*鸣镝*所	制度
110_匈奴列传	冒顿	冒顿	2772	词表匹配	冒顿	。↵↵## [6] 冒顿征服东胡与月氏↵[6	人名
110_匈奴列传	东胡	东胡	2776	词表匹配	东胡	# [6] 冒顿征服东胡与月氏↵[6.1] 	族群
110_匈奴列传	月氏	月氏	2779	词表匹配	月氏	6] 冒顿征服东胡与月氏↵[6.1] @冒顿	人名
110_匈奴列传	千里	千里	2831	词表匹配	千里	@，欲得@头曼@时有千里〘马〙。@冒顿@问群	时间
110_匈奴列传	千里	千里	2851	词表匹配	千里	问群臣，群臣皆曰："千里〘马〙，~匈奴~宝〘	时间
110_匈奴列传	千里	千里	2896	词表匹配	千里	一〘马〙乎？"遂与之千里〘马〙。↵↵[6.2	时间
