章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
111_卫将军骠骑列传	卫将军	卫将军	6	词表匹配	卫将军	# 111 卫将军骠骑列传↵↵## 标	人名
111_卫将军骠骑列传	骠骑	骠骑	9	词表匹配	骠骑	# 111 卫将军骠骑列传↵↵## 标题↵	官职
111_卫将军骠骑列传	卫青	卫青	41	词表匹配	卫青	传↵↵## [1] 卫青家世↵↵[1.1] 	人名
111_卫将军骠骑列传	贵人	贵人	325	词表匹配	贵人	一钳徒相@青@曰:"贵人也,官至封侯。"@青	官职
111_卫将军骠骑列传	卫青	卫青	372	词表匹配	卫青	"↵↵## [2] 卫青崛起↵↵[2.1] 	人名
111_卫将军骠骑列传	匈奴	匈奴	688	词表匹配	匈奴	↵## [3] 初战匈奴↵↵[3.1] &元	朝代
111_卫将军骠骑列传	数百	数百	826	词表匹配	数百	@至=茏城=,斩首虏数百。$骑将军@敖@$亡	时间
111_卫将军骠骑列传	数千人	数千人	965	词表匹配	数千人	$击~匈奴~,斩首虏数千人。↵↵[4.3] 明	时间
111_卫将军骠骑列传	明年	明年	977	词表匹配	明年	人。↵↵[4.3] 明年,~匈奴~入杀$@辽	时间
111_卫将军骠骑列传	二千馀人	二千馀人	1001	词表匹配	二千馀人	守@$,虏略=渔阳=二千馀人,败$@韩将军@$军	时间
111_卫将军骠骑列传	数千	数千	1085	词表匹配	数千	至于=陇西=,捕首虏数千,畜数十万,走$@白	时间
111_卫将军骠骑列传	数十万	数十万	1089	词表匹配	数十万	西=,捕首虏数千,畜数十万,走$@白羊@王$、	时间
111_卫将军骠骑列传	百有馀	百有馀	1455	词表匹配	百有馀	驱*马**牛**羊*百有馀万,全*甲*兵而还,	时间
111_卫将军骠骑列传	千户	千户	1474	词表匹配	千户	兵而还,益封@青@三千户。"↵↵[4.8] 	时间
111_卫将军骠骑列传	明年	明年	1487	词表匹配	明年	"↵↵[4.8] 其明年,~匈奴~入杀$@代	时间
111_卫将军骠骑列传	千馀人	千馀人	1512	词表匹配	千馀人	友@$,入略=雁门=千馀人。其明年,~匈奴~大	时间
111_卫将军骠骑列传	明年	明年	1517	词表匹配	明年	略=雁门=千馀人。其明年,~匈奴~大入=代=	时间
111_卫将军骠骑列传	数千人	数千人	1545	词表匹配	数千人	=上郡=,杀略&汉&数千人。↵↵## [5] 	时间
111_卫将军骠骑列传	大破右贤王	大破右贤王	1558	词表匹配	大破右贤王	。↵↵## [5] 大破右贤王↵↵[5.1] 其明	event
111_卫将军骠骑列传	明年	明年	1572	词表匹配	明年	王↵↵[5.1] 其明年,&元朔&之%五年春	时间
111_卫将军骠骑列传	数百	数百	1813	词表匹配	数百	与其爱妾一人壮$骑$数百驰,溃围北去。↵↵[	时间
111_卫将军骠骑列传	数百里	数百里	1845	词表匹配	数百里	骑校尉@郭成@$等逐数百里,不及,得$@右贤@	时间
111_卫将军骠骑列传	裨王	裨王	1859	词表匹配	裨王	不及,得$@右贤@$裨王十馀人,众男女万五千	官职
111_卫将军骠骑列传	十馀人	十馀人	1861	词表匹配	十馀人	,得$@右贤@$裨王十馀人,众男女万五千馀人,	时间
111_卫将军骠骑列传	千馀人	千馀人	1870	词表匹配	千馀人	王十馀人,众男女万五千馀人,畜数千百万,於是引	时间
111_卫将军骠骑列传	数千	数千	1875	词表匹配	数千	众男女万五千馀人,畜数千百万,於是引兵而还。	时间
111_卫将军骠骑列传	千户	千户	2004	词表匹配	千户	有馀人,益封@青@六千户。"而封@青@子@伉	时间
111_卫将军骠骑列传	神灵	神灵	2086	词表匹配	神灵	幸得待罪行间,赖陛下神灵,军大捷,皆诸$校尉	神话
111_卫将军骠骑列传	三人	三人	2164	词表匹配	三人	力战之意也。@伉@等三人何敢受封!"↵↵[5	时间
111_卫将军骠骑列传	护军	护军	2247	词表匹配	护军	将军$击~匈奴~,常护军,傅校获王,以千五百	官职
111_卫将军骠骑列传	定襄之战	定襄之战	2586	词表匹配	定襄之战	。↵↵## [6] 定襄之战与赵信降敌↵↵[6.	event
111_卫将军骠骑列传	赵信	赵信	2591	词表匹配	赵信	 [6] 定襄之战与赵信降敌↵↵[6.1] 	人名
111_卫将军骠骑列传	明年春	明年春	2604	词表匹配	明年春	敌↵↵[6.1] 其明年春,$大将军@青@$出	时间
111_卫将军骠骑列传	数千	数千	2724	词表匹配	数千	咸属$大将军$,斩首数千级而还。↵↵[6.2	时间
111_卫将军骠骑列传	月馀	月馀	2738	词表匹配	月馀	还。↵↵[6.2] 月馀,悉复出=定襄=击~	时间
111_卫将军骠骑列传	万馀人	万馀人	2757	词表匹配	万馀人	=击~匈奴~,斩首虏万馀人。↵↵[6.3] $	时间
111_卫将军骠骑列传	千馀	千馀	2789	词表匹配	千馀	前将军@信@$并军三千馀$骑$,独逢$单于$	时间
111_卫将军骠骑列传	数千	数千	3053	词表匹配	数千	之禽也'。今@建@以数千当$单于$数万,力战	时间
111_卫将军骠骑列传	数万	数万	3060	词表匹配	数万	建@以数千当$单于$数万,力战%一日%馀,士	时间
111_卫将军骠骑列传	人臣	人臣	3197	词表匹配	人臣	$自裁之,於是以见为人臣不敢专权,不亦可乎?	官职
111_卫将军骠骑列传	军吏	军吏	3219	词表匹配	军吏	"↵↵[6.10] 军吏皆曰"善"。遂囚@建	官职
111_卫将军骠骑列传	霍去病初露锋芒	霍去病初露锋芒	3251	词表匹配	霍去病初露锋芒	。↵↵## [7] 霍去病初露锋芒↵↵[7.1] 是岁	event
111_卫将军骠骑列传	数百里	数百里	3340	词表匹配	数百里	勇$骑$八百直弃大军数百里赴利,斩捕首虏过当。	时间
111_卫将军骠骑列传	冠军	冠军	3431	词表匹配	冠军	父$@罗姑比@$,再冠军,以千六百户封@去病	官职
111_卫将军骠骑列传	二千馀人	二千馀人	3475	词表匹配	二千馀人	$大将军$,捕斩首虏二千馀人,以千一百户封@贤@	时间
111_卫将军骠骑列传	万户	万户	3629	词表匹配	万户	$所以功未甚多,身食万户,三子皆为$侯$者,	时间
111_卫将军骠骑列传	霍去病	霍去病	3833	词表匹配	霍去病	。↵↵## [8] 霍去病首次出征↵↵[8.1	人名
111_卫将军骠骑列传	千馀	千馀	4037	词表匹配	千馀	$、$都尉$,首虏八千馀级,收$@休屠@$祭	时间
111_卫将军骠骑列传	千户	千户	4062	词表匹配	千户	人*,益封@去病@二千户。"↵↵## [9]	时间
