章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
112_平津侯主父列传	平津侯	平津侯	6	词表匹配	平津侯	# 112 平津侯主父列传↵↵## 标	人名
112_平津侯主父列传	主父偃	主父	9	词表匹配	主父	# 112 平津侯主父列传↵↵## 标题↵	人名
112_平津侯主父列传	公孙弘	公孙弘	45	词表匹配	公孙弘	传↵↵## [1] 公孙弘早年↵↵[1.1] 	人名
112_平津侯主父列传	贤良	贤良	188	词表匹配	贤良	,$天子$初即位,招贤良文学之士。是时@弘@	制度
112_平津侯主父列传	文学	文学	190	词表匹配	文学	天子$初即位,招贤良文学之士。是时@弘@年%	官职
112_平津侯主父列传	贤良	贤良	208	词表匹配	贤良	弘@年%六十%,徵以贤良为$博士$。↵↵[2	制度
112_平津侯主父列传	文学	文学	278	词表匹配	文学	光&%五年%,有诏徵文学,&菑川国&复推上@	官职
112_平津侯主父列传	百馀人	百馀人	370	词表匹配	百馀人	$令所徵儒士各对策,百馀人,@弘@第居下。策奏	时间
112_平津侯主父列传	公孙弘	公孙弘	482	词表匹配	公孙弘	。↵↵## [3] 公孙弘为人与升迁↵↵[3.	人名
112_平津侯主父列传	人臣	人臣	519	词表匹配	人臣	称以为人主病不广大,人臣病不俭节。@弘@为*	官职
112_平津侯主父列传	公卿	公卿	731	词表匹配	公卿	↵↵[3.5] 尝与公卿约议,至$上$前,皆	官职
112_平津侯主父列传	拜为御史大夫	拜为御史大夫	872	词表匹配	拜为御史大夫	。↵↵## [4] 拜为御史大夫↵↵[4.1] &元	event
112_平津侯主父列传	中国	中国	956	词表匹配	中国	@弘@数谏,以为罢敝中国以奉无用之地,原罢之	地名
112_平津侯主父列传	布被	布被	1083	词表匹配	布被	↵## [5] 庭辩布被之诈↵↵[5.1] 	器物
112_平津侯主父列传	三公	三公	1107	词表匹配	三公	黯@曰:"@弘@位在三公,奉禄甚多。然为*布	制度
112_平津侯主父列传	三公	三公	1189	词表匹配	三公	诚中@弘@之病。夫以三公为*布被*,诚饰诈欲	制度
112_平津侯主父列传	公孙弘	公孙弘	1412	词表匹配	公孙弘	。↵↵## [6] 公孙弘性格与作为↵↵[6.	人名
112_平津侯主父列传	公孙弘	公孙弘	1558	词表匹配	公孙弘	。↵↵## [7] 公孙弘临终上书↵↵[7.1	人名
112_平津侯主父列传	百世	百世	1811	词表匹配	百世	自治而能治人者也,此百世不易之道也。↵↵[7	时间
112_平津侯主父列传	三王	三王	1836	词表匹配	三王	 今陛下躬行大孝,鉴三王,建&周&道,兼$@	朝代
112_平津侯主父列传	三公	三公	1910	词表匹配	三公	,封为$列侯$,致位三公。↵↵[7.5] 臣	制度
112_平津侯主父列传	数月	数月	2153	词表匹配	数月	**酒*杂*帛*。居数月,病有瘳,视事。↵↵	时间
112_平津侯主父列传	公孙弘	公孙弘	2172	词表匹配	公孙弘	。↵↵## [8] 公孙弘之死↵↵[8.1] 	人名
112_平津侯主父列传	主父偃	主父偃	2253	词表匹配	主父偃	。↵↵## [9] 主父偃早年↵↵[9.1] 	人名
112_平津侯主父列传	主父偃入京上书	主父偃入京上书	2393	词表匹配	主父偃入京上书	↵↵## [10] 主父偃入京上书↵↵[10.1] $	event
112_平津侯主父列传	公宾	公宾	2479	词表匹配	公宾	] 资用乏,留久,诸公宾客多厌之,乃上书阙下	人名
112_平津侯主父列传	匈奴	匈奴	2548	词表匹配	匈奴	## [11] 谏伐匈奴书↵↵[11.1] 	朝代
112_平津侯主父列传	万世	万世	2592	词表匹配	万世	,是故事无遗策而功流万世。今臣不敢隐忠避死以	时间
112_平津侯主父列传	战国	战国	2785	词表匹配	战国	之威,蚕食天下,并吞战国,海内为一,功齐三代	朝代
112_平津侯主父列传	三代	三代	2795	词表匹配	三代	战国,海内为一,功齐三代。务胜不休,欲攻~匈	时间
112_平津侯主父列传	中国	中国	2910	词表匹配	中国	之,非民父母也。靡弊中国,快心~匈奴~,非长	地名
112_平津侯主父列传	千里	千里	2960	词表匹配	千里	@将兵攻~胡~,辟地千里,以=河=为境。地固	时间
112_平津侯主父列传	数十万	数十万	3381	词表匹配	数十万	。夫&秦&常积众暴兵数十万人,虽有覆军杀将系虏	时间
112_平津侯主父列传	府库	府库	3432	词表匹配	府库	11.12] 夫上虚府库,下敝百姓,甘心於外	器物
112_平津侯主父列传	一世	一世	3462	词表匹配	一世	~匈奴~难得而制,非一世也。行盗侵驱,所以为	时间
112_平津侯主父列传	禽兽	禽兽	3502	词表匹配	禽兽	&&周&,固弗程督,禽兽畜之,不属为人。↵↵	器物
112_平津侯主父列传	徐乐	徐乐	3707	词表匹配	徐乐	↵↵## [12] 徐乐严安并上书↵↵[12	人名
112_平津侯主父列传	严安	严安	3709	词表匹配	严安	## [12] 徐乐严安并上书↵↵[12.1	人名
112_平津侯主父列传	徐乐	徐乐	3766	词表匹配	徐乐	## [12.2] 徐乐论土崩瓦解↵↵[12	人名
112_平津侯主父列传	千乘	千乘	3842	词表匹配	千乘	末世是也。@陈涉@无千乘之尊,尺土之地,身非	地名
112_平津侯主父列传	王公	王公	3854	词表匹配	王公	之尊,尺土之地,身非王公$大人$名族之後,无	人名
112_平津侯主父列传	七国	七国	4029	词表匹配	七国	&、&赵&之兵是也。七国谋为大逆,号皆称万乘	朝代
112_平津侯主父列传	数十万	数十万	4048	词表匹配	数十万	称万乘之君,带*甲*数十万,威足以严其境内,财	时间
112_平津侯主父列传	於中	於中	4081	词表匹配	於中	西攘尺寸之地而身为禽於中原者,此其故何也？↵	地名
112_平津侯主父列传	蜚鸟	蜚鸟	4481	词表匹配	蜚鸟	劲兵,陛下逐走兽,射蜚鸟,弘游燕之囿,淫纵恣	动植物
112_平津侯主父列传	数世	数世	4698	词表匹配	数世	~四夷~,馀恩遗德为数世隆,南面负扆摄袂而揖	时间
112_平津侯主父列传	王公	王公	4710	词表匹配	王公	隆,南面负扆摄袂而揖王公,此陛下之所服也。↵	人名
112_平津侯主父列传	严安	严安	4775	词表匹配	严安	不服乎哉!↵↵## 严安论秦之失↵↵### 	人名
