章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
116_西南夷列传	西南夷	西南夷	6	词表匹配	西南夷	# 116 西南夷列传↵↵## 西南夷	族群
116_西南夷列传	西南夷诸国风俗	西南夷诸国风俗	16	词表匹配	西南夷诸国风俗	西南夷列传↵↵## 西南夷诸国风俗↵↵[0] ~西南夷	event
116_西南夷列传	数千里	数千里	151	词表匹配	数千里	，毋$君长$，地方可数千里。自=巂=以东北，$	时间
116_西南夷列传	东北	东北	160	词表匹配	东北	可数千里。自=巂=以东北，$君长$以什数，=	地名
116_西南夷列传	东北	东北	187	词表匹配	东北	都=最大；自=筰=以东北，$君长$以什数，=	地名
116_西南夷列传	东北	东北	228	词表匹配	东北	=之西。自=厓駹=以东北，$君长$以什数，=	地名
116_西南夷列传	西南	西南	259	词表匹配	西南	~类也。此皆=巴蜀=西南外~蛮夷~也。↵↵[	地名
116_西南夷列传	百里	百里	342	词表匹配	百里	蹻@至=滇池=，方三百里，旁平地，肥饶数千里	人名
116_西南夷列传	数千里	数千里	351	词表匹配	数千里	三百里，旁平地，肥饶数千里，以兵威定属&楚&。	时间
116_西南夷列传	唐蒙通夜郎	唐蒙通夜郎	509	词表匹配	唐蒙通夜郎	蜀=殷富。↵↵## 唐蒙通夜郎↵↵[2] %建元六	event
116_西南夷列传	百馀	百馀	686	词表匹配	百馀	，临=牂柯江=，江广百馀步，足以行船。=南越	时间
116_西南夷列传	万馀里	万馀里	753	词表匹配	万馀里	屋**左纛*，地东西万馀里，名为外臣，实一州主	时间
116_西南夷列传	十馀万	十馀万	802	词表匹配	十馀万	夜郎=所有精兵，可得十馀万，浮船=牂柯江=，出	时间
116_西南夷列传	千人	千人	873	词表匹配	千人	蒙@为$郎中将$，将千人，食重万馀人，从=巴	时间
116_西南夷列传	万馀人	万馀人	878	词表匹配	万馀人	中将$，将千人，食重万馀人，从=巴蜀==筰关=	时间
116_西南夷列传	南夷	南夷	1042	词表匹配	南夷	$郎中将$往喻，皆如南夷，为置一$都尉$，十	族群
116_西南夷列传	数岁	数岁	1091	词表匹配	数岁	南夷~道，戍转相饟。数岁，道不通，士罢饿离湿	时间
116_西南夷列传	西夷	西夷	1205	词表匹配	西夷	专力事~匈奴~。上罢西夷，独置南夷=夜郎=两	族群
116_西南夷列传	南夷	南夷	1210	词表匹配	南夷	奴~。上罢西夷，独置南夷=夜郎=两县一$都尉	族群
116_西南夷列传	张骞求身毒道	张骞求身毒道	1239	词表匹配	张骞求身毒道	=自葆就。↵↵## 张骞求身毒道↵↵[4] 及%元狩	event
116_西南夷列传	东南	东南	1306	词表匹配	东南	，使问所从来，曰"从东南=身毒国=，可数千里	地名
116_西南夷列传	数千里	数千里	1315	词表匹配	数千里	从东南=身毒国=，可数千里，得=蜀=贾人市"。	时间
116_西南夷列传	二千里	二千里	1335	词表匹配	二千里	市"。或闻=邛=西可二千里有=身毒国=。@骞@	时间
116_西南夷列传	西南	西南	1359	词表匹配	西南	盛言=大夏=在&汉&西南，慕=中国=，患~匈	地名
116_西南夷列传	天子	天子	1399	词表匹配	天子	便近，有利无害。於是天子乃令@王然于@、@柏	官职
116_西南夷列传	十馀辈	十馀辈	1459	词表匹配	十馀辈	尝羌@乃留，为求道西十馀辈。%岁馀%，皆闭=昆	时间
116_西南夷列传	天子	天子	1562	词表匹配	天子	滇=大国，足事亲附。天子注意焉。↵↵## 南	官职
116_西南夷列传	南越	南越	1573	词表匹配	南越	子注意焉。↵↵## 南越反与夜郎入朝↵↵[6	地名
116_西南夷列传	夜郎	夜郎	1577	词表匹配	夜郎	。↵↵## 南越反与夜郎入朝↵↵[6] 及至	地名
116_西南夷列传	南夷	南夷	1608	词表匹配	南夷	驰义侯$因=犍为=发南夷兵。$且兰君$恐远行	族群
116_西南夷列传	南夷	南夷	1725	词表匹配	南夷	。已平@头兰@，遂平南夷为=牂柯=郡。=夜郎	族群
116_西南夷列传	南夷	南夷	1906	词表匹配	南夷	然于@以~越~破及诛南夷兵威风喻=滇=王入朝	族群
116_西南夷列传	数万人	数万人	1927	词表匹配	数万人	朝。=滇=王者，其众数万人，其旁东北有=劳洸=	时间
116_西南夷列传	东北	东北	1933	词表匹配	东北	者，其众数万人，其旁东北有=劳洸=、=靡莫=	地名
116_西南夷列传	天子	天子	1980	词表匹配	天子	吏卒。%元封二年%，天子发=巴蜀=兵击灭=劳	官职
116_西南夷列传	王离	王离	2023	词表匹配	王离	善，以故弗诛。=滇=王离难~西南夷~，举国降	人名
116_西南夷列传	王印	王印	2057	词表匹配	王印	益州=郡，赐=滇=王王印，复长其民。↵↵[9	器物
116_西南夷列传	王印	王印	2094	词表匹配	王印	独=夜郎=、=滇=受王印。=滇=小邑，最宠焉	器物
116_西南夷列传	司马迁	太史公	2112	词表匹配	太史公	，最宠焉。↵↵## 太史公论赞↵↵[10] $	人名
116_西南夷列传	五千里	五千里	2168	词表匹配	五千里	↵及&周&之衰，地称五千里。↵&秦&灭诸候，唯	时间
116_西南夷列传	南夷	南夷	2220	词表匹配	南夷	=滇=复为宠王。↵然南夷之端，见*枸酱*=番	族群
