章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
117_司马相如列传	司马相如	司马相如	6	词表匹配	司马相如	# 117 司马相如列传↵↵## 少年游	人名
117_司马相如列传	子虚	子虚	22	词表匹配	子虚	↵↵## 少年游梁作子虚赋↵↵[0] @司马	人名
117_司马相如列传	数岁	数岁	225	词表匹配	数岁	相如@得与诸生游士居数岁，乃著《子虚》之赋。	时间
117_司马相如列传	子虚	子虚	231	词表匹配	子虚	生游士居数岁，乃著《子虚》之赋。↵↵## 琴	人名
117_司马相如列传	文君	文君	244	词表匹配	文君	之赋。↵↵## 琴挑文君↵↵[1] 会$梁孝	人名
117_司马相如列传	数百人	数百人	398	词表匹配	数百人	僮八百人，@程郑@亦数百人，二人乃相谓曰："令	时间
117_司马相如列传	二人	二人	402	词表匹配	二人	，@程郑@亦数百人，二人乃相谓曰："令有贵客	时间
117_司马相如列传	而以	而以	570	词表匹配	而以	@相如@缪与令相重，而以*琴*心挑之。@相如	人名
117_司马相如列传	车骑	车骑	590	词表匹配	车骑	相如@之=临邛=，从车骑，雍容间雅甚都；及饮	官职
117_司马相如列传	车骑	车骑	790	词表匹配	车骑	俱之=临邛=，尽卖其车骑，买一酒舍酤酒，而令	官职
117_司马相如列传	天子	天子	986	词表匹配	天子	，为富人。↵↵## 天子游猎赋↵↵[2] 居	官职
117_司马相如列传	子虚	子虚	1022	词表匹配	子虚	狗监$，侍上。上读《子虚赋》而善之，曰："朕	人名
117_司马相如列传	天子	天子	1104	词表匹配	天子	之事，未足观也。请为天子游猎赋，赋成奏之。"	官职
117_司马相如列传	天子	天子	1189	词表匹配	天子	@"者，无是人也，明天子之义。故空藉此三人为	官职
117_司马相如列传	三人	三人	1198	词表匹配	三人	明天子之义。故空藉此三人为辞，以推天子诸侯之	时间
117_司马相如列传	天子	天子	1205	词表匹配	天子	空藉此三人为辞，以推天子诸侯之苑囿。其卒章归	官职
