章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
117_司马相如列传	子虚	子虚	22	词表匹配	子虚	↵↵## 少年游梁作子虚赋↵↵[0] @司马	典籍
117_司马相如列传	无为	无为	2793	词表匹配	无为	阳云=之*台*，泊乎无为，澹乎自持，勺药之和	思想
117_司马相如列传	上林	上林	3276	词表匹配	上林	用应哉！"↵↵## 上林赋↵↵[2.12] 	典籍
117_司马相如列传	纳贡	纳贡	3320	词表匹配	纳贡	亦未为得也。夫使诸侯纳贡者，非为财币，所以述	礼仪
117_司马相如列传	明君	明君	3395	词表匹配	明君	也。且二君之论，不务明君臣之义而正诸侯之礼，	思想
117_司马相如列传	天道	天道	6221	词表匹配	天道	间，无事弃%日%，顺天道以杀伐，时休息於此，	思想
117_司马相如列传	仁义	仁义	6433	词表匹配	仁义	乎^六艺^之囿，骛乎仁义之涂，览观《春秋》之	思想
117_司马相如列传	君子	君子	7517	词表匹配	君子	烈著而不灭。是以贤人君子，肝脑涂=中原=，膏	思想
117_司马相如列传	道德	道德	9375	词表匹配	道德	山=，梁=孙原=。创道德之涂，垂仁义之统。将	思想
117_司马相如列传	仁义	仁义	9381	词表匹配	仁义	原=。创道德之涂，垂仁义之统。将博恩广施，远	思想
117_司马相如列传	宗庙	宗庙	10349	词表匹配	宗庙	国失埶。信谗不寤兮，宗庙灭绝。呜呼哀哉！操行	礼仪
117_司马相如列传	大人	大人	10422	词表匹配	大人	呜呼哀哉！↵↵## 大人赋↵↵[12] @相	典籍
117_司马相如列传	天地	天地	11561	词表匹配	天地	飘飘有凌云之气，似游天地之间意。↵↵## 遗	思想
117_司马相如列传	封禅	封禅	11575	词表匹配	封禅	意。↵↵## 遗书论封禅↵↵[14] @相如	礼仪
117_司马相如列传	封禅	封禅	11717	词表匹配	封禅	无他书。"其遗札书言封禅事，奏@所忠@。@忠	礼仪
117_司马相如列传	封禅	封禅	12279	词表匹配	封禅	兹，犹以为薄，不敢道封禅。盖&周&跃〘鱼〙陨	礼仪
117_司马相如列传	王道	王道	12451	词表匹配	王道	。挈〚三神〛之驩，缺王道之仪，群臣恧焉。或谓	思想
117_司马相如列传	圣王	圣王	12545	词表匹配	圣王	以行事，不为进越。故圣王弗替，而修礼地祇，谒	思想
117_司马相如列传	封禅	封禅	12781	词表匹配	封禅	回虑，总公卿之议，询封禅之事，诗大泽之博，广	礼仪
117_司马相如列传	君子	君子	12944	词表匹配	君子	，其仪可；旼々睦睦，君子之能。盖闻其声，今观	思想
117_司马相如列传	郊祀	郊祀	13013	词表匹配	郊祀	。%孟冬十月%，君俎郊祀。驰我君舆，帝以享祉	礼仪
117_司马相如列传	天人	天人	13131	词表匹配	天人	.10] 披艺观之，天人之际已交，上下相发允	思想
117_司马相如列传	圣王	圣王	13145	词表匹配	圣王	已交，上下相发允答。圣王之德，兢兢翼翼也。故	思想
117_司马相如列传	大人	大人	13356	词表匹配	大人	以显，《大雅》言王公大人而德逮黎庶，《小雅》	典籍
117_司马相如列传	封禅	封禅	13532	词表匹配	封禅	=，百金献伎。↵惜哉封禅，遗文卓尔。↵	礼仪
