章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
118_淮南衡山列传	淮南王	淮南	6	词表匹配	淮南	# 118 淮南衡山列传↵↵## 厉	人名
118_淮南衡山列传	衡山	衡山	8	词表匹配	衡山	# 118 淮南衡山列传↵↵## 厉王长	地名
118_淮南衡山列传	周厉王	厉王	17	词表匹配	厉王	南衡山列传↵↵## 厉王长之母↵↵[0] =	人名
118_淮南衡山列传	美人	美人	60	词表匹配	美人	母故$赵王$@张敖@美人。&高祖&%八年%，	官职
118_淮南衡山列传	美人	美人	88	词表匹配	美人	&赵&，$赵王$献之美人。$厉王$母得幸焉，	官职
118_淮南衡山列传	美人	美人	151	词表匹配	美人	治王，尽收捕王母兄弟美人，系之=河内=。$厉	官职
118_淮南衡山列传	周厉王	厉王	320	词表匹配	厉王	父世县也。↵↵## 厉王骄恣杀辟阳侯↵↵[1	人名
118_淮南衡山列传	辟阳侯	辟阳侯	325	词表匹配	辟阳侯	↵↵## 厉王骄恣杀辟阳侯↵↵[1] &高祖&	人名
118_淮南衡山列传	苑囿	苑囿	498	词表匹配	苑囿	，入朝。甚横。从上入苑囿猎，与上同车，常谓上	制度
118_淮南衡山列传	称制	称制	780	词表匹配	称制	汉&法，出入称警跸，称制，自为法令，拟於天子	制度
118_淮南衡山列传	法令	法令	785	词表匹配	法令	入称警跸，称制，自为法令，拟於天子。↵↵##	制度
118_淮南衡山列传	天子	天子	790	词表匹配	天子	称制，自为法令，拟於天子。↵↵## 厉王谋反	官职
118_淮南衡山列传	周厉王	厉王	798	词表匹配	厉王	拟於天子。↵↵## 厉王谋反获罪↵↵[2] 	人名
118_淮南衡山列传	十人	十人	823	词表匹配	十人	%，令男子@但@等七十人与$棘蒲侯$@柴武@	时间
118_淮南衡山列传	天子	天子	978	词表匹配	天子	@长@废先帝法，不听天子诏，居处无度，为*黄	官职
118_淮南衡山列传	天子	天子	1002	词表匹配	天子	盖*乘舆*，出入拟於天子，擅为法令，不用&汉	官职
118_淮南衡山列传	法令	法令	1007	词表匹配	法令	，出入拟於天子，擅为法令，不用&汉&法。及所	制度
118_淮南衡山列传	二千石	二千石	1080	词表匹配	二千石	或至$关内侯$，奉以二千石，所不当得，欲以有为	官职
118_淮南衡山列传	十人	十人	1110	词表匹配	十人	@、士五@开章@等七十人与$棘蒲侯$太子@奇	时间
118_淮南衡山列传	宗庙	宗庙	1129	词表匹配	宗庙	子@奇@谋反，欲以危宗庙社稷。使@开章@阴告	制度
118_淮南衡山列传	社稷	社稷	1131	词表匹配	社稷	奇@谋反，欲以危宗庙社稷。使@开章@阴告@长	制度
118_淮南衡山列传	二千石	二千石	1192	词表匹配	二千石	饮食，为家室娶妇，以二千石俸奉之。@开章@使人	官职
118_淮南衡山列传	弃市	弃市	1365	词表匹配	弃市	杀无罪者六人；为亡命弃市罪诈捕命者以除罪；擅	制度
118_淮南衡山列传	千匹	千匹	1524	词表匹配	千匹	使者赐@长@*帛*五千匹，以赐吏卒劳苦者。@	时间
118_淮南衡山列传	皇帝	皇帝	1576	词表匹配	皇帝	@王织@上书献*璧*皇帝，@忌@擅燔其书，不	官职
118_淮南衡山列传	弃市	弃市	1665	词表匹配	弃市	3.5] 。@长@当弃市，臣请论如法。"↵↵	制度
118_淮南衡山列传	韩列侯	列侯	1695	词表匹配	列侯	朕不忍致法於王，其与列侯二千石议。"↵↵[5	人名
118_淮南衡山列传	二千石	二千石	1697	词表匹配	二千石	忍致法於王，其与列侯二千石议。"↵↵[5] "	官职
118_淮南衡山列传	韩列侯	列侯	1741	词表匹配	列侯	@贺@昧死言：臣谨与列侯吏二千石臣@婴@等四	人名
118_淮南衡山列传	二千石	二千石	1744	词表匹配	二千石	昧死言：臣谨与列侯吏二千石臣@婴@等四十三人议	官职
118_淮南衡山列传	三人	三人	1754	词表匹配	三人	二千石臣@婴@等四十三人议，皆曰'@长@不奉	时间
118_淮南衡山列传	法度	法度	1766	词表匹配	法度	议，皆曰'@长@不奉法度，不听天子诏，乃阴聚	制度
118_淮南衡山列传	天子	天子	1771	词表匹配	天子	@长@不奉法度，不听天子诏，乃阴聚徒党及谋反	官职
118_淮南衡山列传	二斗	二斗	1970	词表匹配	二斗	*%日%五斤，*酒*二斗。令故美人才人得幸者	时间
118_淮南衡山列传	美人	美人	1975	词表匹配	美人	斤，*酒*二斗。令故美人才人得幸者十人从居。	官职
118_淮南衡山列传	才人	才人	1977	词表匹配	才人	*酒*二斗。令故美人才人得幸者十人从居。他可	官职
118_淮南衡山列传	十人	十人	1982	词表匹配	十人	。令故美人才人得幸者十人从居。他可。"↵↵#	时间
118_淮南衡山列传	周厉王	厉王	1996	词表匹配	厉王	。他可。"↵↵## 厉王徙死与追封↵↵[9]	人名
118_淮南衡山列传	一世	一世	2176	词表匹配	一世	故不闻吾过至此。人生一世间，安能邑邑如此！"	时间
118_淮南衡山列传	弃市	弃市	2325	词表匹配	弃市	王$不发封餽侍者，皆弃市。乃以列侯葬$淮南王	制度
118_淮南衡山列传	韩列侯	列侯	2330	词表匹配	列侯	餽侍者，皆弃市。乃以列侯葬$淮南王$於=雍=	人名
118_淮南衡山列传	八岁	八岁	2383	词表匹配	八岁	南王$有子四人，皆七八岁，乃封子@安@为$阜	时间
118_淮南衡山列传	一斗	一斗	2471	词表匹配	一斗	一尺*布*，尚可缝；一斗*粟*，尚可舂。兄弟	时间
118_淮南衡山列传	二人	二人	2483	词表匹配	二人	*粟*，尚可舂。兄弟二人不能相容。"上闻之，	时间
118_淮南衡山列传	吴楚	吴楚	2731	词表匹配	吴楚	，无後也。↵↵## 吴楚之乱与淮南守义↵↵[	人名
118_淮南衡山列传	淮南王	淮南	2736	词表匹配	淮南	↵↵## 吴楚之乱与淮南守义↵↵[13] %	人名
118_淮南衡山列传	七国	七国	2760	词表匹配	七国	三年%，&吴&&楚&七国反，&吴&使者至=淮	朝代
118_淮南衡山列传	淮南王	淮南王	3033	词表匹配	淮南王	王$如故。↵↵## 淮南王安谋反↵↵[14] 	人名
118_淮南衡山列传	阴德	阴德	3081	词表匹配	阴德	〘马〙驰骋，亦欲以行阴德拊循百姓，流誉=天下	天文
118_淮南衡山列传	汉武帝	今上	3166	词表匹配	今上	上=，与王语曰："方今上无太子，大王亲&高皇	人名
118_淮南衡山列传	仁义	仁义	3183	词表匹配	仁义	王亲&高皇帝&孙，行仁义，=天下=莫不闻。即	制度
118_淮南衡山列传	千里	千里	3296	词表匹配	千里	!出长数尺，然尚流血千里。今!彗星!长竟天，	时间
118_淮南衡山列传	金钱	金钱	3351	词表匹配	金钱	治*器械*攻战具，积金钱赂遗郡国诸侯游士奇材	器物
118_淮南衡山列传	王喜	王喜	3381	词表匹配	王喜	，妄作妖言，谄谀王，王喜，多赐金钱，而谋反滋	人名
118_淮南衡山列传	金钱	金钱	3386	词表匹配	金钱	，谄谀王，王喜，多赐金钱，而谋反滋甚。↵↵[	器物
118_淮南衡山列传	金钱	金钱	3428	词表匹配	金钱	。王爱@陵@，常多予金钱，为中诇=长安=，约	器物
118_淮南衡山列传	公卿	公卿	3897	词表匹配	公卿	王，王使人候伺&汉&公卿，公卿请逮捕治王。王	官职
118_淮南衡山列传	公卿	公卿	3900	词表匹配	公卿	使人候伺&汉&公卿，公卿请逮捕治王。王恐事发	官职
118_淮南衡山列传	公卿	公卿	3985	词表匹配	公卿	，未晚。"是时上不许公卿请，而遣$汉中尉$@	官职
118_淮南衡山列传	公卿	公卿	4062	词表匹配	公卿	。$中尉$还，以闻。公卿治者曰："$淮南王$	官职
118_淮南衡山列传	弃市	弃市	4098	词表匹配	弃市	被@等，废格明诏，当弃市。"诏弗许。公卿请废	制度
118_淮南衡山列传	公卿	公卿	4106	词表匹配	公卿	，当弃市。"诏弗许。公卿请废勿王，诏弗许。公	官职
118_淮南衡山列传	公卿	公卿	4117	词表匹配	公卿	卿请废勿王，诏弗许。公卿请削五县，诏削二县。	官职
118_淮南衡山列传	公卿	公卿	4172	词表匹配	公卿	言赦王。王初闻&汉&公卿请诛之，未知得削地，	官职
118_淮南衡山列传	仁义	仁义	4233	词表匹配	仁义	。其後自伤曰："吾行仁义见削，甚耻之。"然$	制度
118_淮南衡山列传	淮南王	淮南王	4317	词表匹配	淮南王	言，非也。↵↵## 淮南王部署反计↵↵[17]	人名
118_淮南衡山列传	仁义	仁义	4416	词表匹配	仁义	且吾&高祖&孙，亲行仁义，陛下遇我厚，吾能忍	制度
118_淮南衡山列传	万世	万世	4430	词表匹配	万世	下遇我厚，吾能忍之；万世之後，吾宁能北面臣事	时间
118_淮南衡山列传	竖子	竖子	4442	词表匹配	竖子	之後，吾宁能北面臣事竖子乎！"↵↵[18] 	器物
118_淮南衡山列传	千岁	千岁	4685	词表匹配	千岁	，故海内不期而随。此千岁之可见者。夫百年之&	时间
118_淮南衡山列传	百年	百年	4693	词表匹配	百年	。此千岁之可见者。夫百年之&秦&，近世之&吴	时间
118_淮南衡山列传	术士	术士	4755	词表匹配	术士	&秦&绝圣人之道，杀术士，燔《诗》《书》，弃	官职
118_淮南衡山列传	礼义	礼义	4767	词表匹配	礼义	，燔《诗》《书》，弃礼义，尚诈力，任刑罚，转	制度
118_淮南衡山列传	刑罚	刑罚	4775	词表匹配	刑罚	，弃礼义，尚诈力，任刑罚，转负海之*粟*致之	制度
118_淮南衡山列传	数千里	数千里	4829	词表匹配	数千里	恬@筑=长城=，东西数千里，暴兵露师常数十万，	时间
118_淮南衡山列传	数十万	数十万	4838	词表匹配	数十万	西数千里，暴兵露师常数十万，死者不可胜数，僵尸	时间
118_淮南衡山列传	千里	千里	4851	词表匹配	千里	，死者不可胜数，僵尸千里，流血顷亩，百姓力竭	时间
118_淮南衡山列传	李延年	延年	4931	词表匹配	延年	汝何求？"曰："原请延年益寿药。"神曰："汝	人名
118_淮南衡山列传	东南	东南	4962	词表匹配	东南	观而不得取。"即从臣东南至=蓬莱山=，见〘芝	地名
118_淮南衡山列传	海神	海神	5011	词表匹配	海神	曰："宜何资以献？"海神曰："以令名男子若振	神话
118_淮南衡山列传	皇帝	皇帝	5049	词表匹配	皇帝	[18.2] &秦&皇帝大说，遣振男女三千人	官职
118_淮南衡山列传	三千人	三千人	5058	词表匹配	三千人	&皇帝大说，遣振男女三千人，资之*五穀*种种百	时间
118_淮南衡山列传	平原	平原	5080	词表匹配	平原	百工而行。@徐福@得平原广泽，止王不来。於是	人名
118_淮南衡山列传	三万人	三万人	5153	词表匹配	三万人	人上书，求女无夫家者三万人，以为士卒衣补。&秦	时间
118_淮南衡山列传	皇帝	皇帝	5167	词表匹配	皇帝	以为士卒衣补。&秦&皇帝可其万五千人。於是百	官职
118_淮南衡山列传	万五千人	万五千人	5171	词表匹配	万五千人	衣补。&秦&皇帝可其万五千人。於是百姓离心瓦解，	时间
118_淮南衡山列传	东南	东南	5233	词表匹配	东南	曰：'待之，圣人当起东南间。'↵↵[18.4	地名
118_淮南衡山列传	一年	一年	5248	词表匹配	一年	↵↵[18.4] 不一年，@陈胜@@吴广@发	时间
118_淮南衡山列传	天子	天子	5331	词表匹配	天子	故起於行陈之中而立为天子，功高〚三王〛，德传	官职
118_淮南衡山列传	无穷	无穷	5343	词表匹配	无穷	，功高〚三王〛，德传无穷。今大王见&高皇帝&	地名
