章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
119_循吏列传	法令	法令	32	词表匹配	法令	0] $太史公$曰：法令所以导民也，刑罚所以	制度
119_循吏列传	刑罚	刑罚	40	词表匹配	刑罚	曰：法令所以导民也，刑罚所以禁奸也。文武不备	制度
119_循吏列传	文武	文武	48	词表匹配	文武	也，刑罚所以禁奸也。文武不备，良民惧然身修者	人名
119_循吏列传	孙叔敖	孙叔敖	89	词表匹配	孙叔敖	必威严哉？↵↵## 孙叔敖治楚↵↵[1] @孙	人名
119_循吏列传	乘车	乘车	461	词表匹配	乘车	臣请教闾里使高其困。乘车者皆君子，君子不能数	器物
119_循吏列传	子产	子产	564	词表匹配	子产	己之罪也。↵↵## 子产治郑↵↵[5] @子	人名
119_循吏列传	一年	一年	652	词表匹配	一年	@为$相$。为$相$一年，竖子不戏狎，斑白不	时间
119_循吏列传	竖子	竖子	655	词表匹配	竖子	相$。为$相$一年，竖子不戏狎，斑白不提挈，	器物
119_循吏列传	二年	二年	673	词表匹配	二年	不提挈，僮子不犁畔。二年，市不豫贾。三年，门	时间
119_循吏列传	三年	三年	681	词表匹配	三年	畔。二年，市不豫贾。三年，门不%夜%关，道不	时间
119_循吏列传	四年	四年	696	词表匹配	四年	%夜%关，道不拾遗。四年，田器不归。五年，士	时间
119_循吏列传	五年	五年	704	词表匹配	五年	遗。四年，田器不归。五年，士无尺籍，丧期不令	时间
119_循吏列传	二十六年	二十六年	723	词表匹配	二十六年	期不令而治。治&郑&二十六年而死，丁壮号哭，老人	时间
119_循吏列传	老人	老人	735	词表匹配	老人	六年而死，丁壮号哭，老人兒啼，曰："@子产@	天文
119_循吏列传	公仪休	公仪休	763	词表匹配	公仪休	将安归？"↵↵## 公仪休奉法↵↵[6] @公	人名
119_循吏列传	石奢纵父伏法	石奢纵父伏法	1001	词表匹配	石奢纵父伏法	其货乎"？↵↵## 石奢纵父伏法↵↵[9] @石奢@	event
119_循吏列传	立政	立政	1090	词表匹配	立政	者，臣之父也。夫以父立政，不孝也；废法纵罪，	制度
119_循吏列传	李离过杀自刑	李离过杀自刑	1194	词表匹配	李离过杀自刑	自刎而死。↵↵## 李离过杀自刑↵↵[10] @李离	event
119_循吏列传	有过	有过	1255	词表匹配	有过	贵贱，罚有轻重。下吏有过，非子之罪也。"@李	朝代
119_循吏列传	非子	非子	1258	词表匹配	非子	罚有轻重。下吏有过，非子之罪也。"@李离@曰	人名
119_循吏列传	司马迁	太史公	1408	词表匹配	太史公	剑*而死。↵↵## 太史公论赞↵↵[11] $	人名
