章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
122_酷吏列传	天下	天下	136	词表匹配	天下	非制治清浊之源也。昔天下之网尝密矣，然奸伪萌	思想
122_酷吏列传	道德	道德	194	词表匹配	道德	能胜其任而愉快乎！言道德者，溺其职矣。故曰"	思想
122_酷吏列传	天下	天下	531	词表匹配	天下	："亡一姬复一姬进，天下所少宁@贾姬@等乎？	思想
122_酷吏列传	族灭	族灭	651	词表匹配	族灭	为$济南太守$。至则族灭@瞷氏@首恶，馀皆股	刑法
122_酷吏列传	极刑	极刑	1381	词表匹配	极刑	死，少被刑，而@成@极刑，自以为不复收，於是	刑法
122_酷吏列传	诛灭	诛灭	1640	词表匹配	诛灭	法活之；所憎者，曲法诛灭之。所居郡，必夷其豪	刑法
122_酷吏列传	弃市	弃市	1778	词表匹配	弃市	受刑，自杀，而@由@弃市。↵↵[11] 自@	刑法
122_酷吏列传	天下	天下	2544	词表匹配	天下	交私。及列九卿，收接天下名士$大夫$，己心内	思想
122_酷吏列传	天下	天下	3154	词表匹配	天下	金*及*五铢钱*，笼天下^盐铁^，排富商大贾	思想
122_酷吏列传	天下	天下	3221	词表匹配	天下	食。$丞相$取充位，天下事皆决於@汤@。百姓	思想
122_酷吏列传	天下	天下	3401	词表匹配	天下	孝惠@、@高后@时，天下安乐。及@孝文帝@欲	思想
122_酷吏列传	天下	天下	3477	词表匹配	天下	，竟@景帝@不言兵，天下富实。今自陛下举兵击	思想
122_酷吏列传	坐法	坐法	4504	词表匹配	坐法	列於九卿。%数年%，坐法废，守$长史$，见@	刑法
122_酷吏列传	诸子	诸子	5034	词表匹配	诸子	得奉赐，无他业。昆弟诸子欲厚葬@汤@，@汤@	思想
122_酷吏列传	族灭	族灭	5502	词表匹配	族灭	为$河内都尉$。至则族灭其豪@穰氏@之属，=	刑法
122_酷吏列传	死罪	死罪	5908	词表匹配	死罪	@纵@一捕鞠，曰"为死罪解脱"。是日皆报杀%	刑法
122_酷吏列传	连坐	连坐	6541	词表匹配	连坐	郡中豪猾，郡中豪猾相连坐%千馀家%。上书请，	刑法
122_酷吏列传	没入	没入	6565	词表匹配	没入	至族，小者乃死，家尽没入偿臧。奏行不过%二三	刑法
122_酷吏列传	坐法	坐法	7437	词表匹配	坐法	治如其故，奸邪少禁。坐法失官。复为$右辅$，	刑法
122_酷吏列传	诛灭	诛灭	7631	词表匹配	诛灭	直不满*五十金*。所诛灭=淮阳=甚多，及死，	刑法
122_酷吏列传	死罪	死罪	7815	词表匹配	死罪	城邑，取库*兵*，释死罪，缚辱$郡太守$、$	刑法
122_酷吏列传	斩首	斩首	7941	词表匹配	斩首	*虎符*发兵以兴击，斩首大部或至%万馀级%，	刑法
122_酷吏列传	是非	是非	9124	词表匹配	是非	↵然@郅都@伉直，引是非，争天下大体。↵@张	思想
122_酷吏列传	天下	天下	9128	词表匹配	天下	都@伉直，引是非，争天下大体。↵@张汤@以知	思想
