章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
123_大宛列传	大宛	大宛	2	词表匹配	大宛	# 大宛列传↵↵## 张骞出	人名
123_大宛列传	张骞	张骞	11	词表匹配	张骞	 大宛列传↵↵## 张骞出使月氏↵↵[0] 	人名
123_大宛列传	月氏	月氏	15	词表匹配	月氏	传↵↵## 张骞出使月氏↵↵[0] &大宛&	人名
123_大宛列传	蛮夷	蛮夷	662	词表匹配	蛮夷	为人彊力，宽大信人，蛮夷爱之。@堂邑父@故胡	族群
123_大宛列传	西域	西域	722	词表匹配	西域	人%得还。↵↵## 西域诸国风俗↵↵[4] 	地名
123_大宛列传	西南	西南	794	词表匹配	西南	：&大宛&在~匈奴~西南，在&汉&正西，去&	地名
123_大宛列传	正西	正西	801	词表匹配	正西	匈奴~西南，在&汉&正西，去&汉&可%万里%	天文
123_大宛列传	骑射	骑射	896	词表匹配	骑射	%。其兵*弓**矛*骑射。其北则&康居&，西	制度
123_大宛列传	西南	西南	915	词表匹配	西南	&，西则&大月氏&，西南则&大夏&，东北则&	地名
123_大宛列传	东北	东北	923	词表匹配	东北	&，西南则&大夏&，东北则&乌孙&，东则&扜	地名
123_大宛列传	中国	中国	1003	词表匹配	中国	多*玉石*，=河=注中国。而&楼兰&、&姑师	地名
123_大宛列传	右方	右方	1047	词表匹配	右方	%五千里%。~匈奴~右方居=盐泽=以东，至=	官职
123_大宛列传	东北	东北	1093	词表匹配	东北	 &乌孙&在&大宛&东北可%二千里%，行国，	地名
123_大宛列传	西北	西北	1164	词表匹配	西北	 &康居&在&大宛&西北可%二千里%，行国，	地名
123_大宛列传	西北	西北	1237	词表匹配	西北	 &奄蔡&在&康居&西北可%二千里%，行国，	地名
123_大宛列传	大泽	大泽	1268	词表匹配	大泽	控弦者%十馀万%。临大泽，无崖，盖乃=北海=	地名
123_大宛列传	君长	君长	1730	词表匹配	君长	。人众甚多，往往有小君长，而&安息&役属之，	官职
123_大宛列传	西南	西南	1796	词表匹配	西南	 &大夏&在&大宛&西南%二千馀里%=妫水=	地名
123_大宛列传	东南	东南	1902	词表匹配	东南	=，有市贩贾诸物。其东南有&身毒国&。↵↵#	地名
123_大宛列传	身毒	身毒	1918	词表匹配	身毒	国&。↵↵## 通蜀身毒之道↵↵[12] @	朝代
123_大宛列传	东南	东南	2004	词表匹配	东南	。&身毒&在&大夏&东南可%数千里%。其俗土	地名
123_大宛列传	西南	西南	2086	词表匹配	西南	万二千里%，居&汉&西南。今&身毒国&又居&	地名
123_大宛列传	东南	东南	2101	词表匹配	东南	身毒国&又居&大夏&东南%数千里%，有*蜀物	地名
123_大宛列传	中国	中国	2206	词表匹配	中国	，多奇物，土著，颇与中国同业，而兵弱，贵&汉	地名
123_大宛列传	而以	而以	2253	词表匹配	而以	赂遗设利朝也。且诚得而以义属之，则广地%万里	人名
123_大宛列传	北方	北方	2354	词表匹配	北方	各行%一二千里%。其北方闭~氐~、~筰~，南	地名
123_大宛列传	南方	南方	2365	词表匹配	南方	方闭~氐~、~筰~，南方闭~巂~、~昆明~。	地名
123_大宛列传	君长	君长	2384	词表匹配	君长	明~。~昆明~之属无君长，善寇盗，辄杀略&汉	官职
123_大宛列传	西南夷	西南夷	2467	词表匹配	西南夷	国&。初，&汉&欲通西南夷，费多，道不通，罢之	族群
123_大宛列传	西南夷	西南夷	2498	词表匹配	西南夷	以通&大夏&，乃复事西南夷。↵↵## 张骞再使	族群
123_大宛列传	张骞再使乌孙	张骞再使乌孙	2507	词表匹配	张骞再使乌孙	事西南夷。↵↵## 张骞再使乌孙↵↵[13] @骞@	event
123_大宛列传	明年	明年	2574	词表匹配	明年	岁%元朔六年%也。其明年，@骞@为$卫尉$，	时间
123_大宛列传	明年	明年	2665	词表匹配	明年	%，至=祁连山=。其明年，@浑邪王@率其民降	时间
123_大宛列传	蛮夷	蛮夷	3008	词表匹配	蛮夷	故@浑邪@地空无人。蛮夷俗贪&汉&财物，今诚	族群
123_大宛列传	蛮夷	蛮夷	3220	词表匹配	蛮夷	$礼，@骞@大惭，知蛮夷贪，乃曰："$天子$	族群
123_大宛列传	夫人	夫人	3292	词表匹配	夫人	遣^翁主^为@昆莫@夫人。"&乌孙&国分，王	人名
123_大宛列传	中子	中子	3375	词表匹配	中子	莫@有%十馀子%，其中子曰@大禄@，彊，善将	官职
123_大宛列传	九卿	九卿	3736	词表匹配	九卿	，拜为$大行$，列於九卿。%岁馀%，卒。↵↵	官职
123_大宛列传	西北	西北	3813	词表匹配	西北	皆颇与其人俱来，於是西北国始通於&汉&矣。然	地名
123_大宛列传	西域	西域	3866	词表匹配	西域	信之。↵↵## 汉通西域诸国↵↵[19] 自	地名
123_大宛列传	西北	西北	4012	词表匹配	西北	^，云"神*马*当从西北来"。得&乌孙&*马	地名
123_大宛列传	西北	西北	4107	词表匹配	西北	，初置&酒泉郡&以通西北国。因益发使抵&安息	地名
123_大宛列传	西南夷	西南夷	4270	词表匹配	西南夷	灭&越&，而=蜀=、西南夷皆震，请吏入朝。於是	族群
123_大宛列传	无穷	无穷	4626	词表匹配	无穷	怒令赎，复求使。使端无穷，而轻犯法。其吏卒亦	地名
123_大宛列传	属国	属国	4832	词表匹配	属国	$从骠侯$@破奴@将属国骑及郡兵%数万%，至	官职
123_大宛列传	明年	明年	4860	词表匹配	明年	欲以击胡，胡皆去。其明年，击&姑师&，@破奴	时间
123_大宛列传	图书	图书	5344	词表匹配	图书	，采来，$天子$案古图书，名=河=所出山曰=	器物
123_大宛列传	巡狩	巡狩	5373	词表匹配	巡狩	[25] 是时上方数巡狩海上，乃悉从外国客，	制度
123_大宛列传	大宛	大宛	5508	词表匹配	大宛	，自此始。↵↵## 大宛风俗物产↵↵[26]	人名
123_大宛列传	西北	西北	5521	词表匹配	西北	俗物产↵↵[26] 西北外国使，更来更去。&	地名
123_大宛列传	币帛	币帛	5627	词表匹配	币帛	；及至&汉&使，非出币帛不得食，不市畜不得骑	器物
123_大宛列传	贰师将军	贰师将军	5923	词表匹配	贰师将军	不用为币。↵↵## 贰师将军伐宛↵↵[27] 而	人名
123_大宛列传	贵人	贵人	6183	词表匹配	贵人	*金马*而去。&宛&贵人怒曰："&汉&使至轻	官职
123_大宛列传	属国	属国	6350	词表匹配	属国	@为$贰师将军$，发属国%六千骑%，及郡国恶	官职
123_大宛列传	贵人	贵人	7290	词表匹配	贵人	，其外城坏，虏&宛&贵人勇将@煎靡@。&宛&	官职
123_大宛列传	贵人	贵人	7313	词表匹配	贵人	恐，走入中城。&宛&贵人相与谋曰："&汉&所	官职
123_大宛列传	贵人	贵人	7388	词表匹配	贵人	死，未晚也。"&宛&贵人皆以为然，共杀其王@	官职
123_大宛列传	贵人	贵人	7408	词表匹配	贵人	王@毋寡@，持其头遣贵人使$贰师$，约曰："	官职
123_大宛列传	军吏	军吏	7627	词表匹配	军吏	，破&汉&军必矣。"军吏皆以为然，许&宛&之	官职
123_大宛列传	贵人	贵人	7707	词表匹配	贵人	千馀匹%，而立&宛&贵人之故待遇&汉&使善者	官职
123_大宛列传	郁成	郁成	7755	词表匹配	郁成	罢而引归。↵↵## 郁成之战与封赏↵↵[31	地名
123_大宛列传	审食其	食其	7849	词表匹配	食其	=郁成=城守，不肯给食其军。@王申生@去大军	人名
123_大宛列传	骑士	骑士	8063	词表匹配	骑士	，莫敢先击。=上邽=骑士@赵弟@最少，拔*剑	官职
123_大宛列传	骑士	骑士	8354	词表匹配	骑士	又封身斩=郁成王=者骑士@赵弟@为@新畤侯@	官职
123_大宛列传	九卿	九卿	8411	词表匹配	九卿	上党太守$。军官吏为九卿者%三人%，诸侯相、	官职
123_大宛列传	诸侯相	诸侯相	8419	词表匹配	诸侯相	吏为九卿者%三人%，诸侯相、$郡守$、$二千石	官职
123_大宛列传	西域	西域	8506	词表匹配	西域	。↵↵## 战后经略西域↵↵[33] &汉&	地名
123_大宛列传	贵人	贵人	8545	词表匹配	贵人	去＃%岁馀%，&宛&贵人以为@昧蔡@善谀，使	官职
123_大宛列传	司马迁	太史公	8720	词表匹配	太史公	使外国者。↵↵## 太史公论赞↵↵[35] @	人名
123_大宛列传	九州	九州	8838	词表匹配	九州	谓=昆仑=者乎？故言九州山川，^尚书^近之矣	地名
123_大宛列传	山川	山川	8840	词表匹配	山川	昆仑=者乎？故言九州山川，^尚书^近之矣。↵	地名
