章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
124_游侠列传	桎梏	桎梏	316	词表匹配	桎梏	于=棘津=，@夷吾@桎梏，@百里@饭*牛*，	器物
124_游侠列传	仁义	仁义	402	词表匹配	仁义	 鄙人有言曰："何知仁义，已飨其利者为有德。	制度
124_游侠列传	无穷	无穷	461	词表匹配	无穷	@蹻@暴戾，其徒诵义无穷。由此观之，"窃*钩	地名
124_游侠列传	仁义	仁义	485	词表匹配	仁义	诛，窃国者侯，侯之门仁义存"，非虚言也。↵↵	制度
124_游侠列传	而取	而取	527	词表匹配	而取	若卑论侪俗，与世沈浮而取荣名哉！而布衣之徒，	器物
124_游侠列传	千里	千里	545	词表匹配	千里	衣之徒，设取予然诺，千里诵义，为死不顾世，此	时间
124_游侠列传	朱家	朱家	956	词表匹配	朱家	共笑之也。↵↵## 朱家剧孟↵↵[5] =鲁	人名
124_游侠列传	剧孟	剧孟	958	词表匹配	剧孟	之也。↵↵## 朱家剧孟↵↵[5] =鲁=@	人名
124_游侠列传	郭解	郭解	1459	词表匹配	郭解	纷复出焉。↵↵## 郭解行侠↵↵[8] @郭	人名
124_游侠列传	夜半	夜半	2214	词表匹配	夜半	中少年及旁近县贤豪，夜半过门常%十馀车%，请	时间
124_游侠列传	郭解	郭解	2240	词表匹配	郭解	客舍养之。↵↵## 郭解之死↵↵[12] 及	人名
124_游侠列传	司马迁	太史公	2962	词表匹配	太史公	@之羞也。↵↵## 太史公论赞↵↵[15] @	人名
124_游侠列传	中人	中人	2992	词表匹配	中人	视@郭解@，状貌不及中人，言语不足采者。然天	地名
