章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
126_滑稽列传	天道	天道	84	词表匹配	天道	义。"@太史公@曰：天道恢恢，岂不大哉！谈言	思想
126_滑稽列传	天下	天下	1567	词表匹配	天下	马*属$太官$，无令天下久闻也。↵↵[6] 	思想
126_滑稽列传	无为	无为	1847	词表匹配	无为	"@孟@曰："妇言慎无为，&楚&相不足为也。	思想
126_滑稽列传	无为	无为	3360	词表匹配	无为	，曰："令@朔@在事无为是行者，若等安能及之	思想
126_滑稽列传	圣人	圣人	3614	词表匹配	圣人	大夫$修先王之术，慕圣人之义，讽诵^诗书^百	思想
126_滑稽列传	百家	百家	3625	词表匹配	百家	人之义，讽诵^诗书^百家之言，不可胜数。著於	思想
126_滑稽列传	天下	天下	3834	词表匹配	天下	然也。圣帝在上，德流天下，诸侯宾服，威振四夷	思想
126_滑稽列传	天下	天下	3861	词表匹配	天下	外以为席，安於覆盂，天下平均，合为一家，动发	思想
126_滑稽列传	天下	天下	3896	词表匹配	天下	肖，何以异哉？方今以天下之大，士民之众，竭精	思想
126_滑稽列传	天下	天下	3984	词表匹配	天下	$侍郎$乎！传曰：'天下无害菑，虽有圣人，无	思想
126_滑稽列传	圣人	圣人	3992	词表匹配	圣人	：'天下无害菑，虽有圣人，无所施其才；上下和	思想
126_滑稽列传	仁义	仁义	4103	词表匹配	仁义	患不荣！@太公@躬行仁义%七十二年%，逢@文	思想
126_滑稽列传	天下	天下	4207	词表匹配	天下	蠡@，忠合@子胥@，天下和平，与义相扶，寡偶	思想
126_滑稽列传	君子	君子	4532	词表匹配	君子	青蝇*，止于蕃。恺悌君子，无信谗言。谗言罔极	思想
126_滑稽列传	斩首	斩首	4703	词表匹配	斩首	至=余吾水=上而还，斩首捕虏，有功来归，诏赐	刑法
126_滑稽列传	天下	天下	5254	词表匹配	天下	、^敖仓^，当关口，天下咽喉。自先帝以来，传	思想
126_滑稽列传	变化	变化	5886	词表匹配	变化	力，尽陛下神灵威武所变化也。"$太守$曰："	思想
126_滑稽列传	变化	变化	5951	词表匹配	变化	，尽陛下神灵威武之所变化也。"@武帝@大笑，	思想
126_滑稽列传	君子	君子	6067	词表匹配	君子	以市，尊行可以加人。君子相送以言，小人相送以	思想
126_滑稽列传	老子	老子	7034	词表匹配	老子	成，不可与虑始。今父老子弟虽患苦我，然%百岁	典籍
126_滑稽列传	老子	老子	7051	词表匹配	老子	，然%百岁%後期令父老子孙思我言。"至今皆得	典籍
126_滑稽列传	天下	天下	7193	词表匹配	天下	豹@为$鄴令$，名闻天下，泽流後世，无绝已时	思想
