章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
129_货殖列传	自然	自然	506	词表匹配	自然	之。岂非道之所符，而自然之验邪？↵↵[3] 	思想
129_货殖列传	天下	天下	689	词表匹配	天下	故=齐=*冠带衣履*天下，=海岱=之间敛袂而	思想
129_货殖列传	天下	天下	743	词表匹配	天下	以霸，九合诸侯，一匡天下；而@管氏@亦有^三	思想
129_货殖列传	君子	君子	833	词表匹配	君子	^生於有而废於无。故君子富，好行其德；小人富	思想
129_货殖列传	仁义	仁义	870	词表匹配	仁义	山深而兽往之，人富而仁义附焉。富者得埶益彰，	思想
129_货殖列传	天下	天下	927	词表匹配	天下	此非空言也。故曰："天下熙熙，皆为利来；天下	思想
129_货殖列传	天下	天下	937	词表匹配	天下	天下熙熙，皆为利来；天下壤壤，皆为利往。"夫	思想
129_货殖列传	天下	天下	1441	词表匹配	天下	。@硃公@以为=陶=天下之中，诸侯四通，货物	思想
129_货殖列传	天下	天下	1683	词表匹配	天下	夫使@孔子@名布扬於天下者，@子贡@先後之也	思想
129_货殖列传	天下	天下	1989	词表匹配	天下	术，终不告之矣。"盖天下言治生祖@白圭@。@	思想
129_货殖列传	天下	天下	2257	词表匹配	天下	寡妇，礼抗万乘，名显天下，岂非以富邪？↵↵#	思想
129_货殖列传	天下	天下	2275	词表匹配	天下	？↵↵## 汉兴通商天下↵↵[11] &汉&	思想
129_货殖列传	天下	天下	2312	词表匹配	天下	禁，是以富商大贾周流天下，交易之物莫不通，得	思想
129_货殖列传	天下	天下	2747	词表匹配	天下	~戎翟~之畜，畜牧为天下饶。然地亦穷险，唯=	思想
129_货殖列传	天下	天下	2775	词表匹配	天下	。故=关中=之地，於天下三分之一，而人众不过	思想
129_货殖列传	天下	天下	2855	词表匹配	天下	河南=。夫&三河&在天下之中，若*鼎*足，王	思想
129_货殖列传	君子	君子	3779	词表匹配	君子	犹有先王遗风，重厚多君子，好稼穑，虽无山川之	思想
129_货殖列传	天下	天下	4058	词表匹配	天下	@王濞@%三人%招致天下之喜游子弟，东有*海	思想
129_货殖列传	大同	大同	4301	词表匹配	大同	儋耳=者，与=江南=大同俗，而~杨越~多焉。	思想
129_货殖列传	天下	天下	4491	词表匹配	天下	夏&人"。↵↵## 天下物产总论↵↵[24]	思想
129_货殖列传	天下	天下	4505	词表匹配	天下	总论↵↵[24] 夫天下物所鲜所多，人民谣俗	思想
129_货殖列传	富贵	富贵	5024	词表匹配	富贵	*，连*车骑*，亦为富贵容也。弋射渔猎，犯晨	思想
129_货殖列传	朝觐	朝觐	5311	词表匹配	朝觐	%之君则*二十万*，朝觐聘享出其中。庶民农工	礼仪
129_货殖列传	祭祀	祭祀	5649	词表匹配	祭祀	，妻子软弱，岁时无以祭祀进醵，饮食被服不足以	礼仪
129_货殖列传	贫贱	贫贱	5742	词表匹配	贫贱	无岩处奇士之行，而长贫贱，好语仁义，亦足羞也	思想
129_货殖列传	仁义	仁义	5747	词表匹配	仁义	之行，而长贫贱，好语仁义，亦足羞也。↵↵[2	思想
129_货殖列传	变化	变化	7384	词表匹配	变化	以武一切，用文持之，变化有概，故足术也。若至	思想
