词	出现次数	实体类型
群臣	202	官职$
左右	158	
发兵	157	
引兵	114	
宾客	94	
兄弟	78	
昆弟	60	
海内	52	
率诸	48	
国家	47	
宗室	47	
财物	45	
诸公	45	
略地	43	
军中	42	
臣窃	42	
首虏	41	
罢兵	40	
说王	40	
先帝	40	
食邑	40	官职$
壮士	38	
饮食	37	
後宫	37	地名=
享国	36	
郡国	36	
恭侯	36	官职$
父母	35	
同姓	35	
顿首	35	
郡县	35	
举兵	35	
南面	34	
布衣	33	
县官	32	
臣等	31	
父兄	31	
王必	30	
骨肉	30	
割地	30	
外国	30	
吏民	29	
成功	28	
国中	28	
名山	28	地名=
彊国	27	
必欲	27	
诸吕	27	
亲戚	26	
黔首	26	
遗书	26	
侵地	26	
靖王	26	
后土	25	
母弟	25	
盗贼	25	
精兵	25	
就国	25	
阳侯	25	官职$
王室	24	
举事	24	
女弟	24	
元元	24	
豪桀	24	
臣原	24	地名=
男女	23	
苗裔	23	
父老	23	
王反	23	
谢病	22	
衣食	21	
城郭	21	
北面	21	
同母	21	
虏王	21	
宫中	21	
城中	21	
辩士	21	
发觉	21	
公弟	21	
著书	21	
王王	21	
原王	21	
欲发	20	
约束	20	
肉袒	20	
嘉元	20	
侯张	20	
捕虏	20	
城邑	20	
王功	19	
兵革	19	
诸儒	19	
臣恐	19	
西乡	19	
军功	19	
反国	19	
王欲	19	
风雨	18	
国政	18	
公室	18	
相距	18	
许诺	18	
收兵	18	
馀城	18	地名=
持节	18	
始列	18	
晋率	18	
成元	18	
阴事	18	
商贾	18	
稽首	17	
股肱	17	
侯兵	17	
相望	17	
饮酒	17	
恐天	17	
明主	17	
王诸	17	
病免	17	
敌国	17	
吉凶	17	
游说	17	
母家	16	
兵罢	16	
尊卑	16	
偃元	16	
河闲	16	
田宅	16	
先登	16	
腹心	16	
反间	16	
奇兵	16	
臣诊	16	
女妻	15	
致天	15	
渡河	15	地名=
圣王	15	思想〔〕
边邑	15	
国兵	15	
地动	15	
王始	15	
臣议	15	
东乡	15	
欲反	15	
诸神	15	
国元	15	
侯吕	15	
侯赵	15	
唯独	15	
公叔	15	
读书	15	
冯驩	15	
侯相	14	官职$
通道	14	
曾孙	14	
先祖	14	
天道	14	思想〔〕
东西	14	
侯通	14	
国事	14	
仰天	14	
群盗	14	
地可	14	
士民	14	
穷困	14	
反地	14	
王许	14	
家室	14	
报仇	14	
侯始	14	
光元	14	
赵敬	14	
绝祀	14	
属汉	14	
前後	14	
敬肃	14	
侯偃	14	
功比	14	
原陛	14	
门外	14	
必先	14	
西面	14	
吕太	14	
帝位	13	
呜呼	13	
利害	13	
发丧	13	
室卑	13	
季父	13	
狱吏	13	
南北	13	
可致	13	
粮食	13	
蚕食	13	
变化	13	思想〔〕
名姓	13	
须臾	13	
豪杰	13	
军门	13	
後必	13	
老父	13	
酒酣	13	
犹豫	13	
臣谨	13	
牢具	13	
奉祠	13	
厘公	13	
中元	13	
昌元	13	
平元	13	
简侯	13	官职$
旦暮	13	
敝邑	13	
娶女	12	
天神	12	
举国	12	
追尊	12	
事王	12	
招致	12	
王弟	12	
兵欲	12	
相属	12	
唯恐	12	
事成	12	
劳苦	12	
骸骨	12	
後悔	12	
连兵	12	
擅权	12	
诸王	12	
亲属	12	
公宫	12	地名=
彊兵	12	
楚元	12	
侯嘉	12	
前元	12	
奴元	12	
阴侯	12	官职$
氏事	12	
家属	12	
颜色	12	
律中	12	
宠姬	12	
涕泣	12	
传舍	12	
臣事	12	
脉法	12	
东巡	11	
淫乱	11	
侯畔	11	
功业	11	
好利	11	
馀民	11	
示天	11	
始霸	11	
欲内	11	
率师	11	
徇地	11	
膏腴	11	
裂地	11	
军东	11	
欲王	11	
臣诸	11	
奉诏	11	
奉宗	11	
忍致	11	
国乱	11	
朔元	11	
公欲	11	
侯平	11	
汉兵	11	
削地	11	
武元	11	
福元	11	
害元	11	
初元	11	
王恐	11	
兵初	11	
侯它	11	
侯武	11	
侯福	11	
畔逆	11	
功名	11	
相应	11	
欲求	11	
谢罪	11	
争彊	11	
王事	11	
事中	11	
同俗	11	
宿卫	11	
爵邑	11	
常欲	10	
黎民	10	
卑湿	10	
侯毕	10	
东土	10	
王田	10	
国必	10	
徵兵	10	
適嗣	10	
游士	10	
侯各	10	
海中	10	
帷帐	10	
内应	10	
殿门	10	
骄恣	10	
响应	10	
王天	10	
泽中	10	
连和	10	
飨士	10	
妇女	10	
可柰	10	
兵彊	10	
事发	10	
外家	10	
等议	10	
勒兵	10	
候神	10	
山中	10	
国名	10	
彊元	10	
王母	10	
争宠	10	
相王	10	
宣太	10	
闾巷	10	
中地	10	
后兄	10	
东牟	10	
狩元	10	
奉车	10	
侯庆	10	
侯周	10	
侯延	10	
楚反	10	
提格	10	
甘心	10	
娶妇	10	
宫门	10	
意欲	10	
拾遗	10	
显名	10	
委质	10	
经术	10	
原先	10	
孙奭	10	
邻国	10	
度量	9	
雌雄	9	
手足	9	
侯群	9	
美女	9	
天性	9	
兵距	9	
母女	9	
筑城	9	地名=
怪物	9	
侯彊	9	
锐师	9	
欲事	9	
军士	9	
镇抚	9	
异母	9	
倍约	9	
仇雠	9	
遗诏	9	
忌讳	9	
威振	9	
西略	9	
军必	9	
兵渡	9	地名=
狐疑	9	
事必	9	
军旅	9	
王侯	9	官职$
状貌	9	
公等	9	
追北	9	
军南	9	
女主	9	
外孙	9	
尚可	9	
动摇	9	
侯宗	9	
赂遗	9	
臣尝	9	
好音	9	
租税	9	
陵迟	9	
婴元	9	
章元	9	
泽元	9	
陵侯	9	官职$
通元	9	
尊宠	9	
侯成	9	
侯许	9	
决疑	9	
国反	9	
端蒙	9	
游兆	9	
奉邑	9	
恐祸	9	
专权	9	
羁旅	9	
东道	9	
氏女	9	
拊循	9	
原公	9	
老臣	9	
吏捕	9	
姓氏	9	族群~
洗沐	9	
反覆	9	
李太	9	
奉法	9	
报王	9	
王句	9	
游诸	9	
郡中	9	
卻敌	9	
控弦	9	
民间	8	
後母	8	
仓廪	8	
异物	8	
可成	8	
嬖臣	8	
祖考	8	
政事	8	
奇物	8	
稼穑	8	
收馀	8	
道路	8	
遗风	8	
劝王	8	
兵助	8	
劳军	8	
灭宗	8	
边境	8	
昼晦	8	
馀家	8	
食饮	8	
籓臣	8	
收天	8	
海求	8	
医药	8	
禁中	8	
逐北	8	
区区	8	
罢敝	8	
瓦解	8	
扰乱	8	
兵属	8	
势必	8	
母妻	8	
内诸	8	
瞋目	8	
负约	8	
馀兵	8	
欲西	8	
慷慨	8	
面目	8	
诸客	8	
乡邑	8	
地形	8	
兵袭	8	
王独	8	
争权	8	
兵临	8	
产业	8	
汤沐	8	
兵必	8	
舅父	8	
延寿	8	
冠盖	8	
盖相	8	官职$
异姓	8	
求神	8	
争事	8	
神通	8	
腹中	8	
群儒	8	
祭天	8	礼仪〈〉
边兵	8	
贼臣	8	
敖元	8	
假道	8	
阳元	8	
秦军	8	
庆元	8	
鼎元	8	
贺元	8	
侯婴	8	
侯泽	8	地名=
始元	8	
侯辟	8	
侯戎	8	族群~
应元	8	
相侯	8	官职$
侯昌	8	
侯卫	8	
事昭	8	
驰骋	8	
异国	8	
军事	8	
阴气	8	
单阏	8	
执徐	8	
彊梧	8	
徒维	8	
祝犁	8	
国可	8	
国相	8	官职$
血食	8	礼仪〈〉
溉田	8	
奴婢	8	
兵绝	8	
侯宾	8	
徒属	8	
成名	8	
爵禄	8	
空虚	8	
兵事	8	
叩头	8	
耕田	8	
父偃	8	
免冠	8	
好读	8	
臣汤	8	
骚动	8	
蒉聩	8	
硃亥	8	
原足	8	
诊脉	8	
水草	8	动植物〘〙
捕首	8	
北逐	7	
鸿水	7	地名=
水土	7	
山泽	7	地名=
论次	7	
太平	7	
乱天	7	
王家	7	
赋税	7	
林中	7	
游戏	7	
养老	7	
先驱	7	
王明	7	
群公	7	
王业	7	
节俭	7	
光明	7	
王太	7	
後可	7	
後嗣	7	
反王	7	
争利	7	
畜产	7	
骨髓	7	
垂涕	7	
哭泣	7	
毕贺	7	
欲东	7	
尊官	7	
东帝	7	
委国	7	
城坏	7	
西界	7	
尊号	7	
东游	7	
武士	7	
论功	7	
臣昧	7	
成事	7	
休息	7	
士等	7	
转输	7	
北渡	7	地名=
监门	7	
外攘	7	
事急	7	
豪俊	7	
可全	7	
闭关	7	地名=
本末	7	
前事	7	
適戍	7	
同列	7	
文书	7	
臣主	7	
婴兒	7	
豪吏	7	
军西	7	
相持	7	
北乡	7	
肥饶	7	
王相	7	官职$
必悔	7	
王可	7	
转漕	7	
太息	7	
欲急	7	
吏士	7	
坚壁	7	地名=
运筹	7	
筹策	7	
国诸	7	
就舍	7	
殿中	7	
填抚	7	
尊位	7	
罢军	7	
祝诅	7	
官属	7	
欲袭	7	
改历	7	
好儒	7	
先後	7	
常奉	7	
神祠	7	
兢兢	7	
恭王	7	
後王	7	
明天	7	
元前	7	
说元	7	
好兵	7	
午元	7	
王臣	7	
臣元	7	
臣始	7	
王章	7	
专国	7	
内乱	7	
边郡	7	
疑元	7	
禄元	7	
乐成	7	
明元	7	
买元	7	
侯功	7	
侯买	7	
侯贺	7	
侯执	7	
侯勃	7	
侯应	7	
侯中	7	
肺腑	7	
侯苏	7	
充国	7	
禄勋	7	
地节	7	
反事	7	
彊弩	7	
反状	7	
籓辅	7	
文章	7	
恭敬	7	
心感	7	
敦牂	7	
商横	7	
涒滩	7	
横艾	7	
尚章	7	
困敦	7	
变色	7	
国彊	7	
权衡	7	
震天	7	
报天	7	
困辱	7	
山海	7	地名=
诸官	7	
畜牧	7	
获罪	7	刑法【】
内空	7	
说诸	7	
内宠	7	
树党	7	
移兵	7	
接境	7	
邑中	7	
负海	7	地名=
带甲	7	
北略	7	
遗王	7	
东籓	7	
肆志	7	
公必	7	
滑稽	7	
赵赵	7	
延颈	7	
欲彊	7	
程姬	7	
老母	7	
後期	7	
道绝	7	
宰嚭	7	
肠胃	7	
名声	7	
谿谷	7	地名=
晏驾	7	
刎颈	7	
致法	7	
众医	7	
火齐	7	
寒热	7	
关市	7	
获王	7	
兵威	7	
聪明	6	
官名	6	
郁郁	6	
遍天	6	
丧毕	6	
摄政	6	
奉先	6	
荐绅	6	
率兵	6	
僇辱	6	
淫乐	6	
好女	6	
续祀	6	
文身	6	
民和	6	
阅实	6	
必致	6	
王御	6	
王後	6	
奉祀	6	
亲亲	6	
致伯	6	
後诸	6	
王病	6	
力事	6	
乞食	6	
实欲	6	
良臣	6	
倍盟	6	
兵追	6	
力政	6	
西帝	6	
逐客	6	
王患	6	
东收	6	
平地	6	
残贼	6	
内外	6	
臣相	6	官职$
求仙	6	
祷祠	6	
宇内	6	
险阻	6	
决事	6	
珍怪	6	
牺牲	6	
积功	6	
振恐	6	
等反	6	
欲易	6	
臣公	6	
奉天	6	
阻险	6	
席卷	6	
乡风	6	
府中	6	
部署	6	
首事	6	
骄色	6	
侯军	6	
婚姻	6	
南乡	6	
臣奉	6	
发难	6	
烧夷	6	族群~
民父	6	
太半	6	
诸吏	6	
诸郡	6	
宜可	6	
积粟	6	
绝河	6	地名=
民众	6	
乏食	6	
独身	6	
渡淮	6	
沐邑	6	
哀怜	6	
候伺	6	
议欲	6	
阿意	6	
庙社	6	
中野	6	地名=
王书	6	
谨奉	6	
相约	6	
罢官	6	
缓急	6	
临天	6	
尝欲	6	
谦让	6	
後常	6	
怪迂	6	
神事	6	
祠神	6	
欲致	6	
祠后	6	
祭后	6	
赞飨	6	
国各	6	
念诸	6	
楚熊	6	
驰说	6	
袒谢	6	
秦虏	6	
昭元	6	
土地	6	
干侯	6	官职$
西羌	6	族群~
权变	6	
相类	6	
度河	6	地名=
楚怀	6	
涉河	6	地名=
列城	6	地名=
北绝	6	
形势	6	
骄奢	6	
祖元	6	
恢元	6	
王吕	6	
寄元	6	
延元	6	
属淮	6	
侯禄	6	
炀侯	6	官职$
悼武	6	
它元	6	
擅发	6	
南宫	6	地名=
内侯	6	官职$
客元	6	
水中	6	
侯章	6	
侯卢	6	
侍太	6	
侯韩	6	
王庭	6	
幕府	6	官职$
吏事	6	
邑王	6	
灭国	6	
名臣	6	
整齐	6	
欲相	6	官职$
名显	6	
财匮	6	
王举	6	
血脉	6	
精神	6	
中央	6	
名士	6	
市井	6	
禨祥	6	
荒落	6	
弋猎	6	
水旱	6	
图籍	6	
兵相	6	官职$
匡天	6	
巫祝	6	
各异	6	
必报	6	
穿渠	6	
民田	6	
欲通	6	
侵盗	6	
奢侈	6	
发车	6	
田畜	6	
王宫	6	地名=
国内	6	
国本	6	
执事	6	
欲亲	6	
臣欲	6	
说公	6	
犹可	6	
报雠	6	
欲释	6	
首谢	6	
外交	6	
欲先	6	
伏兵	6	
名实	6	思想〔〕
可图	6	
尊主	6	
折节	6	
王左	6	
荣名	6	
权利	6	
唯唯	6	
灭氏	6	族群~
疑事	6	
填沟	6	
沟壑	6	
变名	6	
呼哀	6	
惊恐	6	
承间	6	
内臣	6	
饮药	6	
指示	6	
冠谢	6	
杜门	6	
逮捕	6	
孙诡	6	
地图	6	
烈士	6	
天雨	6	
欲就	6	
家累	6	
谀臣	6	
兵休	6	
奉阳	6	
军军	6	
求割	6	
仆妾	6	
张禄	6	
河中	6	
承意	6	
论议	6	
加兵	6	
夷门	6	
圣主	6	
食物	6	
势利	6	
爵列	6	
捕王	6	
相工	6	
结发	6	
臣切	6	
阳明	6	
随畜	6	
书谢	6	
舞文	6	
象天	5	
群神	5	
南巡	5	
践位	5	
穿井	5	
帝功	5	
平水	5	地名=
先祀	5	
田中	5	
面谀	5	
土功	5	
修政	5	
材力	5	
续後	5	
旁国	5	
室屋	5	
心欲	5	
恐诸	5	
脩政	5	
南国	5	
地震	5	
交疏	5	
策论	5	
必可	5	
避难	5	
初县	5	
臣常	5	
地东	5	
开地	5	
室微	5	
侯力	5	
平乱	5	
外事	5	
东地	5	
车裂	5	刑法【】
客游	5	
矫王	5	
他国	5	
王觉	5	
雨雪	5	
等昧	5	
事业	5	
本始	5	
嫌疑	5	
坏城	5	地名=
师旅	5	
相反	5	
诏捕	5	
袭号	5	
相传	5	
呼天	5	
欲罢	5	
中诸	5	
关梁	5	
庸主	5	
要害	5	
馀力	5	
伏尸	5	
馀烈	5	
可同	5	
民罢	5	
王怀	5	
诈力	5	
狱掾	5	
县中	5	
欲举	5	
坚执	5	
执锐	5	
境内	5	
帐中	5	
威震	5	
冠诸	5	
城略	5	
脱身	5	
王地	5	
侯罢	5	
相随	5	
王急	5	
西门	5	
绝粮	5	
兵解	5	
平明	5	
先尝	5	
廷中	5	
中豪	5	
主吏	5	
文吏	5	
恐事	5	
王素	5	
面事	5	
苦兵	5	
掘冢	5	
粮道	5	
变事	5	
歌诗	5	
厕中	5	
面折	5	
尊父	5	
齐民	5	
位次	5	
军北	5	
气力	5	
游猎	5	
夷灭	5	
灭诸	5	
兆民	5	
中外	5	
劳天	5	
盖天	5	
嫁女	5	
宫殿	5	地名=
通关	5	地名=
祖宗	5	
侍祠	5	
祠天	5	
色事	5	
利事	5	
内中	5	
尝游	5	
帷中	5	
供具	5	
天瑞	5	
巡郡	5	
器物	5	
巡祭	5	
诸物	5	
宿地	5	
祝祠	5	
士求	5	
塞决	5	
诸名	5	
羁縻	5	
厘侯	5	官职$
侯恣	5	
和元	5	
侯光	5	
伤王	5	
捷元	5	
公夷	5	族群~
楚兵	5	
王商	5	
专政	5	
坚元	5	
公午	5	
始通	5	
让位	5	
楚率	5	
包胥	5	
越元	5	
王辟	5	
相张	5	
王北	5	
侯魏	5	
劫王	5	
秦灭	5	
王嘉	5	
王负	5	
宗彊	5	
王张	5	
侯地	5	
国邑	5	
意元	5	
王志	5	
平昌	5	
王彭	5	
济东	5	
遗元	5	
根本	5	
侯山	5	地名=
兵先	5	
吕泽	5	地名=
军食	5	
侯遗	5	
侯坚	5	
圉侯	5	官职$
豨反	5	
侯奴	5	
侯越	5	族群~
侯客	5	
侯彭	5	
侯种	5	
乐昌	5	
后弟	5	
楚功	5	
绝和	5	
孙贺	5	
龙镪	5	
杨敞	5	
平恩	5	
欲传	5	
刘嘉	5	
相位	5	
力田	5	
兵屯	5	
洋洋	5	
诈伪	5	
次序	5	
功成	5	
承祖	5	
侏儒	5	
足怪	5	
边民	5	
同类	5	
消息	5	
显诸	5	
乱臣	5	
反逆	5	
可举	5	
覆军	5	
好事	5	
润泽	5	地名=
俯仰	5	
符瑞	5	
沃野	5	地名=
累巨	5	
通西	5	
谄谀	5	
求利	5	
交易	5	
荡荡	5	
熙熙	5	
尝事	5	
私通	5	
次弟	5	
欲许	5	
闭门	5	
持兵	5	
揖让	5	
决狱	5	
伏甲	5	
罢酒	5	
醇酒	5	
逆天	5	
臣可	5	
兵侵	5	
发国	5	
持满	5	
尊室	5	
先事	5	
间道	5	
右臂	5	
劲兵	5	
苦身	5	
发书	5	
借兵	5	
祸必	5	
敝国	5	
注意	5	
主家	5	
发愤	5	
等家	5	
足恃	5	
霸天	5	
后欲	5	
国阴	5	
中兵	5	
皇太	5	
充後	5	
兵反	5	
争功	5	
城野	5	地名=
