name,category,is_primary,confidence,evidence_count,ref_count,evidence
高阳,乡里,,0.55,1,10,L3_HINT_MEDIUM(0.55)
三亭,乡里,Y,0.65,2,1,L3_HINT_WEAK(0.40); L4_SUFFIX_MEDIUM(0.65)
丘里,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
东平陆监乡,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
中阳里,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
亭亭,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
元里,乡里,Y,0.65,2,8,L5_PEER_PROP(0.50); L4_SUFFIX_MEDIUM(0.65)
入里,乡里,Y,0.65,1,2,L4_SUFFIX_MEDIUM(0.65)
兹乡,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
冯亭,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
利乡,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
北里,乡里,Y,0.65,1,2,L4_SUFFIX_MEDIUM(0.65)
华阳,乡里,,0.65,2,11,L3_HINT_STRONG(0.65); L5_PEER_PROP(0.50)
召里,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
唐里,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
壤乡,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
大泽乡,乡里,Y,0.65,1,2,L4_SUFFIX_MEDIUM(0.65)
大犹乡,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
孔里,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
尸乡,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
州乡,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
应亭,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
戚里,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
扛里,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
杜平乡,乡里,Y,0.65,1,2,L4_SUFFIX_MEDIUM(0.65)
杠里,乡里,Y,0.65,2,6,L5_PEER_PROP(0.50); L4_SUFFIX_MEDIUM(0.65)
林乡,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
槐里,乡里,Y,0.65,2,8,L5_PEER_PROP(0.50); L4_SUFFIX_MEDIUM(0.65)
樊乡,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
武都里,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
氾里,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
沛泗上亭,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
牖里,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
章武里,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
羑里,乡里,Y,0.65,1,7,L4_SUFFIX_MEDIUM(0.65)
车里,乡里,Y,0.65,1,2,L4_SUFFIX_MEDIUM(0.65)
轵深井里,乡里,Y,0.65,1,2,L4_SUFFIX_MEDIUM(0.65)
阙里,乡里,Y,0.65,1,2,L4_SUFFIX_MEDIUM(0.65)
阪里,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
陬乡,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
陵里,乡里,Y,0.65,1,1,L4_SUFFIX_MEDIUM(0.65)
